ID,出现概率,类型,随机次数,掉落组1
5110,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:3:3;10000:12840:5:5;10000:541:1:1
5111,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:3:3;10000:12840:5:5;10000:542:1:1
5112,10000,1,1,10000:13081:1:1;10000:100:5:5;10000:110:3:3;10000:12840:5:5;10000:543:1:1
5113,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:3:3;10000:14016:5:5;10000:544:1:1
5114,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:3:3;10000:14020:5:5;10000:545:1:1
5115,10000,1,1,10000:13010:1:1;10000:100:5:5;10000:110:3:3;10000:12840:5:5;10000:546:1:1
5116,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:3:3;10000:14028:5:5;10000:547:1:1
5117,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:3:3;10000:14024:5:5;10000:548:1:1
5118,10000,1,1,10000:13018:1:1;10000:100:5:5;10000:110:3:3;10000:12840:5:5;10000:549:1:1
5119,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:4:4;10000:14006:5:5;10000:550:1:1
5120,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:4:4;10000:14014:5:5;10000:551:1:1
5121,10000,1,1,10000:13021:1:1;10000:100:5:5;10000:110:4:4;10000:12840:5:5;10000:552:1:1
5122,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:4:4;10000:14010:5:5;10000:553:1:1
5123,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:4:4;10000:14008:5:5;10000:554:1:1
5124,10000,1,1,10000:13022:1:1;10000:100:5:5;10000:110:4:4;10000:12840:5:5;10000:555:1:1
5125,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:4:4;10000:14022:5:5;10000:556:1:1
5126,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:4:4;10000:14002:5:5;10000:557:1:1
5127,10000,1,1,10000:13023:1:1;10000:100:5:5;10000:110:4:4;10000:12840:5:5;10000:558:1:1
5128,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:14004:5:5;10000:559:1:1
5129,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:14037:5:5;10000:560:1:1
5130,10000,1,1,10000:13068:1:1;10000:100:5:5;10000:110:5:5;10000:12840:5:5;10000:561:1:1
5131,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:14079:5:5;10000:562:1:1
5132,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:14106:5:5;10000:563:1:1
5133,10000,1,1,10000:13069:1:1;10000:100:5:5;10000:110:5:5;10000:12840:5:5;10000:564:1:1
5134,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:14112:5:5;10000:565:1:1
5135,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:14142:5:5;10000:566:1:1
5136,10000,1,1,10000:13071:1:1;10000:100:5:5;10000:110:5:5;10000:12840:5:5;10000:567:1:1
5137,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:751:1:1
5138,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:752:1:1
5139,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:753:1:1
5140,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:754:1:1
5141,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:755:1:1
5142,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:756:1:1
5143,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:757:1:1
5144,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:758:1:1
5145,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:759:1:1
5146,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:760:1:1
5147,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:761:1:1
5148,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:762:1:1
5149,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:763:1:1
5150,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:764:1:1
5151,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:765:1:1
5152,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:766:1:1
5153,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:767:1:1
5154,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:768:1:1
5155,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:769:1:1
5156,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:770:1:1
5157,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:771:1:1
5158,10000,1,1,10000:12861:3:3;10000:100:5:5;10000:110:5:5;10000:12840:10:10;10000:772:1:1
5201,10000,1,1,10000:2:250:250;10000:531:1:1;10000:1:10000:10000
5202,10000,1,1,10000:2:260:260;10000:531:1:1;10000:1:15000:15000
5203,10000,1,1,10000:2:270:270;10000:531:1:1;10000:1:20000:20000
5204,10000,1,1,10000:2:330:430;10000:531:1:1
5205,10000,1,1,10000:2:340:440;10000:531:1:1
5206,10000,1,1,10000:2:350:450;10000:531:1:1
5207,10000,1,1,10000:2:360:460;10000:531:1:1
5208,10000,1,1,10000:2:370:470;10000:531:1:1
5209,10000,1,1,10000:2:380:480;10000:531:1:1
5210,10000,1,1,10000:2:700:800;10000:531:1:1
5211,10000,1,1,10000:2:710:810;10000:531:1:1
5212,10000,1,1,10000:2:720:820;10000:531:1:1
5213,10000,1,1,10000:2:730:830;10000:531:1:1
5214,10000,1,1,10000:2:740:840;10000:531:1:1
5215,10000,1,1,10000:2:750:850;10000:531:1:1
5216,10000,1,1,10000:2:760:860;10000:531:1:1
5217,10000,1,1,10000:2:770:870;10000:531:1:1
5218,10000,1,1,10000:2:780:880;10000:531:1:1
5219,10000,1,1,10000:2:1300:1500;10000:531:1:1
5220,10000,1,1,10000:2:1310:1510;10000:531:1:1
5221,10000,1,1,10000:2:1320:1520;10000:531:1:1
5222,10000,1,1,10000:2:1330:1530;10000:531:1:1
5223,10000,1,1,10000:2:1340:1540;10000:531:1:1
5224,10000,1,1,10000:2:1350:1550;10000:531:1:1
5225,10000,1,1,10000:2:1360:1560;10000:531:1:1
5226,10000,1,1,10000:2:1370:1570;10000:531:1:1
5227,10000,1,1,10000:2:1800:2000;10000:531:1:1
5228,10000,1,1,10000:2:1810:2010;10000:531:1:1
5229,10000,1,1,10000:2:1820:2020;10000:531:1:1
5230,10000,1,1,10000:2:1830:2030;10000:531:1:1
5231,10000,1,1,10000:2:1840:2040;10000:531:1:1
5232,10000,1,1,10000:2:1850:2050;10000:531:1:1
5233,10000,1,1,10000:2:1860:2060;10000:531:1:1
5234,10000,1,1,10000:2:1870:2070;10000:531:1:1
5235,10000,1,1,10000:2:1880:2080;10000:531:1:1
5236,10000,1,1,10000:2:1890:2090;10000:531:1:1
5237,10000,1,1,10000:2:2400:2400;10000:531:1:1
5238,10000,1,1,10000:2:2410:2610;10000:531:1:1
5239,10000,1,1,10000:2:2420:2620;10000:531:1:1
5240,10000,1,1,10000:2:2430:2630;10000:531:1:1
5241,10000,1,1,10000:2:2440:2640;10000:531:1:1
5242,10000,1,1,10000:2:2450:2650;10000:531:1:1
5243,10000,1,1,10000:2:2460:2660;10000:531:1:1
5244,10000,1,1,10000:2:2470:2670;10000:531:1:1
5245,10000,1,1,10000:2:2480:2680;10000:531:1:1
5246,10000,1,1,10000:2:2500:2700;10000:531:1:1
5247,10000,1,1,10000:2:2510:2710;10000:531:1:1
5248,10000,1,1,10000:2:2520:2720;10000:531:1:1
5249,10000,1,1,10000:2:2530:2730;10000:531:1:1
5250,10000,1,1,10000:2:2540:2740;10000:531:1:1
5251,10000,1,1,10000:2:2550:2750;10000:531:1:1
5252,10000,1,1,10000:2:2560:2760;10000:531:1:1
5253,10000,1,1,10000:2:2570:2770;10000:531:1:1
5254,10000,1,1,10000:2:2580:2780;10000:531:1:1
5255,10000,1,1,10000:2:2590:2790;10000:531:1:1
5256,10000,1,1,10000:2:2600:2800;10000:531:1:1
5257,10000,1,1,10000:2:2610:2810;10000:531:1:1
5258,10000,1,1,10000:2:2620:2820;10000:531:1:1
5301,10000,0,1,10000:801:1:1;
5302,10000,0,1,10000:802:1:1;
5303,10000,0,1,10000:803:1:1;
5304,10000,0,1,10000:804:1:1;
5305,10000,0,1,10000:805:1:1;
5306,10000,0,1,10000:806:1:1;
5307,10000,0,1,10000:807:1:1;
5308,10000,0,1,10000:808:1:1;
5309,10000,0,1,10000:809:1:1;
5310,10000,0,1,10000:810:1:1;
5311,10000,0,1,10000:811:1:1;
5312,10000,0,1,10000:812:1:1;
5313,10000,0,1,10000:813:1:1;
5314,10000,0,1,10000:814:1:1;
5315,10000,0,1,10000:815:1:1;
5316,10000,0,1,10000:816:1:1;
5317,10000,0,1,10000:817:1:1;
5318,10000,0,1,10000:818:1:1;
5319,10000,0,1,10000:819:1:1;
5320,10000,0,1,10000:820:1:1;
5321,10000,0,1,10000:821:1:1;
5322,10000,0,1,10000:822:1:1;
5323,10000,0,1,10000:823:1:1;
5324,10000,0,1,10000:824:1:1;
5325,10000,0,1,10000:825:1:1;
5326,10000,0,1,10000:826:1:1;
5327,10000,0,1,10000:827:1:1;
5328,10000,0,1,10000:828:1:1;
5329,10000,0,1,10000:829:1:1;
5330,10000,0,1,10000:830:1:1;
5331,10000,0,1,10000:831:1:1;
5332,10000,0,1,10000:832:1:1;
5333,10000,0,1,10000:833:1:1;
5334,10000,0,1,10000:834:1:1;
5335,10000,0,1,10000:835:1:1;
5336,10000,0,1,10000:836:1:1;
5337,10000,0,1,10000:837:1:1;
5338,10000,0,1,10000:838:1:1;
5339,10000,0,1,10000:839:1:1;
5340,10000,0,1,10000:840:1:1;
5341,10000,0,1,10000:841:1:1;
5342,10000,0,1,10000:842:1:1;
5343,10000,0,1,10000:843:1:1;
5344,10000,0,1,10000:844:1:1;
5345,10000,0,1,10000:845:1:1;
5346,10000,0,1,10000:846:1:1;
5347,10000,0,1,10000:847:1:1;
5348,10000,0,1,10000:848:1:1;
5349,10000,0,1,10000:849:1:1;
5354,10000,0,1,10000:854:1:1;
5400,10000,0,1,10000:12131:1:1;
5401,10000,0,1,10000:12132:1:1;
5402,10000,0,1,10000:12133:1:1;
5403,10000,0,1,10000:12134:1:1;
5404,10000,0,1,10000:12135:1:1;
5405,10000,0,1,10000:12136:1:1;
5406,10000,0,1,10000:12137:1:1;
5407,10000,0,1,10000:12138:1:1;
5408,10000,0,1,10000:12139:1:1;
5409,10000,0,1,10000:12140:1:1;
5410,10000,0,1,10000:12141:1:1;
5411,10000,0,1,10000:12142:1:1;
5412,10000,0,1,10000:12143:1:1;
5413,10000,0,1,10000:12144:1:1;
5414,10000,0,1,10000:12145:1:1;
5415,10000,0,1,10000:12146:1:1;
5416,10000,0,1,10000:12147:1:1;
5417,10000,0,1,10000:12148:1:1;
5418,10000,0,1,10000:12149:1:1;
5419,10000,0,1,10000:12150:1:1;
5420,10000,0,1,10000:12151:1:1;
5421,10000,0,1,10000:12152:1:1;
5422,10000,0,1,10000:12153:1:1;
5423,10000,0,1,10000:12154:1:1;
5424,10000,0,1,10000:12155:1:1;
5425,10000,0,1,10000:12156:1:1;
5426,10000,0,1,10000:12157:1:1;
5427,10000,0,1,10000:12158:1:1;
5428,10000,0,1,10000:12159:1:1;
5429,10000,0,1,10000:12160:1:1;
5430,10000,0,1,10000:12164:1:1;
5431,10000,0,1,10000:12191:1:1;
5981,10000,0,1,2500:12301:1:1;2500:12302:1:1;2500:12303:1:1;2500:12304:1:1;2500:12305:1:1;2500:12306:1:1;2500:12307:1:1;2500:12308:1:1;2500:12309:1:1;2500:12310:1:1;2500:12311:1:1;2500:12312:1:1;1700:12113:1:1;1700:12114:1:1;1700:12115:1:1;1700:12116:1:1;1700:12117:1:1;1700:12118:1:1;1700:12119:1:1;1700:12120:1:1;1700:12123:1:1;1700:12124:1:1;1700:12125:1:1;1700:12126:1:1;1700:12127:1:1;1700:12128:1:1;1700:12129:1:1;1700:12130:1:1;20:12834:5:5;20:12842:5:5;115:12836:5:5;115:12840:5:5;115:12848:5:5;115:12850:5:5;115:12851:5:5;115:12855:5:5;115:12858:5:5;115:12835:5:5;1:12134:1:1;1:12142:1:1;12:12136:1:1;12:12140:1:1;12:12148:1:1;12:12150:1:1;12:12151:1:1;12:12155:1:1;12:12158:1:1;12:12131:1:1;12:12161:1:1;12:12169:1:1;12:12170:1:1;12:12175:1:1;12:12173:1:1;12:12149:1:1;12:12176:1:1;12:12177:1:1;12:12179:1:1;12:12181:1:1;12:12182:1:1;12:12183:1:1;12:12185:1:1;12:12156:1:1;12:12157:1:1;12:12190:1:1;12:12188:1:1;
5982,10000,0,1,10000:520:1:1
5983,10000,0,1,2500:12301:1:1;2500:12302:1:1;2500:12303:1:1;2500:12304:1:1;2500:12305:1:1;2500:12306:1:1;2500:12307:1:1;2500:12308:1:1;2500:12309:1:1;2500:12310:1:1;2500:12311:1:1;2500:12312:1:1;1700:12113:1:1;1700:12114:1:1;1700:12115:1:1;1700:12116:1:1;1700:12117:1:1;1700:12118:1:1;1700:12119:1:1;1700:12120:1:1;1700:12123:1:1;1700:12124:1:1;1700:12125:1:1;1700:12126:1:1;1700:12127:1:1;1700:12128:1:1;1700:12129:1:1;1700:12130:1:1;50:12834:5:5;50:12842:5:5;180:12836:5:5;180:12840:5:5;180:12848:5:5;180:12850:5:5;180:12851:5:5;180:12855:5:5;180:12858:5:5;180:12835:5:5;5:12134:1:1;5:12142:1:1;17:12136:1:1;17:12140:1:1;17:12148:1:1;17:12150:1:1;17:12151:1:1;17:12155:1:1;17:12158:1:1;17:12131:1:1;17:12161:1:1;17:12169:1:1;17:12170:1:1;17:12175:1:1;17:12173:1:1;17:12149:1:1;17:12176:1:1;17:12177:1:1;17:12179:1:1;17:12181:1:1;17:12182:1:1;17:12183:1:1;17:12185:1:1;17:12156:1:1;17:12157:1:1;17:12190:1:1;17:12188:1:1;
5991,10000,0,1,3500:801:1:1;3500:802:1:1;3500:803:1:1;3500:804:1:1;3500:805:1:1;3500:806:1:1;3500:807:1:1;3500:808:1:1;3500:809:1:1;1000:810:1:1;1000:811:1:1;1000:812:1:1;1000:813:1:1;1000:814:1:1;1000:815:1:1;1000:816:1:1;1000:817:1:1;1000:818:1:1;1000:819:1:1;1000:820:1:1;1000:821:1:1;1000:822:1:1;1000:824:1:1;1000:825:1:1;1000:826:1:1;1000:827:1:1;1000:828:1:1;3:834:1:1;1:841:1:1;13:833:1:1;13:836:1:1;13:837:1:1;13:838:1:1;13:840:1:1;13:848:1:1;13:823:1:1;13:832:1:1;13:839:1:1;13:842:1:1;13:847:1:1;
5992,10000,0,1,0:801:1:1;0:802:1:1;0:803:1:1;0:804:1:1;0:805:1:1;0:806:1:1;0:807:1:1;0:808:1:1;0:809:1:1;0:810:1:1;0:811:1:1;0:812:1:1;0:813:1:1;0:814:1:1;0:815:1:1;0:816:1:1;0:817:1:1;0:818:1:1;0:819:1:1;0:820:1:1;0:821:1:1;0:822:1:1;0:824:1:1;0:825:1:1;0:826:1:1;0:827:1:1;0:828:1:1;0:834:1:1;0:841:1:1;70:833:1:1;70:836:1:1;70:837:1:1;70:838:1:1;70:840:1:1;70:848:1:1;70:823:1:1;70:832:1:1;70:839:1:1;70:842:1:1;70:847:1:1;
5993,10000,0,1,3500:801:1:1;3500:802:1:1;3500:803:1:1;3500:804:1:1;3500:805:1:1;3500:806:1:1;3500:807:1:1;3500:808:1:1;3500:809:1:1;1000:810:1:1;1000:811:1:1;1000:812:1:1;1000:813:1:1;1000:814:1:1;1000:815:1:1;1000:816:1:1;1000:817:1:1;1000:818:1:1;1000:819:1:1;1000:820:1:1;1000:821:1:1;1000:822:1:1;1000:824:1:1;1000:825:1:1;1000:826:1:1;1000:827:1:1;1000:828:1:1;15:834:1:1;10:841:1:1;35:833:1:1;35:836:1:1;35:837:1:1;35:838:1:1;35:840:1:1;35:848:1:1;35:823:1:1;35:832:1:1;35:839:1:1;35:842:1:1;35:847:1:1;
6000,10000,0,1,2000:801:1:1;2000:802:1:1;2000:803:1:1;2000:804:1:1;2000:805:1:1;2000:806:1:1;2000:807:1:1;2000:808:1:1;2000:809:1:1;
6001,10000,0,1,2000:810:1:1;2000:811:1:1;2000:812:1:1;2000:813:1:1;2000:814:1:1;2000:815:1:1;2000:816:1:1;2000:817:1:1;2000:818:1:1;2000:819:1:1;2000:820:1:1;2000:821:1:1;2000:822:1:1;
6002,10000,0,1,2000:823:1:1;2000:832:1:1;2000:835:1:1;2000:839:1:1;2000:842:1:1;2000:843:1:1;20:845:1:1;2000:847:1:1;
6003,10000,0,1,2000:823:1:1;2000:832:1:1;2000:835:1:1;2000:839:1:1;2000:842:1:1;2000:843:1:1;20:845:1:1;2000:847:1:1;
6004,10000,0,1,2500:12301:1:1;2500:12302:1:1;2500:12303:1:1;2500:12304:1:1;2500:12305:1:1;2500:12306:1:1;2500:12307:1:1;2500:12308:1:1;2500:12309:1:1;2500:12310:1:1;2500:12311:1:1;2500:12312:1:1;0:12113:1:1;0:12114:1:1;0:12115:1:1;0:12116:1:1;0:12117:1:1;0:12118:1:1;0:12119:1:1;0:12120:1:1;0:12123:1:1;0:12124:1:1;0:12125:1:1;0:12126:1:1;0:12127:1:1;0:12128:1:1;0:12129:1:1;0:12130:1:1;0:12213:1:1;0:12214:1:1;0:12215:1:1;0:12216:1:1;0:12217:1:1;0:12218:1:1;0:12219:1:1;0:12220:1:1;0:12223:1:1;0:12224:1:1;0:12225:1:1;0:12226:1:1;0:12227:1:1;0:12228:1:1;0:12229:1:1;0:12230:1:1;0:12313:1:1;0:12314:1:1;0:12315:1:1;0:12316:1:1;0:12317:1:1;0:12318:1:1;0:12319:1:1;0:12320:1:1;0:12323:1:1;0:12324:1:1;0:12325:1:1;0:12326:1:1;0:12327:1:1;0:12328:1:1;0:12329:1:1;0:12330:1:1;0:12834:1:1;0:12836:1:1;0:12840:1:1;0:12842:1:1;0:12848:1:1;0:12850:1:1;0:12851:1:1;0:12855:1:1;0:12858:1:1;0:12835:1:1;0:12134:1:1;0:12136:1:1;0:12140:1:1;0:12142:1:1;0:12148:1:1;0:12150:1:1;0:12151:1:1;0:12155:1:1;0:12158:1:1;0:12131:1:1;0:12161:1:1;0:12169:1:1;0:12170:1:1;0:12175:1:1;0:12173:1:1;0:12149:1:1;0:12176:1:1;0:12177:1:1;0:12179:1:1;0:12181:1:1;0:12182:1:1;0:12183:1:1;0:12185:1:1;0:12156:1:1;0:12157:1:1;0:12190:1:1;0:12188:1:1;
6005,10000,0,1,0:12301:1:1;0:12302:1:1;0:12303:1:1;0:12304:1:1;0:12305:1:1;0:12306:1:1;0:12307:1:1;0:12308:1:1;0:12309:1:1;0:12310:1:1;0:12311:1:1;0:12312:1:1;1700:12113:1:1;1700:12114:1:1;1700:12115:1:1;1700:12116:1:1;1700:12117:1:1;1700:12118:1:1;1700:12119:1:1;1700:12120:1:1;1700:12123:1:1;1700:12124:1:1;1700:12125:1:1;1700:12126:1:1;1700:12127:1:1;1700:12128:1:1;1700:12129:1:1;1700:12130:1:1;2:12834:5:5;2:12842:5:5;10:12836:5:5;10:12840:5:5;10:12848:5:5;10:12850:5:5;10:12851:5:5;10:12855:5:5;10:12858:5:5;10:12835:5:5;0:12134:1:1;0:12142:1:1;0:12136:1:1;0:12140:1:1;0:12148:1:1;0:12150:1:1;0:12151:1:1;0:12155:1:1;0:12158:1:1;0:12131:1:1;0:12161:1:1;0:12169:1:1;0:12170:1:1;0:12175:1:1;0:12173:1:1;0:12149:1:1;0:12176:1:1;0:12177:1:1;0:12179:1:1;0:12181:1:1;0:12182:1:1;0:12183:1:1;0:12185:1:1;0:12156:1:1;0:12157:1:1;0:12190:1:1;0:12188:1:1;
6006,10000,0,1,0:12301:1:1;0:12302:1:1;0:12303:1:1;0:12304:1:1;0:12305:1:1;0:12306:1:1;0:12307:1:1;0:12308:1:1;0:12309:1:1;0:12310:1:1;0:12311:1:1;0:12312:1:1;0:12113:1:1;0:12114:1:1;0:12115:1:1;0:12116:1:1;0:12117:1:1;0:12118:1:1;0:12119:1:1;0:12120:1:1;0:12123:1:1;0:12124:1:1;0:12125:1:1;0:12126:1:1;0:12127:1:1;0:12128:1:1;0:12129:1:1;0:12130:1:1;0:12834:5:5;0:12842:5:5;0:12836:5:5;0:12840:5:5;0:12848:5:5;0:12850:5:5;0:12851:5:5;0:12855:5:5;0:12858:5:5;0:12835:5:5;10:12134:1:1;10:12142:1:1;90:12136:1:1;90:12140:1:1;90:12148:1:1;90:12150:1:1;90:12151:1:1;90:12155:1:1;90:12158:1:1;90:12131:1:1;90:12161:1:1;90:12169:1:1;90:12170:1:1;90:12175:1:1;90:12173:1:1;90:12149:1:1;90:12176:1:1;90:12177:1:1;90:12179:1:1;90:12181:1:1;90:12182:1:1;90:12183:1:1;90:12185:1:1;90:12156:1:1;90:12157:1:1;90:12190:1:1;90:12188:1:1;
6007,10000,0,1,3500:801:1:1;3500:802:1:1;3500:803:1:1;3500:804:1:1;3500:805:1:1;3500:806:1:1;3500:807:1:1;3500:808:1:1;3500:809:1:1;600:810:1:1;600:811:1:1;600:812:1:1;600:813:1:1;600:814:1:1;600:815:1:1;600:816:1:1;600:817:1:1;600:818:1:1;600:819:1:1;600:820:1:1;600:821:1:1;600:822:1:1;600:824:1:1;600:825:1:1;600:826:1:1;600:827:1:1;600:828:1:1;25:833:1:1;25:834:1:1;25:836:1:1;25:837:1:1;25:838:1:1;25:840:1:1;25:841:1:1;25:848:1:1;
6008,10000,0,1,3500:801:1:1;3500:802:1:1;3500:803:1:1;3500:804:1:1;3500:805:1:1;3500:806:1:1;3500:807:1:1;3500:808:1:1;3500:809:1:1;0:810:1:1;0:811:1:1;0:812:1:1;0:813:1:1;0:814:1:1;0:815:1:1;0:816:1:1;0:817:1:1;0:818:1:1;0:819:1:1;0:820:1:1;0:821:1:1;0:822:1:1;0:824:1:1;0:825:1:1;0:826:1:1;0:827:1:1;0:828:1:1;0:833:1:1;0:834:1:1;0:836:1:1;0:837:1:1;0:838:1:1;0:840:1:1;0:841:1:1;0:848:1:1;
6009,10000,0,1,0:801:1:1;0:802:1:1;0:803:1:1;0:804:1:1;0:805:1:1;0:806:1:1;0:807:1:1;0:808:1:1;0:809:1:1;600:810:1:1;600:811:1:1;600:812:1:1;600:813:1:1;600:814:1:1;600:815:1:1;600:816:1:1;600:817:1:1;600:818:1:1;600:819:1:1;600:820:1:1;600:821:1:1;600:822:1:1;600:824:1:1;600:825:1:1;600:826:1:1;600:827:1:1;600:828:1:1;0:833:1:1;0:834:1:1;0:836:1:1;0:837:1:1;0:838:1:1;0:840:1:1;0:841:1:1;0:848:1:1;
6010,10000,0,1,0:801:1:1;0:802:1:1;0:803:1:1;0:804:1:1;0:805:1:1;0:806:1:1;0:807:1:1;0:808:1:1;0:809:1:1;0:810:1:1;0:811:1:1;0:812:1:1;0:813:1:1;0:814:1:1;0:815:1:1;0:816:1:1;0:817:1:1;0:818:1:1;0:819:1:1;0:820:1:1;0:821:1:1;0:822:1:1;0:824:1:1;0:825:1:1;0:826:1:1;0:827:1:1;0:828:1:1;0:834:1:1;0:841:1:1;70:833:1:1;70:836:1:1;70:837:1:1;70:838:1:1;70:840:1:1;70:848:1:1;70:823:1:1;70:832:1:1;70:839:1:1;70:842:1:1;70:847:1:1;
6011,10000,0,1,3500:801:1:1;3500:802:1:1;3500:803:1:1;3500:804:1:1;3500:805:1:1;3500:806:1:1;3500:807:1:1;3500:808:1:1;3500:809:1:1;600:810:1:1;600:811:1:1;600:812:1:1;600:813:1:1;600:814:1:1;600:815:1:1;600:816:1:1;600:817:1:1;600:818:1:1;600:819:1:1;600:820:1:1;600:821:1:1;600:822:1:1;600:824:1:1;600:825:1:1;600:826:1:1;600:827:1:1;600:828:1:1;25:833:1:1;25:834:1:1;25:836:1:1;25:837:1:1;25:838:1:1;25:840:1:1;25:841:1:1;25:848:1:1;
6012,10000,0,1,7000:36:10:10;6000:36:30:30;5000:36:50:50;500:1002:1:1;500:1502:1:1;500:2002:1:1;500:3002:1:1;500:4002:1:1;1500:5002:1:1;1500:6002:1:1;1500:7002:1:1;1500:8002:1:1;1500:9002:1:1;10000:511:1:1;1000:495:1:1;500:101:1:1;500:102:1:1
6013,10000,0,1,7000:37:80:80;6000:37:120:120;5000:37:160:160;500:1004:1:1;500:1504:1:1;500:2004:1:1;500:3004:1:1;500:4004:1:1;1500:5004:1:1;1500:6004:1:1;1500:7004:1:1;1500:8004:1:1;1500:9004:1:1;10000:530:10:10;500:496:1:1;500:101:2:2;500:102:2:2
6014,10000,0,1,7000:38:200:200;7000:38:250:250;5000:38:300:300;500:1005:1:1;500:1505:1:1;500:2005:1:1;500:3005:1:1;500:4005:1:1;1500:5005:1:1;1500:6005:1:1;1500:7005:1:1;1500:8005:1:1;1500:9005:1:1;10000:512:1:1;500:497:1:1;5000:531:1:1;3000:517:1:1;500:101:5:5;500:102:5:5
6015,10000,0,1,7000:39:1000:1000;6000:39:1500:1500;5000:39:2000:2000;1000:1008:1:1;1000:1508:1:1;1000:2008:1:1;1000:3008:1:1;1000:4008:1:1;3000:5008:1:1;5000:6008:1:1;5000:7008:1:1;5000:8008:1:1;3000:9008:1:1;10000:513:1:1;300:498:1:1;10000:531:10:10;5000:517:10:10;1500:101:50:50;1000:102:50:50
6016,10000,1,1,10000:110:20:20;10000:12144:1:1;10000:644:3:3;10000:9007:1:1;10000:687:1:1;10000:13152:1:1;10000:26:1280:1280;10000:701:1:1;10000:404:30:30;10000:405:30:30;10000:406:30:30;10000:578:1:1
6017,10000,1,1,10000:100:20:20;10000:2:4000:4000;10000:138:1:1;10000:9007:1:1;10000:115:21:21;10000:527:1:1;10000:26:1280:1280;10000:13104:1:1;10000:404:60:60;10000:405:60:60;10000:406:60:60;10000:579:1:1
6018,10000,1,1,10000:110:20:20;10000:12144:2:2;10000:139:1:1;10000:520:1:1;10000:115:21:21;10000:526:1:1;10000:26:3280:3280;10000:2:2000:2000;10000:420:30:30;10000:422:30:30;10000:440:30:30;10000:580:1:1
6019,10000,1,1,10000:100:30:30;10000:687:1:1;10000:138:1:1;10000:520:1:1;10000:115:30:30;10000:136:1:1;10000:26:3280:3280;10000:2:2000:2000;10000:581:1:1
6020,10000,1,1,10000:110:20:20;10000:12144:1:1;10000:139:1:1;10000:520:1:1;10000:116:30:30;10000:136:1:1;10000:26:3280:3280;10000:2:2000:2000;10000:582:1:1
6021,10000,1,1,10000:100:40:40;10000:687:1:1;10000:138:1:1;10000:520:1:1;10000:115:30:30;10000:136:1:1;10000:26:3280:3280;10000:2:2000:2000;10000:583:1:1
