唯一id,场景id,地图id,场景类型,挑战CD,在线base经验,在线伙伴经验,在线银币,技能经验,在线金币,在线魔魂值,在线掉落包ID,活动掉落ID,通关base经验,通关job经验,通关银币,通关金币,通关伙伴经验,活动通关现金,通关超过人数,通关公会活跃,通关掉落包ID,bossId,挑战后掉落次数,BOSS挑战等级,巡游前剧情ID,剧情索引ID,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,里程积分,查封配置
160084,84,16,1,1,4700,5292,2232,2960,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10300,32280,6696,5,14880,0,4364,,10000:519,91519104,0,56,,,71061,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160085,85,16,1,1,4700,5292,2232,2960,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10310,32290,6696,5,14898,1,4365,,10000:519,91504105,0,57,,,71104,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160086,86,16,1,1,4704,5300,2236,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10320,32300,6708,5,14916,0,4366,,10000:519,91509145,0,57,,,71099,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160087,87,16,1,1,4704,5300,2236,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10330,32310,6708,5,14934,0,4367,,10000:519,91514100,0,57,,,71093,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160088,88,16,1,1,4704,5300,2236,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10340,32320,6708,5,14952,0,4368,,10000:519,91519101,0,57,,,71087,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160089,89,16,1,1,4704,5300,2236,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10350,32330,6708,5,14970,0,4369,,10000:519;10000:6228,91504102,0,57,,,71082,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160090,90,16,1,1,4704,5300,2236,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10360,32340,6708,5,14988,1,4370,,10000:519,91509103,0,57,,,71076,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,648,5;8000
160091,91,16,1,1,4708,5308,2240,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10370,32350,6720,5,15006,0,4371,,10000:519,91514104,0,57,,,71071,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160092,92,16,1,1,4708,5308,2240,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10380,32360,6720,5,15024,0,4372,,10000:519,91519105,0,57,,,71065,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160093,93,16,1,1,4708,5308,2240,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10390,32370,6720,5,15042,0,4373,,10000:519,91504106,0,57,,,71059,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160094,94,16,1,1,4708,5308,2240,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10400,32380,6720,5,15060,0,4374,,10000:519,91509107,0,57,,,71054,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160095,95,16,1,1,4708,5308,2240,2988,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10410,32390,6720,5,15078,1,4375,,10000:519,91514150,0,57,,,71130,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160096,96,16,1,1,4712,5316,2244,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10420,32400,6732,5,15096,0,4376,,10000:519,91519108,0,57,,,71125,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160097,97,16,1,1,4712,5316,2244,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10430,32410,6732,5,15114,0,4377,,10000:519,91504109,0,57,,,71119,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160098,98,16,1,1,4712,5316,2244,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10440,32420,6732,5,15132,0,4378,,10000:519,91509110,0,57,,,71113,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160099,99,16,1,1,4712,5316,2244,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10450,32430,6732,5,15150,0,4379,,10000:519,91514111,0,57,,,71108,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
160100,100,16,3,1,4712,5316,2244,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10460,32440,6732,5,15168,8,4380,,10000:5116,91599140,0,57,,,71102,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,649,5;8000
170001,1,17,1,1,4716,5324,2248,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10470,32450,6744,5,15186,0,4381,,10000:519,91600076,0,57,2,17,71097,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
170002,2,17,1,1,4716,5324,2248,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10480,32460,6744,5,15204,0,4382,,10000:519,91605077,0,57,,,71091,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
170003,3,17,1,1,4716,5324,2248,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10490,32470,6744,5,15222,0,4383,,10000:519,91610078,0,57,,,71085,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
170004,4,17,1,1,4716,5324,2248,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10500,32480,6744,5,15240,0,4384,,10000:519,91615079,0,57,,,71080,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
170005,5,17,1,1,4716,5324,2248,3016,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10510,32490,6744,5,15258,1,4385,,10000:519,91601120,0,57,,,71119,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
170006,6,17,1,1,4720,5332,2252,3044,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10520,32500,6756,5,15276,0,4386,,10000:519,91606079,0,57,,,71114,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
170007,7,17,1,1,4720,5332,2252,3044,0,12,10000:14;10000:5020;10000:500;10000:4990,10000:500:1;1000:501:1;100:502:1;200:250:1;300:251:1;100:252:1;200:253:1;,10530,32510,6756,5,15294,0,4387,,10000:519,91611080,0,57,,,71108,20:0,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,722,5;8000
