唯一id,品质,最大星级,效果ID,职业类型,职业分支,职业阶段,升星条件,增加战力,熔炼返还材料,神器重铸消耗,批次id,开服天数区间
14313,3,3,1:12226:22226:42316;2:12228:22228:42319;3:12227:22227:42317,4,2,3,14293|1:1|100000;14303|1:1|200000;14313|1:1|400000,1750;1870;2500,48|100;14293|1:1|100000:48|100;14293|1:14303|1:1|200000:48|100;14293|1:14303|1:14313|1:1|400000:48|100,,,
14314,3,3,1:13128:23128:43311;2:13129:23129:43319;3:13122:23122:43312,3,1,3,14294|1:1|100000;14304|1:1|200000;14314|1:1|400000,1750;1870;2500,48|100;14294|1:1|100000:48|100;14294|1:14304|1:1|200000:48|100;14294|1:14304|1:14314|1:1|400000:48|100,,,
14315,3,3,1:13228:23228:43315;2:13222:23222:43318;3:13229:23229:43316,3,2,3,14295|1:1|100000;14305|1:1|200000;14315|1:1|400000,1750;1870;2500,48|100;14295|1:1|100000:48|100;14295|1:14305|1:1|200000:48|100;14295|1:14305|1:14315|1:1|400000:48|100,,,
14316,3,3,1:14126:24126:44310;2:14128:24128:44314;3:14129:24129:44312,2,1,3,14296|1:1|100000;14306|1:1|200000;14316|1:1|400000,1750;1870;2500,48|100;14296|1:1|100000:48|100;14296|1:14306|1:1|200000:48|100;14296|1:14306|1:14316|1:1|400000:48|100,,,
14317,3,3,1:14226:24226:44315;2:14228:24228:44319;3:14229:24229:44317,2,2,3,14297|1:1|100000;14307|1:1|200000;14317|1:1|400000,1750;1870;2500,48|100;14297|1:1|100000:48|100;14297|1:14307|1:1|200000:48|100;14297|1:14307|1:14317|1:1|400000:48|100,,,
14318,3,3,1:15125:25125:45311;2:15128:25128:45319;3:15129:25129:45312,5,1,3,14298|1:1|100000;14308|1:1|200000;14318|1:1|400000,1750;1870;2500,48|100;14298|1:1|100000:48|100;14298|1:14308|1:1|200000:48|100;14298|1:14308|1:14318|1:1|400000:48|100,,,
14319,3,3,1:15225:25225:45314;2:15229:25229:45316;3:15228:25228:45317,5,2,3,14299|1:1|100000;14309|1:1|200000;14319|1:1|400000,1750;1870;2500,48|100;14299|1:1|100000:48|100;14299|1:14309|1:1|200000:48|100;14299|1:14309|1:14319|1:1|400000:48|100,,,
14320,3,4,1:11129:21129:41310;2:11131:21131:41312;3:11132:21132:41313;4:11130:21130:41311,1,1,3,14290|1:1|100000;14300|1:1|200000;14310|1:1|400000;14320|1:1|800000,1750;1870;2500;3800;5000,48|200;14290|1:1|100000:48|200;14290|1:14300|1:1|200000:48|200;14290|1:14300|1:14310|1:1|400000:48|200;14290|1:14300|1:14310|1:14320|1:1|800000:48|200,,,
14321,3,4,1:11230:21230:41316;2:11231:21231:41317;3:11232:21232:41318;4:11229:21229:41315,1,2,3,14291|1:1|100000;14301|1:1|200000;14311|1:1|400000;14321|1:1|800000,1750;1870;2500;3800;5000,48|200;14291|1:1|100000:48|200;14291|1:14301|1:1|200000:48|200;14291|1:14301|1:14311|1:1|400000:48|200;14291|1:14301|1:14311|1:14321|1:1|800000:48|200,,,
14322,3,4,1:12126:22126:42311;2:12127:22127:42312;3:12128:22128:42313;4:12125:22125:42310,4,1,3,14292|1:1|100000;14302|1:1|200000;14312|1:1|400000;14322|1:1|800000,1750;1870;2500;3800;5000,48|200;14292|1:1|100000:48|200;14292|1:14302|1:1|200000:48|200;14292|1:14302|1:14312|1:1|400000:48|200;14292|1:14302|1:14312|1:14322|1:1|800000:48|200,,,
14323,3,4,1:12226:22226:42316;2:12228:22228:42319;3:12227:22227:42317;4:12225:22225:42315,4,2,3,14293|1:1|100000;14303|1:1|200000;14313|1:1|400000;14323|1:1|800000,1750;1870;2500;3800;5000,48|200;14293|1:1|100000:48|200;14293|1:14303|1:1|200000:48|200;14293|1:14303|1:14313|1:1|400000:48|200;14293|1:14303|1:14313|1:14323|1:1|800000:48|200,,,
14324,3,4,1:13128:23128:43311;2:13129:23129:43319;3:13122:23122:43312;4:13123:23123:43310,3,1,3,14294|1:1|100000;14304|1:1|200000;14314|1:1|400000;14324|1:1|800000,1750;1870;2500;3800;5000,48|200;14294|1:1|100000:48|200;14294|1:14304|1:1|200000:48|200;14294|1:14304|1:14314|1:1|400000:48|200;14294|1:14304|1:14314|1:14324|1:1|800000:48|200,,,
14325,3,4,1:13228:23228:43315;2:13222:23222:43318;3:13229:23229:43316;4:13223:23223:43314,3,2,3,14295|1:1|100000;14305|1:1|200000;14315|1:1|400000;14325|1:1|800000,1750;1870;2500;3800;5000,48|200;14295|1:1|100000:48|200;14295|1:14305|1:1|200000:48|200;14295|1:14305|1:14315|1:1|400000:48|200;14295|1:14305|1:14315|1:14325|1:1|800000:48|200,,,
14326,3,4,1:14126:24126:44310;2:14128:24128:44314;3:14129:24129:44312;4:14127:24127:44311,2,1,3,14296|1:1|100000;14306|1:1|200000;14316|1:1|400000;14326|1:1|800000,1750;1870;2500;3800;5000,48|200;14296|1:1|100000:48|200;14296|1:14306|1:1|200000:48|200;14296|1:14306|1:14316|1:1|400000:48|200;14296|1:14306|1:14316|1:14326|1:1|800000:48|200,,,
14327,3,4,1:14226:24226:44315;2:14228:24228:44319;3:14229:24229:44317;4:14227:24227:44316,2,2,3,14297|1:1|100000;14307|1:1|200000;14317|1:1|400000;14327|1:1|800000,1750;1870;2500;3800;5000,48|200;14297|1:1|100000:48|200;14297|1:14307|1:1|200000:48|200;14297|1:14307|1:14317|1:1|400000:48|200;14297|1:14307|1:14317|1:14327|1:1|800000:48|200,,,
14328,3,4,1:15125:25125:45311;2:15128:25128:45319;3:15129:25129:45312;4:15124:25124:45310,5,1,3,14298|1:1|100000;14308|1:1|200000;14318|1:1|400000;14328|1:1|800000,1750;1870;2500;3800;5000,48|200;14298|1:1|100000:48|200;14298|1:14308|1:1|200000:48|200;14298|1:14308|1:14318|1:1|400000:48|200;14298|1:14308|1:14318|1:14328|1:1|800000:48|200,,,
14329,3,4,1:15225:25225:45314;2:15229:25229:45316;3:15228:25228:45317;4:15224:25224:45315,5,2,3,14299|1:1|100000;14309|1:1|200000;14319|1:1|400000;14329|1:1|800000,1750;1870;2500;3800;5000,48|200;14299|1:1|100000:48|200;14299|1:14309|1:1|200000:48|200;14299|1:14309|1:14319|1:1|400000:48|200;14299|1:14309|1:14319|1:14329|1:1|800000:48|200,,,
14330,3,5,1:11129:21129:41310;2:11131:21131:41312;3:11132:21132:41313;4:11130:21130:41311;5:11132:21132:41314;,1,1,3,14290|1:1|100000;14300|1:1|200000;14310|1:1|400000;14320|1:1|800000;14330|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14290|1:1|100000:48|500;14290|1:14300|1:1|200000:48|500;14290|1:14300|1:14310|1:1|400000:48|500;14290|1:14300|1:14310|1:14320|1:1|800000:48|500;14290|1:14300|1:14310|1:14320|1:14330|1:1|1600000:48|500,2:1000,2,45:60
14331,3,5,1:11230:21230:41316;2:11231:21231:41317;3:11232:21232:41318;4:11229:21229:41315;5:11232:21232:41319;,1,2,3,14291|1:1|100000;14301|1:1|200000;14311|1:1|400000;14321|1:1|800000;14331|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14291|1:1|100000:48|500;14291|1:14301|1:1|200000:48|500;14291|1:14301|1:14311|1:1|400000:48|500;14291|1:14301|1:14311|1:14321|1:1|800000:48|500;14291|1:14301|1:14311|1:14321|1:14331|1:1|1600000:48|500,2:1000,2,45:60
14332,3,5,1:12126:22126:42311;2:12127:22127:42312;3:12128:22128:42313;4:12125:22125:42310;5:12128:22128:42314;,4,1,3,14292|1:1|100000;14302|1:1|200000;14312|1:1|400000;14322|1:1|800000;14332|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14292|1:1|100000:48|500;14292|1:14302|1:1|200000:48|500;14292|1:14302|1:14312|1:1|400000:48|500;14292|1:14302|1:14312|1:14322|1:1|800000:48|500;14292|1:14302|1:14312|1:14322|1:14332|1:1|1600000:48|500,2:1000,2,45:60
14333,3,5,1:12226:22226:42316;2:12228:22228:42319;3:12227:22227:42317;4:12225:22225:42315;5:12227:22227:42318;,4,2,3,14293|1:1|100000;14303|1:1|200000;14313|1:1|400000;14323|1:1|800000;14333|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14293|1:1|100000:48|500;14293|1:14303|1:1|200000:48|500;14293|1:14303|1:14313|1:1|400000:48|500;14293|1:14303|1:14313|1:14323|1:1|800000:48|500;14293|1:14303|1:14313|1:14323|1:14333|1:1|1600000:48|500,2:1000,2,45:60
14334,3,5,1:13128:23128:43311;2:13129:23129:43319;3:13122:23122:43312;4:13123:23123:43310;5:13122:23122:43313;,3,1,3,14294|1:1|100000;14304|1:1|200000;14314|1:1|400000;14324|1:1|800000;14334|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14294|1:1|100000:48|500;14294|1:14304|1:1|200000:48|500;14294|1:14304|1:14314|1:1|400000:48|500;14294|1:14304|1:14314|1:14324|1:1|800000:48|500;14294|1:14304|1:14314|1:14324|1:14334|1:1|1600000:48|500,2:1000,2,45:60
14335,3,5,1:13228:23228:43315;2:13222:23222:43318;3:13229:23229:43316;4:13223:23223:43314;5:13229:23229:43317;,3,2,3,14295|1:1|100000;14305|1:1|200000;14315|1:1|400000;14325|1:1|800000;14335|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14295|1:1|100000:48|500;14295|1:14305|1:1|200000:48|500;14295|1:14305|1:14315|1:1|400000:48|500;14295|1:14305|1:14315|1:14325|1:1|800000:48|500;14295|1:14305|1:14315|1:14325|1:14335|1:1|1600000:48|500,2:1000,2,45:60
14336,3,5,1:14126:24126:44310;2:14128:24128:44314;3:14129:24129:44312;4:14127:24127:44311;5:14129:24129:44313;,2,1,3,14296|1:1|100000;14306|1:1|200000;14316|1:1|400000;14326|1:1|800000;14336|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14296|1:1|100000:48|500;14296|1:14306|1:1|200000:48|500;14296|1:14306|1:14316|1:1|400000:48|500;14296|1:14306|1:14316|1:14326|1:1|800000:48|500;14296|1:14306|1:14316|1:14326|1:14336|1:1|1600000:48|500,2:1000,2,45:60
14337,3,5,1:14226:24226:44315;2:14228:24228:44319;3:14229:24229:44317;4:14227:24227:44316;5:14229:24229:44318;,2,2,3,14297|1:1|100000;14307|1:1|200000;14317|1:1|400000;14327|1:1|800000;14337|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14297|1:1|100000:48|500;14297|1:14307|1:1|200000:48|500;14297|1:14307|1:14317|1:1|400000:48|500;14297|1:14307|1:14317|1:14327|1:1|800000:48|500;14297|1:14307|1:14317|1:14327|1:14337|1:1|1600000:48|500,2:1000,2,45:60
14338,3,5,1:15125:25125:45311;2:15128:25128:45319;3:15129:25129:45312;4:15124:25124:45310;5:15129:25129:45313;,5,1,3,14298|1:1|100000;14308|1:1|200000;14318|1:1|400000;14328|1:1|800000;14338|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14298|1:1|100000:48|500;14298|1:14308|1:1|200000:48|500;14298|1:14308|1:14318|1:1|400000:48|500;14298|1:14308|1:14318|1:14328|1:1|800000:48|500;14298|1:14308|1:14318|1:14328|1:14338|1:1|1600000:48|500,2:1000,2,45:60
14339,3,5,1:15225:25225:45314;2:15229:25229:45316;3:15228:25228:45317;4:15224:25224:45315;5:15228:25228:45318;,5,2,3,14299|1:1|100000;14309|1:1|200000;14319|1:1|400000;14329|1:1|800000;14339|1:1|1600000,1750;1870;2500;3800;5000;6000,48|500;14299|1:1|100000:48|500;14299|1:14309|1:1|200000:48|500;14299|1:14309|1:14319|1:1|400000:48|500;14299|1:14309|1:14319|1:14329|1:1|800000:48|500;14299|1:14309|1:14319|1:14329|1:14339|1:1|1600000:48|500,2:1000,2,45:60
14340,3,1,1:11131:21131:41320,1,1,3,14340|1:1|100000,,48|50;14340|1:1|100000:48|50,,,
14341,3,1,1:11231:21231:41325,1,2,3,14341|1:1|100000,,48|50;14341|1:1|100000:48|50,,,
14342,3,1,1:12127:22127:42320,4,1,3,14342|1:1|100000,,48|50;14342|1:1|100000:48|50,,,
14343,3,1,1:12228:22228:42326,4,2,3,14343|1:1|100000,,48|50;14343|1:1|100000:48|50,,,
14344,3,1,1:13129:23129:43320,3,1,3,14344|1:1|100000,,48|50;14344|1:1|100000:48|50,,,
14345,3,1,1:13222:23222:43326,3,2,3,14345|1:1|100000,,48|50;14345|1:1|100000:48|50,,,
14346,3,1,1:14128:24128:44321,2,1,3,14346|1:1|100000,,48|50;14346|1:1|100000:48|50,,,
14347,3,1,1:14228:24228:44326,2,2,3,14347|1:1|100000,,48|50;14347|1:1|100000:48|50,,,
14348,3,1,1:15128:25128:45321,5,1,3,14348|1:1|100000,,48|50;14348|1:1|100000:48|50,,,
14349,3,1,1:15229:25229:45325,5,2,3,14349|1:1|100000,,48|50;14349|1:1|100000:48|50,,,
14350,3,2,1:11131:21131:41320;2:11133:21133:41324,1,1,3,14340|1:1|100000;14350|1:1|200000,,48|60;14340|1:1|100000:48|60;14340|1:14350|1:1|200000:48|60,,,
14351,3,2,1:11231:21231:41325;2:11237:21237:41329,1,2,3,14341|1:1|100000;14351|1:1|200000,,48|60;14341|1:1|100000:48|60;14341|1:14351|1:1|200000:48|60,,,
14352,3,2,1:12127:22127:42320;2:12129:22129:42322,4,1,3,14342|1:1|100000;14352|1:1|200000,,48|60;14342|1:1|100000:48|60;14342|1:14352|1:1|200000:48|60,,,
14353,3,2,1:12228:22228:42326;2:12233:22233:42327,4,2,3,14343|1:1|100000;14353|1:1|200000,,48|60;14343|1:1|100000:48|60;14343|1:14353|1:1|200000:48|60,,,
14354,3,2,1:13129:23129:43320;2:13130:23130:43322,3,1,3,14344|1:1|100000;14354|1:1|200000,,48|60;14344|1:1|100000:48|60;14344|1:14354|1:1|200000:48|60,,,
14355,3,2,1:13222:23222:43326;2:13234:23234:43329,3,2,3,14345|1:1|100000;14355|1:1|200000,,48|60;14345|1:1|100000:48|60;14345|1:14355|1:1|200000:48|60,,,
14356,3,2,1:14128:24128:44321;2:14130:24130:44322,2,1,3,14346|1:1|100000;14356|1:1|200000,,48|60;14346|1:1|100000:48|60;14346|1:14356|1:1|200000:48|60,,,
14357,3,2,1:14228:24228:44326;2:14234:24234:44329,2,2,3,14347|1:1|100000;14357|1:1|200000,,48|60;14347|1:1|100000:48|60;14347|1:14357|1:1|200000:48|60,,,
14358,3,2,1:15128:25128:45321;2:15131:25131:45322,5,1,3,14348|1:1|100000;14358|1:1|200000,,48|60;14348|1:1|100000:48|60;14348|1:14358|1:1|200000:48|60,,,
14359,3,2,1:15229:25229:45325;2:15234:25234:45327,5,2,3,14349|1:1|100000;14359|1:1|200000,,48|60;14349|1:1|100000:48|60;14349|1:14359|1:1|200000:48|60,,,
14360,3,3,1:11131:21131:41320;2:11133:21133:41324;3:11134:21134:41322,1,1,3,14340|1:1|100000;14350|1:1|200000;14360|1:1|400000,,48|100;14340|1:1|100000:48|100;14340|1:14350|1:1|200000:48|100;14340|1:14350|1:14360|1:1|400000:48|100,,,
14361,3,3,1:11231:21231:41325;2:11237:21237:41329;3:11238:21238:41327,1,2,3,14341|1:1|100000;14351|1:1|200000;14361|1:1|400000,,48|100;14341|1:1|100000:48|100;14341|1:14351|1:1|200000:48|100;14341|1:14351|1:14361|1:1|400000:48|100,,,
14362,3,3,1:12127:22127:42320;2:12129:22129:42322;3:12130:22130:42323,4,1,3,14342|1:1|100000;14352|1:1|200000;14362|1:1|400000,,48|100;14342|1:1|100000:48|100;14342|1:14352|1:1|200000:48|100;14342|1:14352|1:14362|1:1|400000:48|100,,,
14363,3,3,1:12228:22228:42326;2:12233:22233:42327;3:12234:22234:42328,4,2,3,14343|1:1|100000;14353|1:1|200000;14363|1:1|400000,,48|100;14343|1:1|100000:48|100;14343|1:14353|1:1|200000:48|100;14343|1:14353|1:14363|1:1|400000:48|100,,,
14364,3,3,1:13129:23129:43320;2:13130:23130:43322;3:13131:23131:43323,3,1,3,14344|1:1|100000;14354|1:1|200000;14364|1:1|400000,,48|100;14344|1:1|100000:48|100;14344|1:14354|1:1|200000:48|100;14344|1:14354|1:14364|1:1|400000:48|100,,,
14365,3,3,1:13222:23222:43326;2:13234:23234:43329;3:13235:23235:43327,3,2,3,14345|1:1|100000;14355|1:1|200000;14365|1:1|400000,,48|100;14345|1:1|100000:48|100;14345|1:14355|1:1|200000:48|100;14345|1:14355|1:14365|1:1|400000:48|100,,,
14366,3,3,1:14128:24128:44321;2:14130:24130:44322;3:14131:24131:44323,2,1,3,14346|1:1|100000;14356|1:1|200000;14366|1:1|400000,,48|100;14346|1:1|100000:48|100;14346|1:14356|1:1|200000:48|100;14346|1:14356|1:14366|1:1|400000:48|100,,,
14367,3,3,1:14228:24228:44326;2:14234:24234:44329;3:14235:24235:44327,2,2,3,14347|1:1|100000;14357|1:1|200000;14367|1:1|400000,,48|100;14347|1:1|100000:48|100;14347|1:14357|1:1|200000:48|100;14347|1:14357|1:14367|1:1|400000:48|100,,,
14368,3,3,1:15128:25128:45321;2:15131:25131:45322;3:15130:25130:45323,5,1,3,14348|1:1|100000;14358|1:1|200000;14368|1:1|400000,,48|100;14348|1:1|100000:48|100;14348|1:14358|1:1|200000:48|100;14348|1:14358|1:14368|1:1|400000:48|100,,,
14369,3,3,1:15229:25229:45325;2:15234:25234:45327;3:15235:25235:45328,5,2,3,14349|1:1|100000;14359|1:1|200000;14369|1:1|400000,,48|100;14349|1:1|100000:48|100;14349|1:14359|1:1|200000:48|100;14349|1:14359|1:14369|1:1|400000:48|100,,,
14370,3,4,1:11131:21131:41320;2:11133:21133:41324;3:11134:21134:41322;4:11132:21132:41321,1,1,3,14340|1:1|100000;14350|1:1|200000;14360|1:1|400000;14370|1:1|800000,,48|200;14340|1:1|100000:48|200;14340|1:14350|1:1|200000:48|200;14340|1:14350|1:14360|1:1|400000:48|200;14340|1:14350|1:14360|1:14370|1:1|800000:48|200,,,
14371,3,4,1:11231:21231:41325;2:11237:21237:41329;3:11238:21238:41327;4:11232:21232:41326,1,2,3,14341|1:1|100000;14351|1:1|200000;14361|1:1|400000;14371|1:1|800000,,48|200;14341|1:1|100000:48|200;14341|1:14351|1:1|200000:48|200;14341|1:14351|1:14361|1:1|400000:48|200;14341|1:14351|1:14361|1:14371|1:1|800000:48|200,,,
14372,3,4,1:12127:22127:42320;2:12129:22129:42322;3:12130:22130:42323;4:12128:22128:42321,4,1,3,14342|1:1|100000;14352|1:1|200000;14362|1:1|400000;14372|1:1|800000,,48|200;14342|1:1|100000:48|200;14342|1:14352|1:1|200000:48|200;14342|1:14352|1:14362|1:1|400000:48|200;14342|1:14352|1:14362|1:14372|1:1|800000:48|200,,,
14373,3,4,1:12228:22228:42326;2:12233:22233:42327;3:12234:22234:42328;4:12227:22227:42325,4,2,3,14343|1:1|100000;14353|1:1|200000;14363|1:1|400000;14373|1:1|800000,,48|200;14343|1:1|100000:48|200;14343|1:14353|1:1|200000:48|200;14343|1:14353|1:14363|1:1|400000:48|200;14343|1:14353|1:14363|1:14373|1:1|800000:48|200,,,
14374,3,4,1:13129:23129:43320;2:13130:23130:43322;3:13131:23131:43323;4:13122:23122:43321,3,1,3,14344|1:1|100000;14354|1:1|200000;14364|1:1|400000;14374|1:1|800000,,48|200;14344|1:1|100000:48|200;14344|1:14354|1:1|200000:48|200;14344|1:14354|1:14364|1:1|400000:48|200;14344|1:14354|1:14364|1:14374|1:1|800000:48|200,,,
14375,3,4,1:13222:23222:43326;2:13234:23234:43329;3:13235:23235:43327;4:13229:23229:43325,3,2,3,14345|1:1|100000;14355|1:1|200000;14365|1:1|400000;14375|1:1|800000,,48|200;14345|1:1|100000:48|200;14345|1:14355|1:1|200000:48|200;14345|1:14355|1:14365|1:1|400000:48|200;14345|1:14355|1:14365|1:14375|1:1|800000:48|200,,,
14376,3,4,1:14128:24128:44321;2:14130:24130:44322;3:14131:24131:44323;4:14129:24129:44320,2,1,3,14346|1:1|100000;14356|1:1|200000;14366|1:1|400000;14376|1:1|800000,,48|200;14346|1:1|100000:48|200;14346|1:14356|1:1|200000:48|200;14346|1:14356|1:14366|1:1|400000:48|200;14346|1:14356|1:14366|1:14376|1:1|800000:48|200,,,
14377,3,4,1:14228:24228:44326;2:14234:24234:44329;3:14235:24235:44327;4:14229:24229:44325,2,2,3,14347|1:1|100000;14357|1:1|200000;14367|1:1|400000;14377|1:1|800000,,48|200;14347|1:1|100000:48|200;14347|1:14357|1:1|200000:48|200;14347|1:14357|1:14367|1:1|400000:48|200;14347|1:14357|1:14367|1:14377|1:1|800000:48|200,,,
14378,3,4,1:15128:25128:45321;2:15131:25131:45322;3:15130:25130:45323;4:15129:25129:45320,5,1,3,14348|1:1|100000;14358|1:1|200000;14368|1:1|400000;14378|1:1|800000,,48|200;14348|1:1|100000:48|200;14348|1:14358|1:1|200000:48|200;14348|1:14358|1:14368|1:1|400000:48|200;14348|1:14358|1:14368|1:14378|1:1|800000:48|200,,,
14379,3,4,1:15229:25229:45325;2:15234:25234:45327;3:15235:25235:45328;4:15228:25228:45326,5,2,3,14349|1:1|100000;14359|1:1|200000;14369|1:1|400000;14379|1:1|800000,,48|200;14349|1:1|100000:48|200;14349|1:14359|1:1|200000:48|200;14349|1:14359|1:14369|1:1|400000:48|200;14349|1:14359|1:14369|1:14379|1:1|800000:48|200,,,
14380,3,5,1:11131:21131:41320;2:11133:21133:41324;3:11134:21134:41322;4:11132:21132:41321;5:11134:21134:41323;,1,1,3,14340|1:1|100000;14350|1:1|200000;14360|1:1|400000;14370|1:1|800000;14380|1:1|1600000,,48|500;14340|1:1|100000:48|500;14340|1:14350|1:1|200000:48|500;14340|1:14350|1:14360|1:1|400000:48|500;14340|1:14350|1:14360|1:14370|1:1|800000:48|500;14340|1:14350|1:14360|1:14370|1:14380|1:1|1600000:48|500,2:1000,3,60:0
14381,3,5,1:11231:21231:41325;2:11237:21237:41329;3:11238:21238:41327;4:11232:21232:41326;5:11238:21238:41328;,1,2,3,14341|1:1|100000;14351|1:1|200000;14361|1:1|400000;14371|1:1|800000;14381|1:1|1600000,,48|500;14341|1:1|100000:48|500;14341|1:14351|1:1|200000:48|500;14341|1:14351|1:14361|1:1|400000:48|500;14341|1:14351|1:14361|1:14371|1:1|800000:48|500;14341|1:14351|1:14361|1:14371|1:14381|1:1|1600000:48|500,2:1000,3,60:0
14382,3,5,1:12127:22127:42320;2:12129:22129:42322;3:12130:22130:42323;4:12128:22128:42321;5:12130:22130:42324;,4,1,3,14342|1:1|100000;14352|1:1|200000;14362|1:1|400000;14372|1:1|800000;14382|1:1|1600000,,48|500;14342|1:1|100000:48|500;14342|1:14352|1:1|200000:48|500;14342|1:14352|1:14362|1:1|400000:48|500;14342|1:14352|1:14362|1:14372|1:1|800000:48|500;14342|1:14352|1:14362|1:14372|1:14382|1:1|1600000:48|500,2:1000,3,60:0
14383,3,5,1:12228:22228:42326;2:12233:22233:42327;3:12234:22234:42328;4:12227:22227:42325;5:12234:22234:42329;,4,2,3,14343|1:1|100000;14353|1:1|200000;14363|1:1|400000;14373|1:1|800000;14383|1:1|1600000,,48|500;14343|1:1|100000:48|500;14343|1:14353|1:1|200000:48|500;14343|1:14353|1:14363|1:1|400000:48|500;14343|1:14353|1:14363|1:14373|1:1|800000:48|500;14343|1:14353|1:14363|1:14373|1:14383|1:1|1600000:48|500,2:1000,3,60:0
14384,3,5,1:13129:23129:43320;2:13130:23130:43322;3:13131:23131:43323;4:13122:23122:43321;5:13131:23131:43324;,3,1,3,14344|1:1|100000;14354|1:1|200000;14364|1:1|400000;14374|1:1|800000;14384|1:1|1600000,,48|500;14344|1:1|100000:48|500;14344|1:14354|1:1|200000:48|500;14344|1:14354|1:14364|1:1|400000:48|500;14344|1:14354|1:14364|1:14374|1:1|800000:48|500;14344|1:14354|1:14364|1:14374|1:14384|1:1|1600000:48|500,2:1000,3,60:0
14385,3,5,1:13222:23222:43326;2:13234:23234:43329;3:13235:23235:43327;4:13229:23229:43325;5:13235:23235:43328;,3,2,3,14345|1:1|100000;14355|1:1|200000;14365|1:1|400000;14375|1:1|800000;14385|1:1|1600000,,48|500;14345|1:1|100000:48|500;14345|1:14355|1:1|200000:48|500;14345|1:14355|1:14365|1:1|400000:48|500;14345|1:14355|1:14365|1:14375|1:1|800000:48|500;14345|1:14355|1:14365|1:14375|1:14385|1:1|1600000:48|500,2:1000,3,60:0
14386,3,5,1:14128:24128:44321;2:14130:24130:44322;3:14131:24131:44323;4:14129:24129:44320;5:14131:24131:44324;,2,1,3,14346|1:1|100000;14356|1:1|200000;14366|1:1|400000;14376|1:1|800000;14386|1:1|1600000,,48|500;14346|1:1|100000:48|500;14346|1:14356|1:1|200000:48|500;14346|1:14356|1:14366|1:1|400000:48|500;14346|1:14356|1:14366|1:14376|1:1|800000:48|500;14346|1:14356|1:14366|1:14376|1:14386|1:1|1600000:48|500,2:1000,3,60:0
14387,3,5,1:14228:24228:44326;2:14234:24234:44329;3:14235:24235:44327;4:14229:24229:44325;5:14235:24235:44328;,2,2,3,14347|1:1|100000;14357|1:1|200000;14367|1:1|400000;14377|1:1|800000;14387|1:1|1600000,,48|500;14347|1:1|100000:48|500;14347|1:14357|1:1|200000:48|500;14347|1:14357|1:14367|1:1|400000:48|500;14347|1:14357|1:14367|1:14377|1:1|800000:48|500;14347|1:14357|1:14367|1:14377|1:14387|1:1|1600000:48|500,2:1000,3,60:0
14388,3,5,1:15128:25128:45321;2:15131:25131:45322;3:15130:25130:45323;4:15129:25129:45320;5:15130:25130:45324;,5,1,3,14348|1:1|100000;14358|1:1|200000;14368|1:1|400000;14378|1:1|800000;14388|1:1|1600000,,48|500;14348|1:1|100000:48|500;14348|1:14358|1:1|200000:48|500;14348|1:14358|1:14368|1:1|400000:48|500;14348|1:14358|1:14368|1:14378|1:1|800000:48|500;14348|1:14358|1:14368|1:14378|1:14388|1:1|1600000:48|500,2:1000,3,60:0
14389,3,5,1:15229:25229:45325;2:15234:25234:45327;3:15235:25235:45328;4:15228:25228:45326;5:15235:25235:45329;,5,2,3,14349|1:1|100000;14359|1:1|200000;14369|1:1|400000;14379|1:1|800000;14389|1:1|1600000,,48|500;14349|1:1|100000:48|500;14349|1:14359|1:1|200000:48|500;14349|1:14359|1:14369|1:1|400000:48|500;14349|1:14359|1:14369|1:14379|1:1|800000:48|500;14349|1:14359|1:14369|1:14379|1:14389|1:1|1600000:48|500,2:1000,3,60:0
14390,3,1,1:11133:21133:41330,1,1,3,14390|1:1|100000,,48|50;14390|1:1|100000:48|50,,,
14391,3,1,1:11237:21237:41335,1,2,3,14391|1:1|100000,,48|50;14391|1:1|100000:48|50,,,
14392,3,1,1:12129:22129:42330,4,1,3,14392|1:1|100000,,48|50;14392|1:1|100000:48|50,,,
14393,3,1,1:12233:22233:42335,4,2,3,14393|1:1|100000,,48|50;14393|1:1|100000:48|50,,,
14394,3,1,1:13130:23130:43330,3,1,3,14394|1:1|100000,,48|50;14394|1:1|100000:48|50,,,
14395,3,1,1:13234:23234:43335,3,2,3,14395|1:1|100000,,48|50;14395|1:1|100000:48|50,,,
14396,3,1,1:14130:24130:44330,2,1,3,14396|1:1|100000,,48|50;14396|1:1|100000:48|50,,,
14397,3,1,1:14234:24234:44335,2,2,3,14397|1:1|100000,,48|50;14397|1:1|100000:48|50,,,
14398,3,1,1:15131:25131:45330,5,1,3,14398|1:1|100000,,48|50;14398|1:1|100000:48|50,,,
14399,3,1,1:15234:25234:45335,5,2,3,14399|1:1|100000,,48|50;14399|1:1|100000:48|50,,,
14400,3,2,1:11133:21133:41330;2:11136:21136:41331,1,1,3,14390|1:1|100000;14400|1:1|200000,,48|60;14390|1:1|100000:48|60;14390|1:14400|1:1|200000:48|60,,,
