商品Id,商品名称,商品所属tab,商品页签,商品内容,消耗资源类型,消耗资源数量,活动商品,是否热销,折扣比例,折扣后价格,限购类型次数,开始时间,结束时间,排序Id,权重概率,VIP权重概率1,VIP权重概率2,VIP权重概率3,VIP权重概率4,是否通知客户端,图片,购买后获得道具,上架解锁条件枚举
30196,棉衬衫,3,黑市,5001,2,10,,,80,8,5:1,,,203,60,70,0,,,,,,
30197,荒野之帽,3,黑市,6001,2,10,,,80,8,5:1,,,204,60,70,0,,,,,,
30198,铁制靴,3,黑市,7001,2,10,,,80,8,5:1,,,205,60,70,0,,,,,,
30199,救援斗篷,3,黑市,8001,2,10,,,80,8,5:1,,,206,60,70,0,,,,,,
30200,月光戒指,3,黑市,9001,2,10,,,80,8,5:1,,,207,60,70,0,,,,,,
30201,十字巨剑,3,黑市,1001,2,10,,,50,5,5:1,,,208,70,70,0,,,,,,
30202,粗木魔杖,3,黑市,1501,2,10,,,50,5,5:1,,,209,70,70,0,,,,,,
30203,猎人之弓,3,黑市,2001,2,10,,,50,5,5:1,,,210,70,70,0,,,,,,
30204,绯红权杖,3,黑市,3001,2,10,,,50,5,5:1,,,211,70,70,0,,,,,,
30205,刺藤拳刃 ,3,黑市,4001,2,10,,,50,5,5:1,,,212,70,70,0,,,,,,
30206,棉衬衫,3,黑市,5001,2,10,,,50,5,5:1,,,213,70,70,0,,,,,,
30207,荒野之帽,3,黑市,6001,2,10,,,50,5,5:1,,,214,70,70,0,,,,,,
30208,铁制靴,3,黑市,7001,2,10,,,50,5,5:1,,,215,70,70,0,,,,,,
30209,救援斗篷,3,黑市,8001,2,10,,,50,5,5:1,,,216,70,70,0,,,,,,
30210,月光戒指,3,黑市,9001,2,10,,,50,5,5:1,,,217,70,70,0,,,,,,
30211,长老树精卡片Ⅰ,3,黑市,12101,2,10,,,,,5:1,,,218,30,30,0,,,,,,
30212,波利卡片Ⅰ,3,黑市,12102,2,10,,,,,5:1,,,219,30,30,0,,,,,,
30213,疯兔卡片Ⅰ,3,黑市,12103,2,10,,,,,5:1,,,220,30,30,0,,,,,,
30214,蚯蚓卡片Ⅰ,3,黑市,12104,2,10,,,,,5:1,,,221,30,30,0,,,,,,
30215,黑狐卡片Ⅰ,3,黑市,12105,2,10,,,,,5:1,,,222,30,30,0,,,,,,
30216,杰洛米卡片Ⅰ,3,黑市,12106,2,10,,,,,5:1,,,223,30,30,0,,,,,,
30217,小恶魔卡片Ⅰ,3,黑市,12107,2,10,,,,,5:1,,,224,30,30,0,,,,,,
30218,艾吉欧蜈蚣卡片Ⅰ,3,黑市,12108,2,10,,,,,5:1,,,225,30,30,0,,,,,,
30219,邪骸战士卡片Ⅰ,3,黑市,12109,2,10,,,,,5:1,,,226,30,30,0,,,,,,
30220,小巴风特卡片Ⅰ,3,黑市,12110,2,10,,,,,5:1,,,227,30,30,0,,,,,,
30221,人鱼士兵卡片Ⅰ,3,黑市,12111,2,10,,,,,5:1,,,228,30,30,0,,,,,,
30222,犬妖卡片Ⅰ,3,黑市,12112,2,10,,,,,5:1,,,229,30,30,0,,,,,,
30223,长老树精卡片Ⅰ,3,黑市,12101,1,50000,,,,,5:1,,,230,40,40,0,,,,,,
30224,波利卡片Ⅰ,3,黑市,12102,1,50000,,,,,5:1,,,231,40,40,0,,,,,,
30225,疯兔卡片Ⅰ,3,黑市,12103,1,50000,,,,,5:1,,,232,40,40,0,,,,,,
30226,蚯蚓卡片Ⅰ,3,黑市,12104,1,50000,,,,,5:1,,,233,40,40,0,,,,,,
30227,黑狐卡片Ⅰ,3,黑市,12105,1,50000,,,,,5:1,,,234,40,40,0,,,,,,
30228,杰洛米卡片Ⅰ,3,黑市,12106,1,50000,,,,,5:1,,,235,40,40,0,,,,,,
30229,小恶魔卡片Ⅰ,3,黑市,12107,1,50000,,,,,5:1,,,236,40,40,0,,,,,,
30230,艾吉欧蜈蚣卡片Ⅰ,3,黑市,12108,1,50000,,,,,5:1,,,237,40,40,0,,,,,,
30231,邪骸战士卡片Ⅰ,3,黑市,12109,1,50000,,,,,5:1,,,238,40,40,0,,,,,,
30232,小巴风特卡片Ⅰ,3,黑市,12110,1,50000,,,,,5:1,,,239,40,40,0,,,,,,
30233,人鱼士兵卡片Ⅰ,3,黑市,12111,1,50000,,,,,5:1,,,240,40,40,0,,,,,,
30234,犬妖卡片Ⅰ,3,黑市,12112,1,50000,,,,,5:1,,,241,40,40,0,,,,,,
30235,长老树精卡片Ⅰ,3,黑市,12101,2,10,,,50,5,5:1,,,242,30,30,0,,,,,,
30236,波利卡片Ⅰ,3,黑市,12102,2,10,,,50,5,5:1,,,243,30,30,0,,,,,,
30237,疯兔卡片Ⅰ,3,黑市,12103,2,10,,,50,5,5:1,,,244,30,30,0,,,,,,
30238,蚯蚓卡片Ⅰ,3,黑市,12104,2,10,,,50,5,5:1,,,245,30,30,0,,,,,,
30239,黑狐卡片Ⅰ,3,黑市,12105,2,10,,,50,5,5:1,,,246,30,30,0,,,,,,
30240,杰洛米卡片Ⅰ,3,黑市,12106,2,10,,,50,5,5:1,,,247,30,30,0,,,,,,
30241,小恶魔卡片Ⅰ,3,黑市,12107,2,10,,,50,5,5:1,,,248,30,30,0,,,,,,
30242,艾吉欧蜈蚣卡片Ⅰ,3,黑市,12108,2,10,,,50,5,5:1,,,249,30,30,0,,,,,,
30243,邪骸战士卡片Ⅰ,3,黑市,12109,2,10,,,50,5,5:1,,,250,30,30,0,,,,,,
30244,小巴风特卡片Ⅰ,3,黑市,12110,2,10,,,50,5,5:1,,,251,30,30,0,,,,,,
30245,人鱼士兵卡片Ⅰ,3,黑市,12111,2,10,,,50,5,5:1,,,252,30,30,0,,,,,,
30246,犬妖卡片Ⅰ,3,黑市,12112,2,10,,,50,5,5:1,,,253,30,30,0,,,,,,
30247,牛奶盒,3,黑市,14017,2,20,,,,,5:15,,,254,0,200,300,150,150,,,,
30248,青青嫩草,3,黑市,14025,2,20,,,,,5:15,,,255,0,200,300,150,150,,,,
30249,死鱼,3,黑市,14011,2,20,,,,,5:15,,,256,0,200,300,150,150,,,,
30250,好吃的香蕉,3,黑市,14031,2,20,,,,,5:15,,,257,0,200,300,150,150,,,,
30251,土人番薯,3,黑市,14029,2,20,,,,,5:15,,,258,0,200,300,150,150,,,,
30252,金色糯米粉,3,黑市,14069,2,35,,,,,5:15,,,259,0,150,300,300,300,,,,
30253,海葵球面,3,黑市,14126,2,35,,,,,5:15,,,260,0,150,300,300,300,,,,
30254,黑色十字,3,黑市,14087,2,35,,,,,5:15,,,261,0,150,300,300,300,,,,
30255,铁砂,3,黑市,14144,2,35,,,,,5:15,,,262,0,150,300,300,300,,,,
30256,红糖拐杖,3,黑市,14066,2,35,,,,,5:15,,,263,0,150,300,300,300,,,,
30257,牛奶盒,3,黑市,14017,2,20,,,80,16,5:15,,,264,0,100,200,50,50,,,,
30258,青青嫩草,3,黑市,14025,2,20,,,80,16,5:15,,,265,0,100,200,50,50,,,,
30259,死鱼,3,黑市,14011,2,20,,,80,16,5:15,,,266,0,100,200,50,50,,,,
30260,好吃的香蕉,3,黑市,14031,2,20,,,80,16,5:15,,,267,0,100,200,50,50,,,,
30261,土人番薯,3,黑市,14029,2,20,,,80,16,5:15,,,268,0,100,200,50,50,,,,
30262,金色糯米粉,3,黑市,14069,2,35,,,80,28,5:15,,,269,0,50,100,100,100,,,,
30263,海葵球面,3,黑市,14126,2,35,,,80,28,5:15,,,270,0,50,100,100,100,,,,
30264,黑色十字,3,黑市,14087,2,35,,,80,28,5:15,,,271,0,50,100,100,100,,,,
30265,铁砂,3,黑市,14144,2,35,,,80,28,5:15,,,272,0,50,100,100,100,,,,
30266,红糖拐杖,3,黑市,14066,2,35,,,80,28,5:15,,,273,0,50,100,100,100,,,,
30267,魔物草莓,3,黑市,14018,2,100,,,,,5:5,,,274,0,0,150,150,75,,,,
30268,有毒的养料,3,黑市,14026,2,100,,,,,5:5,,,275,0,0,150,150,75,,,,
30269,水手刀,3,黑市,14012,2,100,,,,,5:5,,,276,0,0,150,150,75,,,,
30270,香蕉皮,3,黑市,14032,2,100,,,,,5:5,,,277,0,0,150,150,75,,,,
30271,热情的火堆,3,黑市,14030,2,100,,,,,5:5,,,278,0,0,150,150,75,,,,
30272,锡箔纸,3,黑市,14070,2,200,,,,,5:5,,,279,0,0,150,300,300,,,,
30273,破损的海葵球,3,黑市,14127,2,200,,,,,5:5,,,280,0,0,150,300,300,,,,
30274,橡木棺盖,3,黑市,14088,2,200,,,,,5:5,,,281,0,0,150,300,300,,,,
30275,镁粉,3,黑市,14145,2,200,,,,,5:5,,,282,0,0,150,300,300,,,,
30276,白糖拐杖,3,黑市,14067,2,200,,,,,5:5,,,283,0,0,150,300,300,,,,
30277,魔物草莓,3,黑市,14018,2,100,,,80,80,5:5,,,284,0,0,50,50,25,,,,
30278,有毒的养料,3,黑市,14026,2,100,,,80,80,5:5,,,285,0,0,50,50,25,,,,
30279,水手刀,3,黑市,14012,2,100,,,80,80,5:5,,,286,0,0,50,50,25,,,,
30280,香蕉皮,3,黑市,14032,2,100,,,80,80,5:5,,,287,0,0,50,50,25,,,,
30281,热情的火堆,3,黑市,14030,2,100,,,80,80,5:5,,,288,0,0,50,50,25,,,,
30282,锡箔纸,3,黑市,14070,2,200,,,80,160,5:5,,,289,0,0,50,100,100,,,,
30283,破损的海葵球,3,黑市,14127,2,200,,,80,160,5:5,,,290,0,0,50,100,100,,,,
30284,橡木棺盖,3,黑市,14088,2,200,,,80,160,5:5,,,291,0,0,50,100,100,,,,
30285,镁粉,3,黑市,14145,2,200,,,80,160,5:5,,,292,0,0,50,100,100,,,,
30286,白糖拐杖,3,黑市,14067,2,200,,,80,160,5:5,,,293,0,0,50,100,100,,,,
30287,饱满的糯米,3,黑市,14071,2,800,,,,,5:1,,,294,0,0,60,75,75,,,,
30288,海葵汁,3,黑市,14128,2,800,,,,,5:1,,,295,0,0,60,75,75,,,,
30289,橡木灵柩,3,黑市,14089,2,800,,,,,5:1,,,296,0,0,60,75,75,,,,
30290,铝粉,3,黑市,14146,2,800,,,,,5:1,,,297,0,0,60,75,75,,,,
30291,薄荷领结,3,黑市,14068,2,800,,,,,5:1,,,298,0,0,60,75,75,,,,
30292,饱满的糯米,3,黑市,14071,2,800,,,80,640,5:1,,,299,0,0,40,25,25,,,,
30293,海葵汁,3,黑市,14128,2,800,,,80,640,5:1,,,300,0,0,40,25,25,,,,
30294,橡木灵柩,3,黑市,14089,2,800,,,80,640,5:1,,,301,0,0,40,25,25,,,,
30295,铝粉,3,黑市,14146,2,800,,,80,640,5:1,,,302,0,0,40,25,25,,,,
30296,薄荷领结,3,黑市,14068,2,800,,,80,640,5:1,,,303,0,0,40,25,25,,,,
30297,命运绳结,3,黑市,110,2,200,,1,,,5:5,,,1,,,,150,150,,,,
30298,命运绳结,3,黑市,110,2,200,,1,80,160,5:5,,,2,,,,50,50,,,,
30299,天使之泪,3,黑市,100,2,60,,1,,,5:10,,,3,,,,150,150,,,,
30300,天使之泪,3,黑市,100,2,60,,1,80,48,5:10,,,4,,,,50,50,,,,
30301,巴风特卡片,3,黑市,12132,2,3200,,,80,2560,5:1,,,5,,,,,800,,,,
30302,冰暴骑士卡,3,黑市,12144,2,3200,,,80,2560,5:1,,,6,,,,,800,,,,
30303,蜂后卡片,3,黑市,12134,2,3200,,,80,2560,5:1,,,7,,,,,800,,,,
30304,潜能圣水,3,黑市,190,2,2500,,,80,2000,5:1,,,304,,100,1000,1000,500,,,,
30305,超级技能书,3,黑市,191,2,2500,,,80,2000,5:1,,,305,,100,1000,1000,500,,,,
40001,绿色3阶装备,4,公会商店,603,24,200,,,,,,,,1,,,,,,,,,
40002,蓝色1阶装备,4,公会商店,604,24,600,,,,,,,,2,,,,,,,,,
40003,蓝色2阶装备,4,公会商店,605,24,1800,,,,,,,,3,,,,,,,,,
40004,蓝色3阶装备,4,公会商店,606,24,5400,,,,,,,,4,,,,,,,,,
40005,紫色1阶装备,4,公会商店,607,24,16200,,,,,,,,5,,,,,,,,,
40006,兽人酋长卡片Ⅰ,4,公会商店,12143,24,20000,,,,,2:1,,,6,,,,,,,,,
40007,绿色染料,4,公会商店,495,34,50,,,,,,,,7,,,,,,,,,
40008,蓝色染料,4,公会商店,496,34,100,,,,,,,,8,,,,,,,,,
40009,紫色染料,4,公会商店,497,34,200,,,,,,,,9,,,,,,,,,
40010,4小时挂机伙伴经验,4,公会商店,130,34,400,,,,,,,,10,,,,,,,,,
40011,4小时挂机技能经验,4,公会商店,131,34,400,,,,,,,,11,,,,,,,,,
40012,兽人酋长卡片Ⅰ,4,公会商店,12143,34,6000,,,,,,,,12,,,,,,,,,
50001,宠物-黄金盗虫,5,宠物商店,823,20,5000,,,,,5:1,,,1,1000,1000,1000,1000,1000,,,,
50002,宠物-狂暴大脚熊,5,宠物商店,832,20,5000,,,,,5:1,,,2,1000,1000,1000,1000,1000,,,,
50003,宠物-重金属蝗虫,5,宠物商店,835,20,5000,,,,,5:1,,,3,1000,1000,1000,1000,1000,,,,
50004,宠物-月夜猫,5,宠物商店,839,20,5000,,,,,5:1,,,4,1000,1000,1000,1000,1000,,,,
50005,宠物-狂暴巨石怪,5,宠物商店,842,20,5000,,,,,5:1,,,5,1000,1000,1000,1000,1000,,,,
50006,宠物-弑神者,5,宠物商店,843,20,5000,,,,,5:1,,,6,1000,1000,1000,1000,1000,,,,
50007,宠物-兽人英雄,5,宠物商店,847,20,5000,,,,,5:1,,,7,1000,1000,1000,1000,1000,,,,
50008,宠物-兽牙怪,5,宠物商店,824,20,500,,,,,5:1,,,8,2000,2000,2000,2000,2000,,,,
50009,宠物-白幽灵,5,宠物商店,825,20,500,,,,,5:1,,,9,2000,2000,2000,2000,2000,,,,
50010,宠物-狂暴蜈蚣,5,宠物商店,826,20,500,,,,,5:1,,,10,2000,2000,2000,2000,2000,,,,
50011,宠物-蓝疯兔,5,宠物商店,827,20,500,,,,,5:1,,,11,2000,2000,2000,2000,2000,,,,
50012,宠物-摩卡,5,宠物商店,828,20,500,,,,,5:1,,,12,2000,2000,2000,2000,2000,,,,
50013,宠物碎片-黄金盗虫,5,宠物商店,923,20,250,,,,,5:5,,,13,1000,1000,1000,1000,1000,,,,
50014,宠物碎片--狂暴大脚熊,5,宠物商店,932,20,250,,,,,5:5,,,14,1000,1000,1000,1000,1000,,,,
50015,宠物碎片--重金属蝗虫,5,宠物商店,935,20,250,,,,,5:5,,,15,1000,1000,1000,1000,1000,,,,
50016,宠物碎片--月夜猫,5,宠物商店,939,20,250,,,,,5:5,,,16,1000,1000,1000,1000,1000,,,,
50017,宠物碎片--狂暴巨石怪,5,宠物商店,942,20,250,,,,,5:5,,,17,1000,1000,1000,1000,1000,,,,
50018,宠物碎片--弑神者,5,宠物商店,943,20,250,,,,,5:5,,,18,500,500,500,500,500,,,,
50019,宠物碎片--兽人英雄,5,宠物商店,947,20,250,,,,,5:5,,,19,500,500,500,500,500,,,,
60001,宠物经验*10w,6,道场商店,141,28,5000,,1,,,2:2,,,3,,,,,,,,,
60002,宠物经验*2w,6,道场商店,140,28,2000,,,,,,,,4,,,,,,,,,
60003,1小时伙伴经验,6,道场商店,126,28,2000,,,,,,,,5,,,,,,,,,
60004,1小时技能经验,6,道场商店,127,28,2000,,,,,,,,6,,,,,,,,,
60005,1小时银币奖励,6,道场商店,125,28,500,,,,,,,,7,,,,,,,,,
60006,天使之泪,6,道场商店,100,28,200,,1,,,2:20,,,2,,,,,,,,,
60007,洗练石,6,道场商店,494,28,50,,,,,,,,8,,,,,,,,,
60008,绿色染料,6,道场商店,495,28,100,,,,,2:5,,,9,,,,,,,,,
60009,蓝色染料,6,道场商店,496,28,200,,,,,2:5,,,10,,,,,,,,,
60010,紫色染料,6,道场商店,497,28,500,,,,,2:5,,,11,,,,,,,,,
60011,占星令,6,道场商店,201,28,1000,201,,,,2:5,,,1,,,,,,1,,,
90001,宠物-年兽,9,新春商店,849,153,4000,,,,,2:1,,,1,,,,,,,,,
90002,年兽卡片Ⅰ,9,新春商店,12191,153,1000,,,,,2:2,,,2,,,,,,,,,
90003,年兽头饰图纸,9,新春商店,13005,153,1500,,,,,1:1,,,3,,,,,,,,,
90004,紫色1阶装备,9,新春商店,607,153,1000,,,,,2:2,,,4,,,,,,,,,
90005,Mvp卡片碎片,9,新春商店,531,153,50,,,,,,,,5,,,,,,,,,
90006,MVP宠物碎片,9,新春商店,517,153,150,,,,,,,,6,,,,,,,,,
90007,宠物经验*10w,9,新春商店,141,153,100,,,,,,,,7,,,,,,,,,
90008,绿色1阶装备,9,新春商店,601,153,1,,,,,,,,8,,,,,,,,,
90009,Normal卡册,9,新春商店,511,153,2,,,,,,,,9,,,,,,,,,
100001,宠物-俄赛里斯,10,嘉年华,831,175,4000,,,,,2:1,,,1,,,,,,,,,
100002,冰暴骑士卡片Ⅰ,10,嘉年华,12144,175,1000,,,,,2:2,,,2,,,,,,,,,
100003,紫色1阶装备,10,嘉年华,607,175,1000,,,,,2:2,,,3,,,,,,,,,
100004,Mvp卡片碎片,10,嘉年华,531,175,50,,,,,,,,4,,,,,,,,,
100005,MVP宠物碎片,10,嘉年华,517,175,150,,,,,,,,5,,,,,,,,,
100006,宠物经验*10w,10,嘉年华,141,175,100,,,,,,,,6,,,,,,,,,
100007,绿色1阶装备,10,嘉年华,601,175,1,,,,,,,,7,,,,,,,,,
100008,Normal卡册,10,嘉年华,511,175,2,,,,,,,,8,,,,,,,,,
500001,现金礼包1,50,现金商店,,40,6,,,,,1:10,,,1,,,,,,,ShopIcons/market_daybox2,531:2;137:1,
500002,现金礼包2,50,现金商店,,40,30,,,,,1:10,,,2,,,,,,,ShopIcons/market_daybox6,136:1;2:200,
500003,现金礼包3,50,现金商店,,40,68,,,,,1:10,,,3,,,,,,,ShopIcons/market_giftbox01,138:1;100:10;2:300,
500004,现金礼包4,50,现金商店,,40,128,,,,,1:10,,,4,,,,,,,ShopIcons/market_giftbox14,137:2;115:10;2:500,
500005,现金礼包5,50,现金商店,,40,198,,,,,1:10,,,5,,,,,,,ShopIcons/market_giftbox13,140:10;116:12;2:600,
500006,现金礼包6,50,现金商店,,40,328,,,,,1:10,,,6,,,,,,,ShopIcons/market_giftbox02,531:20;138:4;139:4,
500007,现金礼包7,50,现金商店,,40,328,,,,,1:10,,,7,,,,,,,ShopIcons/market_giftbox03,137:2;116:25;2:1000,
500008,现金礼包8,50,现金商店,,40,30,,,,,1:5,,,8,,,,,,,ShopIcons/market_giftbox05,531:4;684:1;2:200,
500009,现金礼包9,50,现金商店,,40,98,,,,,1:5,,,9,,,,,,,ShopIcons/market_giftbox06,138:1;531:5;115:6,
500010,现金礼包10,50,现金商店,,40,98,,,,,1:5,,,10,,,,,,,ShopIcons/market_giftbox07,139:1;531:5;116:6,
500011,现金礼包11,50,现金商店,,40,328,,,,,1:5,,,11,,,,,,,ShopIcons/market_weekbox5,138:2;137:2;115:25,
500012,现金礼包12,50,现金商店,,40,328,,,,,1:5,,,12,,,,,,,ShopIcons/market_giftbox08,138:2;100:20;115:25,
500013,现金礼包13,50,现金商店,,40,328,,,,,1:5,,,13,,,,,,,ShopIcons/market_giftbox09,139:2;110:10;116:25,
500014,现金礼包14,50,现金商店,,40,30,,,,,1:3,,,14,,,,,,,ShopIcons/market_monthbox3,138:1;531:4;2:200,
500015,现金礼包15,50,现金商店,,40,98,,,,,1:3,,,15,,,,,,,ShopIcons/market_giftbox12,531:8;110:10;2:400,
500016,现金礼包16,50,现金商店,,40,198,,,,,1:3,,,16,,,,,,,ShopIcons/market_weekbox3,138:2;115:15;2:600,
500017,现金礼包17,50,现金商店,,40,328,,,,,1:3,,,17,,,,,,,ShopIcons/market_giftbox13,140:10;116:25;2:2000,
500018,现金礼包18,50,现金商店,,40,328,,,,,1:3,,,18,,,,,,,ShopIcons/market_giftbox14,137:2;115:25;2:2000,
500019,现金礼包19,50,现金商店,,40,328,,,,,1:3,,,19,,,,,,,ShopIcons/market_giftbox15,531:10;116:25;2:2000,
110001,宠物-罗拉,11,返场商店,850,2,15000,,,,,2:1,,,1,,,,,,,,,
110002,宠物-年兽,11,返场商店,849,2,15000,,,,,2:1,,,2,,,,,,,,,
110003,宠物-俄赛里斯,11,返场商店,831,2,15000,,,,,2:1,,,3,,,,,,,,,
110004,宠物-黑暗之王,11,返场商店,829,2,15000,,,,,2:1,,,4,,,,,,,,,73:22
110005,宠物-卡噗酱,11,返场商店,852,2,15000,,,,,2:1,,,5,,,,,,,,,73:29
110006,宠物-糯米,11,返场商店,853,2,15000,,,,,2:1,,,6,,,,,,,,,73:36
110007,宠物-赤炎魔蛙,11,返场商店,854,2,15000,,,,,2:1,,,7,,,,,,,,,73:43
110008,宠物-织女,11,返场商店,856,2,15000,,,,,2:1,,,8,,,,,,,,,73:50
110009,宠物-达纳托斯,11,返场商店,857,2,15000,,,,,2:1,,,9,,,,,,,,,73:56
120001,【武器】Mvp卡自选包,12,远航商店,15042,344,15000,,,,,2:1,,,7,,,,,,,,,
120002,【头部】Mvp卡自选包,12,远航商店,15043,344,15000,,,,,2:1,,,8,,,,,,,,,
120003,【衣服】Mvp卡自选包,12,远航商店,15044,344,15000,,,,,2:1,,,9,,,,,,,,,
120004,【披肩】Mvp卡自选包,12,远航商店,15045,344,15000,,,,,2:1,,,10,,,,,,,,,
120005,【饰品】Mvp卡自选包,12,远航商店,15046,344,15000,,,,,2:1,,,11,,,,,,,,,
120006,【鞋子】Mvp卡自选包,12,远航商店,15047,344,15000,,,,,2:1,,,12,,,,,,,,,
120007,宠物经验*10w,12,远航商店,141,344,1000,,,,,2:2,,,3,,,,,,,,,
120008,寒铁,12,远航商店,48,344,10,,,,,,,,1,,,,,,,,,
120009,寒铁,12,远航商店,48,344,10,,,50,5,2:500,,,2,,,,,,,,,
120010,1星神器自选宝箱,12,远航商店,11199,344,500,,,,,,,,4,,,,,,,,,
120011,2星神器自选宝箱,12,远航商店,11200,344,600,,,,,,,,5,,,,,,,,,
120012,3星神器自选宝箱,12,远航商店,11201,344,10000,,,,,4:4,,,6,,,,,,,,,
