卡片ID,卡片名称,来源目标,升级目标,卡片类型,卡片部位,卡片等级,卡片属性,卡片图鉴ID,卡片BUFF,卡组权重,卡片附加战斗力,推荐职业,筛选用基础属性,卡片相克属性,卡片升级费用
12253,塔奥群卡卡片,12153,12353,3,5,2,11:270;9:340;97:400,546,,1,84,3;2;1,11;9;97,1,40000
12282,寒冰巨人卡片,12182,12382,3,5,2,11:360;9:170;97:310;72:400,547,,1,84,3;2;1,11;9;97;72,2,40000
12283,堕落大神官卡片,12183,12383,3,5,2,11:360;10:160;16:30;85:400,548,,1,84,4;5,11;10;16;85,3,40000
12284,野猫骑士卡片,12184,12384,3,5,2,11:280;9:230;14:30;15:25,549,,1,84,3;2;1,11;9;14;15,1,40000
12285,爆炎蝙蝠卡片,12185,12385,3,5,2,11:330;10:140;96:240;82:400,550,,1,84,4;5,11;10;96;82,2,40000
12256,嗒妮小姐卡片,12156,12356,3,6,2,12:340;10:160;14:33;83:400,551,,1,84,4;5,12;10;14;83,3,40000
12257,影魔卡片,12157,12357,3,6,2,12:360;10:140;16:33;84:400,552,,1,84,4;5,12;10;16;84,1,40000
12258,寒冰龙卡片,12158,12358,3,6,2,12:420;7:2500;96:150,553,,1,84,1;2;3;4;5,12;7;96,2,40000
12290,马尔杜克卡片,12190,12390,3,6,2,12:330;9:160;16:33;74:400,554,,1,84,3;2;1,12;9;16;74,3,40000
12260,贝雷杰卡片,12160,12360,3,6,2,12:320;7:1800;92:250;14:30,555,,1,84,1;2;3;4;5,12;7;92;14,1,40000
12286,九尾狐卡片,12186,12386,3,6,2,12:280;10:230;14:30;97:310,556,,1,84,4;5,12;10;14;97,2,40000
12287,妖君卡片,12187,12387,3,6,2,12:300;10:340;94:160,557,,1,84,4;5,12;10;94,3,40000
12288,狂暴野猪卡片,12188,12388,3,6,2,12:360;9:130;15:33;73:400,558,,1,84,3;2;1,12;9;15;73,1,40000
12289,巨石怪卡片,12189,12389,3,6,2,12:280;9:230;16:30;13:25,559,,1,84,3;2;1,12;9;16;13,2,40000
12233,死灵卡片,12133,12333,3,6,2,12:300;9:340;93:160,560,,1,84,3;2;1,12;9;93,3,40000
12292,罗拉卡片,12192,12392,3,6,2,7:3600;9:420;93:240,562,,0,84,3;2;1,7;9;93,1,40000
12294,尼德霍格卡片,12194,12394,3,6,2,7:3600;10:420;94:240,563,,0,84,4;5,7;10;94,2,40000
12331,俄塞里斯卡片,12231,12431,3,1,3,7:3900;9:390;16:30;86:550,501,,1,115,3;2;1,7;9;16;86,1,50000
12332,巴风特卡片,12232,12432,3,1,3,9:780;93:210;15:23,502,,1,115,3;2;1,9;93;15,2,50000
12359,阿特罗斯卡片,12259,12459,3,1,3,7:3100;9:570;91:250;8:20,503,,1,115,3;2;1,7;9;91;8,3,50000
12334,蜂后卡片,12234,12434,3,1,3,10:750;94:210;92:250,504,,1,115,4;5,10;94;92,1,50000
12335,黄金虫卡片,12235,12435,3,1,3,7:6100;11:130;12:120;16:50,505,,1,115,1;2;3;4;5,7;11;12;16,2,50000
12361,梦魇卡片,12261,12461,3,1,3,7:3800;10:380;14:34;76:550,506,,1,115,4;5,7;10;14;76,3,50000
12362,七彩大嘴鸟卡片,12262,12462,3,1,3,7:3700;9:420;13:30;87:550,507,,1,115,3;2;1,7;9;13;87,1,50000
12363,狂暴大脚熊卡片,12263,12463,3,1,3,7:6700;11:150;12:120;95:210,508,,1,115,1;2;3;4;5,7;11;12;95,2,50000
12364,恶魔侍者卡片,12264,12464,3,1,3,7:4500;9:370;10:370;77:550,509,,1,115,5;4;3;2;1,7;9;10;77,3,50000
12365,女妖卡片,12265,12465,3,1,3,7:2900;10:590;92:250;8:20,510,,1,115,4;5,7;10;92;8,1,50000
12391,年兽卡片,12291,12491,3,1,3,9:840;10:840;97:440;8:20,561,,1,115,5;4;3;2;1,9;10;97;8,1,50000
12395,赤炎魔蛙卡片,12295,12495,3,1,3,7:10800;8:21;9:850;10:850,564,,0,115,5;4;3;2;1,7;8;9;10,2,50000
12336,兽人英雄卡片,12236,12436,3,2,3,7:6300;9:180;11:130;85:550,511,,1,115,3;2;1,7;9;11;85,2,50000
12380,伊夫利特卡片,12280,12480,3,2,3,7:4000;9:360;15:34;93:210,512,,1,115,3;2;1,7;9;15;93,3,50000
12338,虎王卡片,12238,12438,3,2,3,7:8600;11:100;14:16;96:110,513,,1,115,1;2;3;4;5,7;11;14;96,1,50000
12346,黑暗之王卡片,12246,12446,3,2,3,7:3900;10:380;15:32;94:210,514,,1,115,4;5,7;10;15;94,2,50000
12369,将军魔碑卡片,12269,12469,3,2,3,7:6400;9:140;12:160;82:550,515,,1,115,3;2;1,7;9;12;82,3,50000
12366,土人卡片,12266,12466,3,2,3,7:5200;9:280;13:34;91:250,516,,1,115,3;2;1,7;9;13;91,1,50000
12367,狂暴地龙卡片,12267,12467,3,2,3,7:7000;12:120;16:27;95:210,517,,1,115,1;2;3;4;5,7;12;16;95,2,50000
12368,傅里叶卡片,12268,12468,3,2,3,7:5500;10:260;13:32;92:250,518,,1,115,4;5,7;10;13;92,3,50000
12340,月夜猫卡片,12240,12440,3,2,3,7:6600;9:180;10:180;75:550,519,,1,115,5;4;3;2;1,7;9;10;75,1,50000
12370,蛇女伊斯卡片,12270,12470,3,2,3,7:6400;10:140;12:160;72:550,520,,1,115,4;5,7;10;12;72,2,50000
12393,卡噗酱卡片,12293,12493,3,2,3,11:350;12:350;95:320;96:320,565,,0,115,5;4;3;2;1,11;12;95;96,2,50000
12375,海神卡片,12275,12475,3,3,3,10:420;12:210;13:57;73:550,521,,1,115,4;5,10;12;13;73,3,50000
12342,皮里恩卡片,12242,12442,3,3,3,9:360;7:4000;11:150;12:150,522,,1,115,3;2;1,9;7;11;12,1,50000
12343,兽人酋长卡片,12243,12443,3,3,3,9:420;7:2800;15:46;84:550,523,,1,115,3;2;1,9;7;15;84,2,50000
12344,冰暴骑士卡片,12244,12444,3,3,3,9:600;10:600;91:350;92:350,524,,1,115,5;4;3;2;1,9;10;91;92,3,50000
12345,卡仑卡片,12245,12445,3,3,3,10:340;7:4300;11:150;74:550,525,,1,115,1;2;3;4;5,10;7;11;74,1,50000
12371,重金属蝗虫卡片,12271,12471,3,3,3,9:600;11:140;93:210;91:250,526,,1,115,3;2;1,9;11;93;91,2,50000
12372,瓦尔基里卡片,12272,12472,3,3,3,9:760;15:27;93:210,527,,1,115,3;2;1,9;15;93,3,50000
12373,腐尸首领卡片,12273,12473,3,3,3,9:430;12:230;16:50;83:550,528,,1,115,3;2;1,9;12;16;83,1,50000
12374,女王甲虫卡片,12274,12474,3,3,3,10:760;15:27;94:210,529,,1,115,4;5,10;15;94,2,50000
12341,法老王卡片,12241,12441,3,3,3,10:510;94:210;92:250;95:330,530,,1,115,4;5,10;94;92;95,3,50000
12339,蚁后卡片,12239,12439,3,4,3,10:520;15:46;94:210;97:430,531,,1,115,4;5,10;15;94;97,1,50000
12347,乌龟将军卡片,12247,12447,3,4,3,7:5400;14:34;95:330;96:210,532,,1,115,1;2;3;4;5,7;14;95;96,2,50000
12348,死灵骑士卡片,12248,12448,3,4,3,9:400;13:57;91:400;97:430,533,,1,115,3;2;1,9;13;91;97,3,50000
12349,德古拉男爵卡片,12249,12449,3,4,3,10:370;16:69;15:46;86:550,534,,1,115,4;5,10;16;15;86,1,50000
12350,墨蛇君卡片,12250,12450,3,4,3,7:4500;16:34;94:330;96:330,535,,1,115,4;5,7;16;94;96,2,50000
12376,邪骸兽人卡片,12276,12476,3,4,3,7:3700;9:310;14:53;76:550,536,,1,115,3;2;1,7;9;14;76,3,50000
12377,鹗枭首领卡片,12277,12477,3,4,3,7:3800;10:320;92:400;87:550,537,,1,115,4;5,7;10;92;87,1,50000
12378,风魔巫师卡片,12278,12478,3,4,3,10:440;15:46;96:330;97:430,538,,1,115,4;5,10;15;96;97,2,50000
12379,摩卡卡片,12279,12479,3,4,3,7:3400;9:340;13:53;77:550,539,,1,115,3;2;1,7;9;13;77,3,50000
12337,海盗之王卡片,12237,12437,3,4,3,9:520;15:46;93:210;97:430,540,,1,115,3;2;1,9;15;93;97,1,50000
12396,圣诞波利卡片,12296,12496,3,4,3,7:11000;95:470;96:470,565,,0,115,1;2;3;4;5,7;95;96,2,50000
12351,元灵武士卡片,12251,12451,3,5,3,11:570;7:3400;95:210,541,,1,115,1;2;3;4;5,11;7;95,2,50000
12354,白素贞卡片,12254,12454,3,5,3,11:380;10:310;13:41;15:34,542,,1,115,4;5,11;10;13;15,3,50000
12381,狂暴野猫卡片,12281,12481,3,5,3,11:550;9:210;15:30;75:550,543,,1,115,3;2;1,11;9;15;75,1,50000
12352,古埃及王卡片,12252,12452,3,5,3,11:370;10:470;97:540,544,,1,115,4;5,11;10;97,2,50000
12355,贝思波卡片,12255,12455,3,5,3,11:430;7:2500;91:350;16:41,545,,1,115,1;2;3;4;5,11;7;91;16,3,50000
12353,塔奥群卡卡片,12253,12453,3,5,3,11:370;9:470;97:540,546,,1,115,3;2;1,11;9;97,1,50000
12382,寒冰巨人卡片,12282,12482,3,5,3,11:490;9:240;97:430;72:550,547,,1,115,3;2;1,11;9;97;72,2,50000
12383,堕落大神官卡片,12283,12483,3,5,3,11:480;10:220;16:41;85:550,548,,1,115,4;5,11;10;16;85,3,50000
12384,野猫骑士卡片,12284,12484,3,5,3,11:380;9:310;14:41;15:34,549,,1,115,3;2;1,11;9;14;15,1,50000
12385,爆炎蝙蝠卡片,12285,12485,3,5,3,11:450;10:190;96:330;82:550,550,,1,115,4;5,11;10;96;82,2,50000
12356,嗒妮小姐卡片,12256,12456,3,6,3,12:460;10:220;14:46;83:550,551,,1,115,4;5,12;10;14;83,3,50000
12357,影魔卡片,12257,12457,3,6,3,12:480;10:190;16:46;84:550,552,,1,115,4;5,12;10;16;84,1,50000
12358,寒冰龙卡片,12258,12458,3,6,3,12:570;7:3400;96:210,553,,1,115,1;2;3;4;5,12;7;96,2,50000
12390,马尔杜克卡片,12290,12490,3,6,3,12:450;9:230;16:46;74:550,554,,1,115,3;2;1,12;9;16;74,3,50000
12360,贝雷杰卡片,12260,12460,3,6,3,12:430;7:2500;92:350;14:41,555,,1,115,1;2;3;4;5,12;7;92;14,1,50000
12386,九尾狐卡片,12286,12486,3,6,3,12:380;10:310;14:41;97:430,556,,1,115,4;5,12;10;14;97,2,50000
12387,妖君卡片,12287,12487,3,6,3,12:400;10:470;94:230,557,,1,115,4;5,12;10;94,3,50000
12388,狂暴野猪卡片,12288,12488,3,6,3,12:490;9:180;15:46;73:550,558,,1,115,3;2;1,12;9;15;73,1,50000
12389,巨石怪卡片,12289,12489,3,6,3,12:380;9:310;16:41;13:34,559,,1,115,3;2;1,12;9;16;13,2,50000
12333,死灵卡片,12233,12433,3,6,3,12:400;9:470;93:230,560,,1,115,3;2;1,12;9;93,3,50000
12392,罗拉卡片,12292,12492,3,6,3,7:4800;9:550;93:320,562,,0,115,3;2;1,7;9;93,1,50000
12394,尼德霍格卡片,12294,12494,3,6,3,7:4800;10:550;94:320,563,,0,115,4;5,7;10;94,2,50000
12431,俄塞里斯卡片,12331,12531,3,1,4,7:5400;9:530;16:40;86:600,501,,1,154,3;2;1,7;9;16;86,1,60000
12432,巴风特卡片,12332,12532,3,1,4,9:1000;93:280;15:30,502,,1,154,3;2;1,9;93;15,2,60000
12459,阿特罗斯卡片,12359,12559,3,1,4,7:4500;9:770;91:300;8:22,503,,1,154,3;2;1,7;9;91;8,3,60000
12434,蜂后卡片,12334,12534,3,1,4,10:1000;94:280;92:300,504,,1,154,4;5,10;94;92,1,60000
12435,黄金虫卡片,12335,12535,3,1,4,7:8100;11:180;12:160;16:67,505,,1,154,1;2;3;4;5,7;11;12;16,2,60000
12461,梦魇卡片,12361,12561,3,1,4,7:5200;10:510;14:46;76:600,506,,1,154,4;5,7;10;14;76,3,60000
12462,七彩大嘴鸟卡片,12362,12562,3,1,4,7:5100;9:560;13:40;87:600,507,,1,154,3;2;1,7;9;13;87,1,60000
12463,狂暴大脚熊卡片,12363,12563,3,1,4,7:8900;11:210;12:160;95:280,508,,1,154,1;2;3;4;5,7;11;12;95,2,60000
12464,恶魔侍者卡片,12364,12564,3,1,4,7:6100;9:500;10:500;77:600,509,,1,154,5;4;3;2;1,7;9;10;77,3,60000
12465,女妖卡片,12365,12565,3,1,4,7:4200;10:790;92:300;8:22,510,,1,154,4;5,7;10;92;8,1,60000
12491,年兽卡片,12391,12591,3,1,4,9:1100;10:1100;97:590;8:22,561,,1,154,5;4;3;2;1,9;10;97;8,1,60000
12495,赤炎魔蛙卡片,12395,12595,3,1,4,7:12500;8:26;9:1200;10:1200,564,,0,154,5;4;3;2;1,7;8;9;10,1,60000
12436,兽人英雄卡片,12336,12536,3,2,4,7:8500;9:250;11:180;85:600,511,,1,154,3;2;1,7;9;11;85,2,60000
12480,伊夫利特卡片,12380,12580,3,2,4,7:5300;9:490;15:46;93:280,512,,1,154,3;2;1,7;9;15;93,3,60000
12438,虎王卡片,12338,12538,3,2,4,7:11500;11:140;14:21;96:150,513,,1,154,1;2;3;4;5,7;11;14;96,1,60000
12446,黑暗之王卡片,12346,12546,3,2,4,7:5200;10:510;15:43;94:280,514,,1,154,4;5,7;10;15;94,2,60000
12469,将军魔碑卡片,12369,12569,3,2,4,7:8600;9:190;12:220;82:600,515,,1,154,3;2;1,7;9;12;82,3,60000
12466,土人卡片,12366,12566,3,2,4,7:7000;9:370;13:46;91:300,516,,1,154,3;2;1,7;9;13;91,1,60000
12467,狂暴地龙卡片,12367,12567,3,2,4,7:9400;12:160;16:37;95:280,517,,1,154,1;2;3;4;5,7;12;16;95,2,60000
12468,傅里叶卡片,12368,12568,3,2,4,7:7500;10:350;13:43;92:300,518,,1,154,4;5,7;10;13;92,3,60000
12440,月夜猫卡片,12340,12540,3,2,4,7:8900;9:250;10:250;75:600,519,,1,154,5;4;3;2;1,7;9;10;75,1,60000
12470,蛇女伊斯卡片,12370,12570,3,2,4,7:8600;10:190;12:220;72:600,520,,1,154,4;5,7;10;12;72,2,60000
12493,卡噗酱卡片,12393,12593,3,2,4,11:500;12:500;95:500;96:500,565,,0,154,5;4;3;2;1,11;12;95;96,2,60000
12475,海神卡片,12375,12575,3,3,4,10:570;12:280;13:77;73:600,521,,1,154,4;5,10;12;13;73,3,60000
12442,皮里恩卡片,12342,12542,3,3,4,9:490;7:5300;11:210;12:210,522,,1,154,3;2;1,9;7;11;12,1,60000
12443,兽人酋长卡片,12343,12543,3,3,4,9:570;7:3800;15:61;84:600,523,,1,154,3;2;1,9;7;15;84,2,60000
12444,冰暴骑士卡片,12344,12544,3,3,4,9:830;10:830;91:450;92:450,524,,1,154,5;4;3;2;1,9;10;91;92,3,60000
12445,卡仑卡片,12345,12545,3,3,4,10:460;7:5800;11:210;74:600,525,,1,154,1;2;3;4;5,10;7;11;74,1,60000
12471,重金属蝗虫卡片,12371,12571,3,3,4,9:820;11:190;93:280;91:300,526,,1,154,3;2;1,9;11;93;91,2,60000
12472,瓦尔基里卡片,12372,12572,3,3,4,9:1000;15:37;93:280,527,,1,154,3;2;1,9;15;93,3,60000
12473,腐尸首领卡片,12373,12573,3,3,4,9:590;12:300;16:67;83:600,528,,1,154,3;2;1,9;12;16;83,1,60000
12474,女王甲虫卡片,12374,12574,3,3,4,10:1000;15:37;94:280,529,,1,154,4;5,10;15;94,2,60000
12441,法老王卡片,12341,12541,3,3,4,10:700;94:280;92:300;95:440,530,,1,154,4;5,10;94;92;95,3,60000
12439,蚁后卡片,12339,12539,3,4,4,10:700;15:61;94:280;97:570,531,,1,154,4;5,10;15;94;97,1,60000
12447,乌龟将军卡片,12347,12547,3,4,4,7:7200;14:46;95:440;96:280,532,,1,154,1;2;3;4;5,7;14;95;96,2,60000
12448,死灵骑士卡片,12348,12548,3,4,4,9:560;13:77;91:510;97:570,533,,1,154,3;2;1,9;13;91;97,3,60000
12449,德古拉男爵卡片,12349,12549,3,4,4,10:500;16:92;15:61;86:600,534,,1,154,4;5,10;16;15;86,1,60000
12450,墨蛇君卡片,12350,12550,3,4,4,7:6000;16:46;94:440;96:440,535,,1,154,4;5,7;16;94;96,2,60000
12476,邪骸兽人卡片,12376,12576,3,4,4,7:5100;9:420;14:70;76:600,536,,1,154,3;2;1,7;9;14;76,3,60000
12477,鹗枭首领卡片,12377,12577,3,4,4,7:5400;10:430;92:510;87:600,537,,1,154,4;5,7;10;92;87,1,60000
12478,风魔巫师卡片,12378,12578,3,4,4,10:580;15:61;96:440;97:570,538,,1,154,4;5,10;15;96;97,2,60000
12479,摩卡卡片,12379,12579,3,4,4,7:4600;9:460;13:70;77:600,539,,1,154,3;2;1,7;9;13;77,3,60000
12437,海盗之王卡片,12337,12537,3,4,4,9:700;15:61;93:280;97:570,540,,1,154,3;2;1,9;15;93;97,1,60000
12496,圣诞波利卡片,12396,12596,3,4,4,7:15000;95:600;96:600,565,,0,154,1;2;3;4;5,7;95;96,2,60000
12451,元灵武士卡片,12351,12551,3,5,4,11:770;7:4600;95:280,541,,1,154,1;2;3;4;5,11;7;95,2,60000
12454,白素贞卡片,12354,12554,3,5,4,11:510;10:420;13:55;15:46,542,,1,154,4;5,11;10;13;15,3,60000
12481,狂暴野猫卡片,12381,12581,3,5,4,11:740;9:280;15:40;75:600,543,,1,154,3;2;1,11;9;15;75,1,60000
12452,古埃及王卡片,12352,12552,3,5,4,11:500;10:630;97:730,544,,1,154,4;5,11;10;97,2,60000
12455,贝思波卡片,12355,12555,3,5,4,11:590;7:3300;91:450;16:55,545,,1,154,1;2;3;4;5,11;7;91;16,3,60000
12453,塔奥群卡卡片,12353,12553,3,5,4,11:500;9:630;97:730,546,,1,154,3;2;1,11;9;97,1,60000
12482,寒冰巨人卡片,12382,12582,3,5,4,11:670;9:320;97:570;72:600,547,,1,154,3;2;1,11;9;97;72,2,60000
12483,堕落大神官卡片,12383,12583,3,5,4,11:660;10:290;16:55;85:600,548,,1,154,4;5,11;10;16;85,3,60000
12484,野猫骑士卡片,12384,12584,3,5,4,11:510;9:420;14:55;15:46,549,,1,154,3;2;1,11;9;14;15,1,60000
12485,爆炎蝙蝠卡片,12385,12585,3,5,4,11:610;10:260;96:440;82:600,550,,1,154,4;5,11;10;96;82,2,60000
12456,嗒妮小姐卡片,12356,12556,3,6,4,12:630;10:290;14:61;83:600,551,,1,154,4;5,12;10;14;83,3,60000
12457,影魔卡片,12357,12557,3,6,4,12:660;10:260;16:61;84:600,552,,1,154,4;5,12;10;16;84,1,60000
12458,寒冰龙卡片,12358,12558,3,6,4,12:770;7:4600;96:280,553,,1,154,1;2;3;4;5,12;7;96,2,60000
12490,马尔杜克卡片,12390,12590,3,6,4,12:610;9:300;16:61;74:600,554,,1,154,3;2;1,12;9;16;74,3,60000
12460,贝雷杰卡片,12360,12560,3,6,4,12:590;7:3300;92:450;14:55,555,,1,154,1;2;3;4;5,12;7;92;14,1,60000
12486,九尾狐卡片,12386,12586,3,6,4,12:510;10:420;14:55;97:570,556,,1,154,4;5,12;10;14;97,2,60000
12487,妖君卡片,12387,12587,3,6,4,12:540;10:630;94:300,557,,1,154,4;5,12;10;94,3,60000
12488,狂暴野猪卡片,12388,12588,3,6,4,12:670;9:250;15:61;73:600,558,,1,154,3;2;1,12;9;15;73,1,60000
12489,巨石怪卡片,12389,12589,3,6,4,12:510;9:420;16:55;13:46,559,,1,154,3;2;1,12;9;16;13,2,60000
12433,死灵卡片,12333,12533,3,6,4,12:540;9:630;93:300,560,,1,154,3;2;1,12;9;93,3,60000
12492,罗拉卡片,12392,12592,3,6,4,7:6300;9:710;93:370,562,,0,154,3;2;1,7;9;93,1,60000
12494,尼德霍格卡片,12394,12594,3,6,4,7:6300;10:710;94:370,563,,0,154,4;5,7;10;94,2,60000
12531,俄塞里斯卡片,12431,,3,1,5,7:6500;9:630;16:48;86:650,501,,1,185,3;2;1,7;9;16;86,1,
12532,巴风特卡片,12432,,3,1,5,9:1200;93:340;15:37,502,,1,185,3;2;1,9;93;15,2,
12559,阿特罗斯卡片,12459,,3,1,5,7:5800;9:920;91:300;8:24,503,,1,185,3;2;1,7;9;91;8,3,
12534,蜂后卡片,12434,,3,1,5,10:1200;94:340;92:300,504,,1,185,4;5,10;94;92,1,
12535,黄金虫卡片,12435,,3,1,5,7:9800;11:210;12:200;16:81,505,,1,185,1;2;3;4;5,7;11;12;16,2,
12561,梦魇卡片,12461,,3,1,5,7:6300;10:620;14:55;76:650,506,,1,185,4;5,7;10;14;76,3,
12562,七彩大嘴鸟卡片,12462,,3,1,5,7:6100;9:670;13:48;87:650,507,,1,185,3;2;1,7;9;13;87,1,
12563,狂暴大脚熊卡片,12463,,3,1,5,7:10700;11:250;12:200;95:340,508,,1,185,1;2;3;4;5,7;11;12;95,2,
12564,恶魔侍者卡片,12464,,3,1,5,7:7400;9:600;10:600;77:650,509,,1,185,5;4;3;2;1,7;9;10;77,3,
12565,女妖卡片,12465,,3,1,5,7:5400;10:950;92:300;8:24,510,,1,185,4;5,7;10;92;8,1,
12591,年兽卡片,12491,,3,1,5,9:1300;10:1300;97:710;8:24,561,,1,185,5;4;3;2;1,9;10;97;8,1,
12595,赤炎魔蛙卡片,12495,,3,1,5,7:15400;8:31;9:1450;10:1450,564,,1,185,5;4;3;2;1,7;8;9;10,1,
12536,兽人英雄卡片,12436,,3,2,5,7:10200;9:300;11:210;85:650,511,,1,185,3;2;1,7;9;11;85,2,
12580,伊夫利特卡片,12480,,3,2,5,7:6400;9:580;15:55;93:340,512,,1,185,3;2;1,7;9;15;93,3,
12538,虎王卡片,12438,,3,2,5,7:13800;11:160;14:25;96:180,513,,1,185,1;2;3;4;5,7;11;14;96,1,
12546,黑暗之王卡片,12446,,3,2,5,7:6200;10:620;15:51;94:340,514,,1,185,4;5,7;10;15;94,2,
12569,将军魔碑卡片,12469,,3,2,5,7:10300;9:230;12:260;82:650,515,,1,185,3;2;1,7;9;12;82,3,
12566,土人卡片,12466,,3,2,5,7:8800;9:450;13:55;91:300,516,,1,185,3;2;1,7;9;13;91,1,
12567,狂暴地龙卡片,12467,,3,2,5,7:11200;12:200;16:44;95:340,517,,1,185,1;2;3;4;5,7;12;16;95,2,
12568,傅里叶卡片,12468,,3,2,5,7:9400;10:420;13:51;92:300,518,,1,185,4;5,7;10;13;92,3,
12540,月夜猫卡片,12440,,3,2,5,7:10700;9:300;10:300;75:650,519,,1,185,5;4;3;2;1,7;9;10;75,1,
12570,蛇女伊斯卡片,12470,,3,2,5,7:10300;10:230;12:260;72:650,520,,1,185,4;5,7;10;12;72,2,
12593,卡噗酱卡片,12493,,3,2,5,11:700;12:700;95:710;96:710,565,,0,185,5;4;3;2;1,11;12;95;96,2,
12575,海神卡片,12475,,3,3,5,10:690;12:330;13:92;73:650,521,,1,185,4;5,10;12;13;73,3,
12542,皮里恩卡片,12442,,3,3,5,9:580;7:6400;11:250;12:250,522,,1,185,3;2;1,9;7;11;12,1,
12543,兽人酋长卡片,12443,,3,3,5,9:690;7:4600;15:74;84:650,523,,1,185,3;2;1,9;7;15;84,2,
12544,冰暴骑士卡片,12444,,3,3,5,9:1000;10:1000;91:500;92:500,524,,1,185,5;4;3;2;1,9;10;91;92,3,
12545,卡仑卡片,12445,,3,3,5,10:550;7:7000;11:250;74:650,525,,1,185,1;2;3;4;5,10;7;11;74,1,
12571,重金属蝗虫卡片,12471,,3,3,5,9:1000;11:230;93:340;91:300,526,,1,185,3;2;1,9;11;93;91,2,
12572,瓦尔基里卡片,12472,,3,3,5,9:1200;15:44;93:340,527,,1,185,3;2;1,9;15;93,3,
12573,腐尸首领卡片,12473,,3,3,5,9:700;12:370;16:81;83:650,528,,1,185,3;2;1,9;12;16;83,1,
12574,女王甲虫卡片,12474,,3,3,5,10:1200;15:44;94:340,529,,1,185,4;5,10;15;94,2,
12541,法老王卡片,12441,,3,3,5,10:870;94:340;92:300;95:530,530,,1,185,4;5,10;94;92;95,3,
12539,蚁后卡片,12439,,3,4,5,10:840;15:74;94:340;97:690,531,,1,185,4;5,10;15;94;97,1,
12547,乌龟将军卡片,12447,,3,4,5,7:8600;14:55;95:530;96:340,532,,1,185,1;2;3;4;5,7;14;95;96,2,
12548,死灵骑士卡片,12448,,3,4,5,9:620;13:92;91:700;97:690,533,,1,185,3;2;1,9;13;91;97,3,
12549,德古拉男爵卡片,12449,,3,4,5,10:600;16:110;15:74;86:650,534,,1,185,4;5,10;16;15;86,1,
12550,墨蛇君卡片,12450,,3,4,5,7:7200;16:55;94:530;96:530,535,,1,185,4;5,7;16;94;96,2,
12576,邪骸兽人卡片,12476,,3,4,5,7:6100;9:500;14:85;76:650,536,,1,185,3;2;1,7;9;14;76,3,
12577,鹗枭首领卡片,12477,,3,4,5,7:5900;10:520;92:700;87:650,537,,1,185,4;5,7;10;92;87,1,
12578,风魔巫师卡片,12478,,3,4,5,10:700;15:74;96:530;97:690,538,,1,185,4;5,10;15;96;97,2,
12579,摩卡卡片,12479,,3,4,5,7:5500;9:550;13:85;77:650,539,,1,185,3;2;1,7;9;13;77,3,
12537,海盗之王卡片,12437,,3,4,5,9:840;15:74;93:340;97:690,540,,1,185,3;2;1,9;15;93;97,1,
12596,圣诞波利卡片,12496,,3,4,5,7:18500;95:750;96:750,565,,0,185,1;2;3;4;5,7;95;96,2,
12551,元灵武士卡片,12451,,3,5,5,11:920;7:5500;95:340,541,,1,185,1;2;3;4;5,11;7;95,2,
12554,白素贞卡片,12454,,3,5,5,11:620;10:500;13:66;15:55,542,,1,185,4;5,11;10;13;15,3,
12581,狂暴野猫卡片,12481,,3,5,5,11:890;9:330;15:48;75:650,543,,1,185,3;2;1,11;9;15;75,1,
12552,古埃及王卡片,12452,,3,5,5,11:600;10:750;97:870,544,,1,185,4;5,11;10;97,2,
12555,贝思波卡片,12455,,3,5,5,11:730;7:4000;91:500;16:66,545,,1,185,1;2;3;4;5,11;7;91;16,3,
12553,塔奥群卡卡片,12453,,3,5,5,11:600;9:750;97:870,546,,1,185,3;2;1,11;9;97,1,
12582,寒冰巨人卡片,12482,,3,5,5,11:810;9:380;97:690;72:650,547,,1,185,3;2;1,11;9;97;72,2,
12583,堕落大神官卡片,12483,,3,5,5,11:790;10:350;16:66;85:650,548,,1,185,4;5,11;10;16;85,3,
12584,野猫骑士卡片,12484,,3,5,5,11:620;9:500;14:66;15:55,549,,1,185,3;2;1,11;9;14;15,1,
12585,爆炎蝙蝠卡片,12485,,3,5,5,11:740;10:310;96:530;82:650,550,,1,185,4;5,11;10;96;82,2,
12556,嗒妮小姐卡片,12456,,3,6,5,12:760;10:350;14:74;83:650,551,,1,185,4;5,12;10;14;83,3,
12557,影魔卡片,12457,,3,6,5,12:790;10:310;16:74;84:650,552,,1,185,4;5,12;10;16;84,1,
12558,寒冰龙卡片,12458,,3,6,5,12:920;7:5500;96:340,553,,1,185,1;2;3;4;5,12;7;96,2,
12590,马尔杜克卡片,12490,,3,6,5,12:740;9:370;16:74;74:650,554,,1,185,3;2;1,12;9;16;74,3,
12560,贝雷杰卡片,12460,,3,6,5,12:730;7:4000;92:500;14:66,555,,1,185,1;2;3;4;5,12;7;92;14,1,
12586,九尾狐卡片,12486,,3,6,5,12:620;10:500;14:66;97:690,556,,1,185,4;5,12;10;14;97,2,
12587,妖君卡片,12487,,3,6,5,12:650;10:750;94:370,557,,1,185,4;5,12;10;94,3,
12588,狂暴野猪卡片,12488,,3,6,5,12:810;9:300;15:74;73:650,558,,1,185,3;2;1,12;9;15;73,1,
12589,巨石怪卡片,12489,,3,6,5,12:620;9:500;16:66;13:55,559,,1,185,3;2;1,12;9;16;13,2,
12533,死灵卡片,12433,,3,6,5,12:650;9:750;93:370,560,,1,185,3;2;1,12;9;93,3,
