id,道具类型,道具品质,叠加数量,是否自动使用,是否消耗道具,需要等级,是否绑定,是否分职业,合成目标,分解目标,道具时效,碎片展示,获取途径,属性,对应藏品,道具使用所需时间
672,16,4,9999,0,2:30000,1,1,,4023,4023,,,,,,
673,16,4,9999,0,2:50000,1,1,,4024,4024,,,,,,
681,32,1,9999,0,,1,1,,1001:1;1501:1;2001:1;3001:1;4001:1;,,,,,,,
682,32,1,9999,0,,1,1,,1002:1;1502:1;2002:1;3002:1;4002:1;,,,,,,,
683,32,1,9999,0,,1,1,,1003:1;1503:1;2003:1;3003:1;4003:1;,,,,,,,
684,32,2,9999,0,,1,1,,1004:1;1504:1;2004:1;3004:1;4004:1;,,,,,,,
685,32,2,9999,0,,1,1,,1005:1;1505:1;2005:1;3005:1;4005:1;,,,,,,,
686,32,2,9999,0,,1,1,,1006:1;1506:1;2006:1;3006:1;4006:1;,,,,,,,
687,32,3,9999,0,,1,1,,1007:1;1507:1;2007:1;3007:1;4007:1;,,,,,,,
688,32,3,9999,0,,1,1,,1008:1;1508:1;2008:1;3008:1;4008:1;,,,,,,,
689,32,3,9999,0,,1,1,,1009:1;1509:1;2009:1;3009:1;4009:1;,,,,,,,
690,32,4,9999,0,,1,1,,1010:1;1510:1;2010:1;3010:1;4010:1;,,,,,,,
691,32,4,9999,0,,1,1,,1011:1;1511:1;2011:1;3011:1;4011:1;,,,,,,,
692,32,4,9999,0,,1,1,,1012:1;1512:1;2012:1;3012:1;4012:1;,,,,,,,
693,32,4,9999,0,,1,1,,1013:1;1513:1;2013:1;3013:1;4013:1;,,,,,,,
694,32,4,9999,0,,1,1,,1014:1;1514:1;2014:1;3014:1;4014:1;,,,,,,,
695,32,4,9999,0,,1,1,,1015:1;1515:1;2015:1;3015:1;4015:1;,,,,,,,
701,32,3,9999,0,,1,1,,5007:1;6007:1;7007:1;8007:1;,,,,,,,
702,32,3,9999,0,,1,1,,5008:1;6008:1;7008:1;8008:1;,,,,,,,
703,32,3,9999,0,,1,1,,5009:1;6009:1;7009:1;8009:1;,,,,,,,
704,32,4,9999,0,,1,1,,5010:1;6010:1;7010:1;8010:1;,,,,,,,
705,32,4,9999,0,,1,1,,5011:1;6011:1;7011:1;8011:1;,,,,,,,
706,32,4,9999,0,,1,1,,5012:1;6012:1;7012:1;8012:1;,,,,,,,
707,32,4,9999,0,,1,1,,5013:1;6013:1;7013:1;8013:1;,,,,,,,
708,32,4,9999,0,,1,1,,5014:1;6014:1;7014:1;8014:1;,,,,,,,
709,32,4,9999,0,,1,1,,5015:1;6015:1;7015:1;8015:1;,,,,,,,
751,16,4,9999,0,2:2000,1,,,5237,5237,,,,,,
752,16,4,9999,0,2:2000,1,,,5238,5238,,,,,,
753,16,4,9999,0,2:2000,1,,,5239,5239,,,,,,
754,16,4,9999,0,2:2000,1,,,5240,5240,,,,,,
755,16,4,9999,0,2:2000,1,,,5241,5241,,,,,,
756,16,4,9999,0,2:2000,1,,,5242,5242,,,,,,
757,16,4,9999,0,2:2000,1,,,5243,5243,,,,,,
758,16,4,9999,0,2:2000,1,,,5244,5244,,,,,,
759,16,4,9999,0,2:2000,1,,,5245,5245,,,,,,
760,16,4,9999,0,2:2200,1,,,5246,5246,,,,,,
761,16,4,9999,0,2:2200,1,,,5247,5247,,,,,,
762,16,4,9999,0,2:2200,1,,,5248,5248,,,,,,
763,16,4,9999,0,2:2200,1,,,5249,5249,,,,,,
764,16,4,9999,0,2:2200,1,,,5250,5250,,,,,,
765,16,4,9999,0,2:2200,1,,,5251,5251,,,,,,
766,16,4,9999,0,2:2200,1,,,5252,5252,,,,,,
767,16,4,9999,0,2:2200,1,,,5253,5253,,,,,,
768,16,4,9999,0,2:2200,1,,,5254,5254,,,,,,
769,16,4,9999,0,2:2400,1,,,5255,5255,,,,,,
770,16,4,9999,0,2:2400,1,,,5256,5256,,,,,,
771,16,4,9999,0,2:2400,1,,,5257,5257,,,,,,
772,16,4,9999,0,2:2400,1,,,5258,5258,,,,,,
801,21,2,1,0,,1,1,,801,801,,,,7,,
802,21,2,1,0,,1,1,,802,802,,,,3,,
803,21,2,1,0,,1,1,,803,803,,,,3,,
804,21,2,1,0,,1,1,,804,804,,,,5,,
805,21,2,1,0,,1,1,,805,805,,,,5,,
806,21,2,1,0,,1,1,,806,806,,,,6,,
807,21,2,1,0,,1,1,,807,807,,,,4,,
808,21,2,1,0,,1,1,,808,808,,,,4,,
809,21,2,1,0,,1,1,,809,809,,,,2,,
810,21,3,1,0,,1,1,,810,810,,,,7,,
811,21,3,1,0,,1,1,,811,811,,,,7,,
812,21,3,1,0,,1,1,,812,812,,,,7,,
813,21,3,1,0,,1,1,,813,813,,,,3,,
814,21,3,1,0,,1,1,,814,814,,,,3,,
815,21,3,1,0,,1,1,,815,815,,,,3,,
816,21,3,1,0,,1,1,,816,816,,,,5,,
817,21,3,1,0,,1,1,,817,817,,,,5,,
818,21,3,1,0,,1,1,,818,818,,,,5,,
819,21,3,1,0,,1,1,,819,819,,,,6,,
820,21,3,1,0,,1,1,,820,820,,,,6,,
821,21,3,1,0,,1,1,,821,821,,,,6,,
822,21,3,1,0,,1,1,,822,822,,,,4,,
823,21,4,1,0,,1,1,,823,823,,,,4,,
824,21,3,1,0,,1,1,,824,824,,,,4,,
825,21,3,1,0,,1,1,,825,825,,,,8,,
826,21,3,1,0,,1,1,,826,826,,,,2,,
827,21,3,1,0,,1,1,,827,827,,,,2,,
828,21,3,1,0,,1,1,,828,828,,,,2,,
829,21,4,1,0,,1,1,,829,829,,,,7,,
830,21,4,1,0,,1,1,,830,830,,,,7,,
831,21,4,1,0,,1,1,,831,831,,,,7,,
832,21,4,1,0,,1,1,,832,832,,,,3,,
833,21,4,1,0,,1,1,,833,833,,,,3,,
834,21,4,1,0,,1,1,,834,834,,,,3,,
835,21,4,1,0,,1,1,,835,835,,,,5,,
836,21,4,1,0,,1,1,,836,836,,,,5,,
837,21,4,1,0,,1,1,,837,837,,,,5,,
838,21,4,1,0,,1,1,,838,838,,,,6,,
839,21,4,1,0,,1,1,,839,839,,,,6,,
840,21,4,1,0,,1,1,,840,840,,,,6,,
841,21,4,1,0,,1,1,,841,841,,,,4,,
842,21,4,1,0,,1,1,,842,842,,,,4,,
843,21,4,1,0,,1,1,,843,843,,,,4,,
844,21,4,1,0,,1,1,,844,844,,,,8,,
845,21,4,1,0,,1,1,,845,845,,,,8,,
846,21,4,1,0,,1,1,,846,846,,,,2,,
847,21,4,1,0,,1,1,,847,847,,,,2,,
848,21,4,1,0,,1,1,,848,848,,,,2,,
849,21,4,1,0,,1,1,,849,849,,,,6,,
850,21,4,1,0,,1,1,,850,850,,,,4,,
851,21,4,1,0,,1,1,,851,851,,,,6,,
852,21,4,1,0,,1,1,,852,852,,,,8,,
853,21,4,1,0,,1,1,,853,853,,,,5,,
854,21,4,1,0,,1,1,,854,854,,,,4,,
855,21,4,1,0,,1,1,,855,855,,,,1,,
856,21,4,1,0,,1,1,,856,856,,,,8,,
857,21,4,1,0,,1,1,,857,857,,,,7,,
858,21,4,1,0,,1,1,,858,858,,,,6,,
859,21,4,1,0,,1,1,,859,859,,,,6,,
901,22,2,9999,0,901:20,1,1,,5301,5301,,2,,7,,
902,22,2,9999,0,902:20,1,1,,5302,5302,,2,,3,,
903,22,2,9999,0,903:20,1,1,,5303,5303,,2,,3,,
904,22,2,9999,0,904:20,1,1,,5304,5304,,2,,5,,
905,22,2,9999,0,905:20,1,1,,5305,5305,,2,,5,,
906,22,2,9999,0,906:20,1,1,,5306,5306,,2,,6,,
907,22,2,9999,0,907:20,1,1,,5307,5307,,2,,4,,
908,22,2,9999,0,908:20,1,1,,5308,5308,,2,,4,,
909,22,2,9999,0,909:20,1,1,,5309,5309,,2,,2,,
910,22,3,9999,0,910:20,1,1,,5310,5310,,2,,7,,
911,22,3,9999,0,911:20,1,1,,5311,5311,,2,,7,,
912,22,3,9999,0,912:20,1,1,,5312,5312,,2,,7,,
913,22,3,9999,0,913:20,1,1,,5313,5313,,2,,3,,
914,22,3,9999,0,914:20,1,1,,5314,5314,,2,,3,,
915,22,3,9999,0,915:20,1,1,,5315,5315,,2,,3,,
916,22,3,9999,0,916:20,1,1,,5316,5316,,2,,5,,
917,22,3,9999,0,917:20,1,1,,5317,5317,,2,,5,,
918,22,3,9999,0,918:20,1,1,,5318,5318,,2,,5,,
919,22,3,9999,0,919:20,1,1,,5319,5319,,2,,6,,
920,22,3,9999,0,920:20,1,1,,5320,5320,,2,,6,,
921,22,3,9999,0,921:20,1,1,,5321,5321,,2,,6,,
922,22,3,9999,0,922:20,1,1,,5322,5322,,2,,4,,
923,22,4,9999,0,923:20,1,1,,5323,5323,,2,,4,,
924,22,3,9999,0,924:20,1,1,,5324,5324,,2,,4,,
925,22,3,9999,0,925:20,1,1,,5325,5325,,2,,8,,
926,22,3,9999,0,926:20,1,1,,5326,5326,,2,,2,,
927,22,3,9999,0,927:20,1,1,,5327,5327,,2,,2,,
928,22,3,9999,0,928:20,1,1,,5328,5328,,2,,2,,
929,22,4,9999,0,929:20,1,1,,5329,5329,,2,,7,,
930,22,4,9999,0,930:20,1,1,,5330,5330,,2,,7,,
931,22,4,9999,0,931:20,1,1,,5331,5331,,2,,7,,
932,22,4,9999,0,932:20,1,1,,5332,5332,,2,,3,,
933,22,4,9999,0,933:20,1,1,,5333,5333,,2,,3,,
934,22,4,9999,0,934:20,1,1,,5334,5334,,2,,3,,
935,22,4,9999,0,935:20,1,1,,5335,5335,,2,,5,,
936,22,4,9999,0,936:20,1,1,,5336,5336,,2,,5,,
937,22,4,9999,0,937:20,1,1,,5337,5337,,2,,5,,
938,22,4,9999,0,938:20,1,1,,5338,5338,,2,,6,,
939,22,4,9999,0,939:20,1,1,,5339,5339,,2,,6,,
940,22,4,9999,0,940:20,1,1,,5340,5340,,2,,6,,
941,22,4,9999,0,941:20,1,1,,5341,5341,,2,,4,,
942,22,4,9999,0,942:20,1,1,,5342,5342,,2,,4,,
943,22,4,9999,0,943:20,1,1,,5343,5343,,2,,4,,
944,22,4,9999,0,944:20,1,1,,5344,5344,,2,,8,,
945,22,4,9999,0,945:20,1,1,,5345,5345,,2,,8,,
946,22,4,9999,0,946:20,1,1,,5346,5346,,2,,2,,
947,22,4,9999,0,947:20,1,1,,5347,5347,,2,,2,,
948,22,4,9999,0,948:20,1,1,,5348,5348,,2,,2,,
1001,6,1,9999,0,,,1,,,,,,,,,
1002,6,1,9999,0,,,1,,,,,,,,,
1003,6,1,9999,0,,,1,,,,,,,,,
1004,6,2,9999,0,,,1,,,,,,,,,
1005,6,2,9999,0,,,1,,,,,,,,,
1006,6,2,9999,0,,,1,,,,,,,,,
1007,6,3,9999,0,,,1,,,,,,,,,
1008,6,3,9999,0,,,1,,,,,,,,,
1009,6,3,9999,0,,,1,,,,,,,,,
1010,6,4,9999,0,,,1,,,,,,,,,
1011,6,4,9999,0,,,1,,,,,,,,,
1012,6,4,9999,0,,,1,,,,,,,,,
1013,6,5,9999,0,,,1,,,,,,,,,
1014,6,5,9999,0,,,1,,,,,,,,,
1015,6,5,9999,0,,,1,,,,,,,,,
1501,6,1,9999,0,,,1,,,,,,,,,
1502,6,1,9999,0,,,1,,,,,,,,,
1503,6,1,9999,0,,,1,,,,,,,,,
1504,6,2,9999,0,,,1,,,,,,,,,
1505,6,2,9999,0,,,1,,,,,,,,,
1506,6,2,9999,0,,,1,,,,,,,,,
1507,6,3,9999,0,,,1,,,,,,,,,
1508,6,3,9999,0,,,1,,,,,,,,,
1509,6,3,9999,0,,,1,,,,,,,,,
1510,6,4,9999,0,,,1,,,,,,,,,
1511,6,4,9999,0,,,1,,,,,,,,,
1512,6,4,9999,0,,,1,,,,,,,,,
1513,6,5,9999,0,,,1,,,,,,,,,
1514,6,5,9999,0,,,1,,,,,,,,,
1515,6,5,9999,0,,,1,,,,,,,,,
2001,6,1,9999,0,,,1,,,,,,,,,
2002,6,1,9999,0,,,1,,,,,,,,,
2003,6,1,9999,0,,,1,,,,,,,,,
2004,6,2,9999,0,,,1,,,,,,,,,
2005,6,2,9999,0,,,1,,,,,,,,,
2006,6,2,9999,0,,,1,,,,,,,,,
2007,6,3,9999,0,,,1,,,,,,,,,
2008,6,3,9999,0,,,1,,,,,,,,,
2009,6,3,9999,0,,,1,,,,,,,,,
2010,6,4,9999,0,,,1,,,,,,,,,
2011,6,4,9999,0,,,1,,,,,,,,,
2012,6,4,9999,0,,,1,,,,,,,,,
2013,6,5,9999,0,,,1,,,,,,,,,
2014,6,5,9999,0,,,1,,,,,,,,,
2015,6,5,9999,0,,,1,,,,,,,,,
3001,6,1,9999,0,,,1,,,,,,,,,
3002,6,1,9999,0,,,1,,,,,,,,,
3003,6,1,9999,0,,,1,,,,,,,,,
3004,6,2,9999,0,,,1,,,,,,,,,
3005,6,2,9999,0,,,1,,,,,,,,,
3006,6,2,9999,0,,,1,,,,,,,,,
3007,6,3,9999,0,,,1,,,,,,,,,
3008,6,3,9999,0,,,1,,,,,,,,,
3009,6,3,9999,0,,,1,,,,,,,,,
3010,6,4,9999,0,,,1,,,,,,,,,
3011,6,4,9999,0,,,1,,,,,,,,,
3012,6,4,9999,0,,,1,,,,,,,,,
3013,6,5,9999,0,,,1,,,,,,,,,
3014,6,5,9999,0,,,1,,,,,,,,,
3015,6,5,9999,0,,,1,,,,,,,,,
4001,6,1,9999,0,,,1,,,,,,,,,
4002,6,1,9999,0,,,1,,,,,,,,,
4003,6,1,9999,0,,,1,,,,,,,,,
4004,6,2,9999,0,,,1,,,,,,,,,
4005,6,2,9999,0,,,1,,,,,,,,,
4006,6,2,9999,0,,,1,,,,,,,,,
4007,6,3,9999,0,,,1,,,,,,,,,
4008,6,3,9999,0,,,1,,,,,,,,,
4009,6,3,9999,0,,,1,,,,,,,,,
4010,6,4,9999,0,,,1,,,,,,,,,
4011,6,4,9999,0,,,1,,,,,,,,,
4012,6,4,9999,0,,,1,,,,,,,,,
4013,6,5,9999,0,,,1,,,,,,,,,
4014,6,5,9999,0,,,1,,,,,,,,,
4015,6,5,9999,0,,,1,,,,,,,,,
5001,6,1,9999,0,,,1,,,,,,,,,
5002,6,1,9999,0,,,1,,,,,,,,,
5003,6,1,9999,0,,,1,,,,,,,,,
5004,6,2,9999,0,,,1,,,,,,,,,
5005,6,2,9999,0,,,1,,,,,,,,,
5006,6,2,9999,0,,,1,,,,,,,,,
5007,6,3,9999,0,,,1,,,,,,,,,
5008,6,3,9999,0,,,1,,,,,,,,,
5009,6,3,9999,0,,,1,,,,,,,,,
5010,6,4,9999,0,,,1,,,,,,,,,
5011,6,4,9999,0,,,1,,,,,,,,,
5012,6,4,9999,0,,,1,,,,,,,,,
5013,6,5,9999,0,,,1,,,,,,,,,
5014,6,5,9999,0,,,1,,,,,,,,,
5015,6,5,9999,0,,,1,,,,,,,,,
6001,6,1,9999,0,,,1,,,,,,,,,
6002,6,1,9999,0,,,1,,,,,,,,,
6003,6,1,9999,0,,,1,,,,,,,,,
6004,6,2,9999,0,,,1,,,,,,,,,
6005,6,2,9999,0,,,1,,,,,,,,,
6006,6,2,9999,0,,,1,,,,,,,,,
6007,6,3,9999,0,,,1,,,,,,,,,
6008,6,3,9999,0,,,1,,,,,,,,,
6009,6,3,9999,0,,,1,,,,,,,,,
6010,6,4,9999,0,,,1,,,,,,,,,
6011,6,4,9999,0,,,1,,,,,,,,,
6012,6,4,9999,0,,,1,,,,,,,,,
6013,6,5,9999,0,,,1,,,,,,,,,
6014,6,5,9999,0,,,1,,,,,,,,,
6015,6,5,9999,0,,,1,,,,,,,,,
7001,6,1,9999,0,,,1,,,,,,,,,
7002,6,1,9999,0,,,1,,,,,,,,,
7003,6,1,9999,0,,,1,,,,,,,,,
7004,6,2,9999,0,,,1,,,,,,,,,
7005,6,2,9999,0,,,1,,,,,,,,,
7006,6,2,9999,0,,,1,,,,,,,,,
7007,6,3,9999,0,,,1,,,,,,,,,
7008,6,3,9999,0,,,1,,,,,,,,,
7009,6,3,9999,0,,,1,,,,,,,,,
7010,6,4,9999,0,,,1,,,,,,,,,
7011,6,4,9999,0,,,1,,,,,,,,,
7012,6,4,9999,0,,,1,,,,,,,,,
7013,6,5,9999,0,,,1,,,,,,,,,
7014,6,5,9999,0,,,1,,,,,,,,,
7015,6,5,9999,0,,,1,,,,,,,,,
8001,6,1,9999,0,,,1,,,,,,,,,
8002,6,1,9999,0,,,1,,,,,,,,,
8003,6,1,9999,0,,,1,,,,,,,,,
8004,6,2,9999,0,,,1,,,,,,,,,
8005,6,2,9999,0,,,1,,,,,,,,,
8006,6,2,9999,0,,,1,,,,,,,,,
8007,6,3,9999,0,,,1,,,,,,,,,
8008,6,3,9999,0,,,1,,,,,,,,,
8009,6,3,9999,0,,,1,,,,,,,,,
8010,6,4,9999,0,,,1,,,,,,,,,
8011,6,4,9999,0,,,1,,,,,,,,,
8012,6,4,9999,0,,,1,,,,,,,,,
8013,6,5,9999,0,,,1,,,,,,,,,
8014,6,5,9999,0,,,1,,,,,,,,,
8015,6,5,9999,0,,,1,,,,,,,,,
9001,6,1,9999,0,,,1,,,,,,,,,
9002,6,1,9999,0,,,1,,,,,,,,,
9003,6,1,9999,0,,,1,,            ,,,,,,,
9004,6,2,9999,0,,,1,,,,,,,,,
9005,6,2,9999,0,,,1,,,,,,,,,
9006,6,2,9999,0,,,1,,,,,,,,,
9007,6,3,9999,0,,,1,,,,,,,,,
9008,6,3,9999,0,,,1,,,,,,,,,
9009,6,3,9999,0,,,1,,,,,,,,,
9010,6,4,9999,0,,,1,,,,,,,,,
9011,6,4,9999,0,,,1,,,,,,,,,
9012,6,4,9999,0,,,1,,,,,,,,,
9013,6,5,9999,0,,,1,,,,,,,,,
9014,6,5,9999,0,,,1,,,,,,,,,
9015,6,5,9999,0,,,1,,,,,,,,,
11000,14,2,9999,0,,,1,,20001,,,,,,,
11001,14,2,9999,0,,,1,,20002,,,,,,,
11002,14,2,9999,0,,,1,,20003,,,,,,,
11003,14,2,9999,0,,,1,,20004,,,,,,,
11004,14,2,9999,0,,,1,,20005,,,,,,,
11005,14,3,9999,0,,,1,,20101,,,,,,,
11006,14,3,9999,0,,,1,,20102,,,,,,,
11007,14,3,9999,0,,,1,,20103,,,,,,,
11008,14,3,9999,0,,,1,,20104,,,,,,,
11009,14,3,9999,0,,,1,,20105,,,,,,,
11010,14,3,9999,0,,,1,,20201,,,,,,,
11011,14,3,9999,0,,,1,,20202,,,,,,,
11012,14,3,9999,0,,,1,,20203,,,,,,,
11013,14,3,9999,0,,,1,,20204,,,,,,,
11014,14,3,9999,0,,,1,,20205,,,,,,,
11015,14,4,9999,0,,,1,,23101,,,,,,,
11016,14,4,9999,0,,,1,,23102,,,,,,,
11017,14,4,9999,0,,,1,,23103,,,,,,,
11018,14,4,9999,0,,,1,,23104,,,,,,,
11019,14,4,9999,0,,,1,,23105,,,,,,,
11020,14,4,9999,0,,,1,,23201,,,,,,,
11021,14,4,9999,0,,,1,,23202,,,,,,,
11022,14,4,9999,0,,,1,,23203,,,,,,,
11023,14,4,9999,0,,,1,,23204,,,,,,,
11024,14,4,9999,0,,,1,,23205,,,,,,,
11025,14,3,9999,0,,,1,,30000,,,,,,,
11026,14,2,9999,0,,,1,,30001,,,,,,,
11027,14,2,9999,0,,,1,,31001,,,,,,,
11028,14,3,9999,0,,,1,,31002,,,,,,,
11029,14,3,9999,0,,,1,,31003,,,,,,,
11030,14,3,9999,0,,,1,,31004,,,,,,,
11031,14,3,9999,0,,,1,,31005,,,,,,,
11101,32,4,9999,0,,10,1,,13140:1;13141:1;13142:1;13143:1;13144:1;13145:1;13146:1,,,,,,,
11102,32,4,9999,0,,10,1,,13132:1;13133:1;13134:1;13136:1;13137:1;13138:1;13139:1,,,,,,,
11103,16,4,9999,0,,1,1,,8003,8002,,,,,,
11104,16,4,9999,0,,1,1,,8009,8008,,,,,,
11105,16,4,9999,0,,1,1,,8011,8010,,,,,,
11199,32,2,9999,0,,1,1,,14240:1;14241:1;14246:1;14247:1;14244:1;14245:1;14242:1;14243:1;14248:1;14249:1;48:50,,,,,,,
11200,32,2,9999,0,,1,1,,14250:1;14251:1;14256:1;14257:1;14254:1;14255:1;14252:1;14253:1;14258:1;14259:1;48:60,,,,,,,
11201,32,2,9999,0,,1,1,,14260:1;14261:1;14266:1;14267:1;14264:1;14265:1;14262:1;14263:1;14268:1;14269:1;48:100,,,,,,,
11202,32,3,9999,0,,1,1,,14270:1;14271:1;14276:1;14277:1;14274:1;14275:1;14272:1;14273:1;14278:1;14279:1;48:200,,,,,,,
11203,32,4,9999,0,,1,1,,14280:1;14281:1;14286:1;14287:1;14284:1;14285:1;14282:1;14283:1;14288:1;14289:1;48:500,,,,,,,
11204,16,4,9999,0,,,1,,8026,8026,,,,,,
11205,16,4,9999,0,,,1,,8027,8027,,,,,,
11206,16,4,9999,0,,,1,,8028,8028,,,,,,
11207,16,4,9999,0,,,1,,8029,8029,,,,,,
11208,16,4,9999,0,,,1,,8030,8030,,,,,,
11209,16,4,9999,0,,,1,,8018,8018,,,,,,
11210,16,4,9999,0,,,1,,8018,8018,,,,,,
11211,16,4,9999,0,,,1,,8021,8021,,,,,,
11212,16,4,9999,0,,,1,,8022,8022,,,,,,
11213,16,4,9999,0,,,1,,8023,8023,,,,,,
11214,16,4,9999,0,,,1,,8024,8024,,,,,,
11215,16,4,9999,0,,,1,,8025,8025,,,,,,
11216,16,4,9999,0,,,1,,8031,8031,,,,,,
11217,16,4,9999,0,,,1,,8032,8032,,,,,,
11218,16,4,9999,0,,,1,,8033,8033,,,,,,
11219,16,4,9999,0,,,1,,8034,8034,,,,,,
11220,16,4,9999,0,,,1,,8035,8035,,,,,,
11221,16,4,9999,0,,,1,,8036,8036,,,,,,
11222,16,4,9999,0,,,1,,8037,8037,,,,,,
11223,16,4,9999,0,,,1,,8038,8038,,,,,,
11224,16,4,9999,0,,,1,,8039,8039,,,,,,
11225,16,4,9999,0,,,1,,8040,8040,,,,,,
11226,16,4,9999,0,,,1,,8041,8041,,,,,,
11227,16,4,9999,0,,,1,,8042,8042,,,,,,
11228,16,4,9999,0,,,1,,8043,8043,,,,,,
11229,16,4,9999,0,,,1,,8044,8044,,,,,,
11230,16,4,9999,0,,,1,,8045,8045,,,,,,
11231,16,4,9999,0,,,1,,8046,8046,,,,,,
11232,16,4,9999,0,,,1,,8047,8047,,,,,,
11233,16,4,9999,0,,,1,,8048,8048,,,,,,
11234,16,4,9999,0,,,1,,8049,8049,,,,,,
11235,16,4,9999,0,,,1,,8050,8050,,,,,,
11236,16,4,9999,0,,,1,,8051,8051,,,,,,
11237,16,4,9999,0,,,1,,8052,8052,,,,,,
11238,16,4,9999,0,,,1,,8053,8053,,,,,,
11239,16,4,9999,0,,,1,,8054,8054,,,,,,
11240,16,4,9999,0,,,1,,8055,8055,,,,,,
11241,16,4,9999,0,,,1,,8056,8056,,,,,,
11242,16,4,9999,0,,,1,,8057,8057,,,,,,
11243,16,4,9999,0,,,1,,8058,8058,,,,,,
11244,16,4,9999,0,,,1,,8059,8059,,,,,,
11245,16,4,9999,0,,,1,,8060,8060,,,,,,
11246,16,4,9999,0,,,1,,8061,8061,,,,,,
11247,16,4,9999,0,,,1,,8062,8062,,,,,,
11248,16,4,9999,0,,,1,,8063,8063,,,,,,
11249,16,4,9999,0,,,1,,8064,8064,,,,,,
11250,16,4,9999,0,,,1,,8065,8065,,,,,,
11251,16,4,9999,0,,,1,,8066,8066,,,,,,
11252,16,4,9999,0,,,1,,8067,8067,,,,,,
11253,16,4,9999,0,,,1,,8068,8068,,,,,,
11254,16,4,9999,0,,,1,,8069,8069,,,,,,
11255,16,4,9999,0,,,1,,8070,8070,,,,,,
11256,16,4,9999,0,,,1,,8071,8071,,,,,,
11257,16,4,9999,0,,,1,,8072,8072,,,,,,
11258,16,4,9999,0,,,1,,8073,8073,,,,,,
11259,16,4,9999,0,,,1,,8074,8074,,,,,,
11260,16,4,9999,0,,,1,,8075,8075,,,,,,
11261,16,4,9999,0,,,1,,8076,8076,,,,,,
11262,16,4,9999,0,,,1,,8077,8077,,,,,,
11263,16,4,9999,0,,,1,,8078,8078,,,,,,
11264,16,4,9999,0,,,1,,8079,8079,,,,,,
11265,16,4,9999,0,,,1,,8080,8080,,,,,,
11266,16,4,9999,0,,,1,,8081,8081,,,,,,
11267,16,4,9999,0,,,1,,8082,8082,,,,,,
11268,16,4,9999,0,,,1,,8083,8083,,,,,,
11269,16,4,9999,0,,,1,,8084,8084,,,,,,
11270,16,4,9999,0,,,1,,8085,8085,,,,,,
11271,16,4,9999,0,,,1,,8086,8086,,,,,,
11272,16,4,9999,0,,,1,,8087,8087,,,,,,
11273,16,4,9999,0,,,1,,8088,8088,,,,,,
11274,16,4,9999,0,,,1,,8089,8089,,,,,,
11275,16,4,9999,0,,,1,,8090,8090,,,,,,
11276,16,4,9999,0,,,1,,8091,8091,,,,,,
11277,16,4,9999,0,,,1,,8092,8092,,,,,,
11278,16,4,9999,0,,,1,,8093,8093,,,,,,
11279,16,4,9999,0,,,1,,8094,8094,,,,,,
11280,16,4,9999,0,,,1,,8095,8095,,,,,,
11281,16,4,9999,0,,,1,,8096,8096,,,,,,
11282,16,4,9999,0,,,1,,8097,8097,,,,,,
11283,16,4,9999,0,,,1,,8098,8098,,,,,,
11284,16,4,9999,0,,,1,,8099,8099,,,,,,
11285,16,4,9999,0,,,1,,8100,8100,,,,,,
11286,16,4,9999,0,,,1,,8101,8101,,,,,,
11287,16,4,9999,0,,,1,,8102,8102,,,,,,
11288,16,4,9999,0,,,1,,8103,8103,,,,,,
11289,16,4,9999,0,,,1,,8104,8104,,,,,,
11290,16,4,9999,0,,,1,,8105,8105,,,,,,
11291,16,4,9999,0,,,1,,8106,8106,,,,,,
11292,16,4,9999,0,,,1,,8107,8107,,,,,,
11293,16,4,9999,0,,,1,,8108,8108,,,,,,
11294,16,4,9999,0,,,1,,8109,8109,,,,,,
11295,16,4,9999,0,,,1,,8110,8110,,,,,,
11296,16,4,9999,0,,,1,,8111,8111,,,,,,
11297,16,4,9999,0,,,1,,8112,8112,,,,,,
11298,16,4,9999,0,,,1,,8113,8113,,,,,,
11299,16,4,9999,0,,,1,,8114,8114,,,,,,
11300,16,4,9999,0,,,1,,8115,8115,,,,,,
11301,16,4,9999,0,,,1,,8116,8116,,,,,,
11302,16,4,9999,0,,,1,,8117,8117,,,,,,
11303,16,4,9999,0,,,1,,8118,8118,,,,,,
11304,16,4,9999,0,,,1,,8119,8119,,,,,,
11305,16,4,9999,0,,,1,,8120,8120,,,,,,
11306,16,4,9999,0,,,1,,8121,8121,,,,,,
11307,16,4,9999,0,,,1,,8122,8122,,,,,,
11308,16,4,9999,0,,,1,,8123,8123,,,,,,
11309,16,4,9999,0,,,1,,8124,8124,,,,,,
11310,16,4,9999,0,,,1,,8125,8125,,,,,,
11311,16,4,9999,0,,,1,,8126,8126,,,,,,
11312,16,4,9999,0,,,1,,8127,8127,,,,,,
11313,16,4,9999,0,,,1,,8128,8128,,,,,,
11314,16,4,9999,0,,,1,,8129,8129,,,,,,
11315,16,4,9999,0,,,1,,8130,8130,,,,,,
11316,16,4,9999,0,,,1,,8131,8131,,,,,,
11317,16,4,9999,0,,,1,,8132,8132,,,,,,
11318,16,4,9999,0,,,1,,8133,8133,,,,,,
11319,16,4,9999,0,,,1,,8134,8134,,,,,,
11320,16,4,9999,0,,,1,,8135,8135,,,,,,
11321,16,4,9999,0,,,1,,8136,8136,,,,,,
11322,16,4,9999,0,,,1,,8137,8137,,,,,,
11323,16,4,9999,0,,,1,,8138,8138,,,,,,
11324,16,4,9999,0,,,1,,8139,8139,,,,,,
