唯一id,商品标识,名称,解锁条件,金额,奖励1,倒计时,价值,弹出次数,是否弹出,累计充值
325,87,试炼之塔850层特惠礼包,2:850,648,523:3;138:2;19:1000000,43200,300,1,1,3
326,88,试炼之塔900层特惠礼包,2:900,30.0,517:2;522:1;19:100000,43200,400,1,1,1
327,88,试炼之塔900层特惠礼包,2:900,198.0,115:20;116:20;138:1;139:1,43200,500,1,1,2
328,88,试炼之塔900层特惠礼包,2:900,648.0,523:2;522:5;19:800000;2:3000,43200,300,1,1,3
329,89,试炼之塔950层特惠礼包,2:950,98.0,115:15;116:15;138:1;139:1,43200,400,1,1,1
330,89,试炼之塔950层特惠礼包,2:950,328.0,115:30;116:30;138:2;139:2,43200,400,1,1,2
331,89,试炼之塔950层特惠礼包,2:950,648.0,115:50;116:50;138:2;139:2,43200,400,1,1,3
332,90,试炼之塔1000层特惠礼包,2:1000,6.0,531:2;2:60,43200,500,1,1,1
333,90,试炼之塔1000层特惠礼包,2:1000,98.0,513:1;137:2;116:10;2:980,43200,500,1,1,2
334,90,试炼之塔1000层特惠礼包,2:1000,328.0,513:2;137:4;116:50,43200,200,1,1,3
335,91,试炼之塔1050层特惠礼包,2:1050,98,115:15;116:15;138:1;139:1,43200,400,1,1,1
336,91,试炼之塔1050层特惠礼包,2:1050,198,523:1;134:1;19:200000;2:1000,43200,500,1,1,2
337,91,试炼之塔1050层特惠礼包,2:1050,648,523:3;138:2;19:1000000,43200,300,1,1,3
338,92,试炼之塔1100层特惠礼包,2:1100,30.0,517:2;522:1;19:100000,43200,400,1,1,1
339,92,试炼之塔1100层特惠礼包,2:1100,198.0,115:20;116:20;138:1;139:1,43200,500,1,1,2
340,92,试炼之塔1100层特惠礼包,2:1100,648.0,523:2;522:5;19:800000;2:3000,43200,300,1,1,3
341,93,试炼之塔1150层特惠礼包,2:1150,98.0,115:15;116:15;138:1;139:1,43200,400,1,1,1
342,93,试炼之塔1150层特惠礼包,2:1150,328.0,115:30;116:30;138:2;139:2,43200,400,1,1,2
343,93,试炼之塔1150层特惠礼包,2:1150,648.0,115:50;116:50;138:2;139:2,43200,400,1,1,3
344,94,试炼之塔1200层特惠礼包,2:1200,6.0,531:2;2:60,43200,500,1,1,1
345,94,试炼之塔1200层特惠礼包,2:1200,98.0,513:1;137:2;116:10;2:980,43200,500,1,1,2
346,94,试炼之塔1200层特惠礼包,2:1200,328.0,513:2;137:4;116:50,43200,200,1,1,3
347,95,伙伴60级提升礼包,18:60,98.0,100:80;11:100000,43200,510,1,1,1
348,95,伙伴60级提升礼包,18:60,98.0,100:80;11:100000,43200,510,1,1,2
349,95,伙伴60级提升礼包,18:60,198.0,100:150;11:200000;5:200000,43200,510,1,1,3
350,96,伙伴80级提升礼包,18:80,98.0,100:30;5:120000;607:1,43200,450,1,1,1
351,96,伙伴80级提升礼包,18:80,198.0,100:50;5:120000;607:2,43200,450,1,1,2
352,96,伙伴80级提升礼包,18:80,328.0,100:70;5:420000;608:1,43200,450,1,1,3
353,97,伙伴100级提升礼包,18:100,98.0,100:30;5:420000;607:1,43200,500,1,1,1
354,97,伙伴100级提升礼包,18:100,328.0,100:70;5:420000;608:1,43200,500,1,1,2
355,97,伙伴100级提升礼包,18:100,648.0,100:100;5:600000;608:2,43200,500,1,1,3
356,98,伙伴突破+2提升礼包,17:2,98.0,110:25;11:100000,43200,400,1,1,1
357,98,伙伴突破+2提升礼包,17:2,98.0,110:25;11:100000,43200,400,1,1,2
358,98,伙伴突破+2提升礼包,17:2,198.0,110:40;11:500000,43200,400,1,1,3
359,99,伙伴突破+4提升礼包,17:4,98.0,110:25;11:120000,43200,400,1,1,1
360,99,伙伴突破+4提升礼包,17:4,198.0,110:45;11:200000,43200,400,1,1,2
361,99,伙伴突破+4提升礼包,17:4,328.0,110:60;11:600000;2:1000,43200,400,1,1,3
362,100,伙伴突破+5提升礼包,17:5,98.0,110:25;11:140000,43200,400,1,1,1
363,100,伙伴突破+5提升礼包,17:5,328.0,110:25;11:300000;523:1,43200,400,1,1,2
364,100,伙伴突破+5提升礼包,17:5,648.0,110:30;11:700000;523:2;2:3000,43200,400,1,1,3
365,101,超值6元礼包,16:6,6.0,684:3;2:60,43200,600,1,0,1
366,101,超值6元礼包,16:6,6.0,684:3;2:60,43200,600,1,0,2
367,101,超值6元礼包,16:6,6.0,684:3;2:60,43200,600,1,0,3
368,102,超值98元礼包,16:98,98.0,687:1;2:980;531:2;1:500000,43200,400,1,0,1
369,102,超值98元礼包,16:98,98.0,687:1;2:980;531:2;1:500000,43200,400,1,0,2
370,102,超值98元礼包,16:98,98.0,687:1;2:980;531:2;1:500000,43200,400,1,0,3
371,103,宠物超值礼包,15:5992,198.0,523:1;19:200000;1:100000,43200,400,1,1,1
372,103,宠物超值礼包,15:5992,198.0,523:1;19:200000;1:100000,43200,400,1,1,2
373,103,宠物超值礼包,15:5992,198.0,523:1;19:200000;1:100000,43200,400,1,1,3
374,104,卡片超值礼包,14:5982,198.0,12132:1;115:30;1:100000,43200,400,1,1,1
375,104,卡片超值礼包,14:5982,198.0,12132:1;115:30;1:100000,43200,400,1,1,2
376,104,卡片超值礼包,14:5982,198.0,12132:1;115:30;1:100000,43200,400,1,1,3
377,105,技能学习礼包,4:21,6.0,113:1;11:30000,43200,800,1,1,1
378,105,技能学习礼包,4:21,6.0,113:1;11:30000,43200,800,1,1,2
379,105,技能学习礼包,4:21,6.0,113:1;11:30000,43200,800,1,1,3
380,106,技能升级礼包,3:25:150000,30.0,11:150000;531:2;1:100000,43200,600,1,1,1
381,106,技能升级礼包,3:25:300000,98.0,11:300000;531:10;1:300000,43200,400,1,1,2
382,106,技能升级礼包,3:25:300000,98.0,11:300000;531:10;1:300000,43200,400,1,1,3
383,107,金字塔30专属礼包,7:60030,198.0,513:2;138:2;139:2;116:11,43200,400,1,1,1
384,107,金字塔30专属礼包,7:60030,198.0,513:2;138:2;139:2;116:11,43200,400,1,1,2
385,107,金字塔30专属礼包,7:60030,198.0,513:2;138:2;139:2;116:11,43200,400,1,1,3
386,108,斐扬树林30专属礼包,7:70030,198.0,513:2;138:2;139:2;116:11,43200,400,1,1,1
387,108,斐扬树林30专属礼包,7:70030,198.0,513:2;138:2;139:2;116:11,43200,400,1,1,2
388,108,斐扬树林30专属礼包,7:70030,198.0,513:2;138:2;139:2;116:11,43200,400,1,1,3
389,109,斐扬迷宫30专属礼包,7:80030,98.0,12144:1;139:1;116:5;2:100,43200,300,1,1,1
390,109,斐扬迷宫30专属礼包,7:80030,328.0,12144:2;139:1;116:25;2:1000,43200,300,1,1,2
391,109,斐扬迷宫30专属礼包,7:80030,648.0,12144:3;139:2;116:50;2:3000,43200,300,1,1,3
392,110,克雷斯特汉姆30专属礼包,7:90030,6.0,531:2;2:60,43200,500,1,1,1
393,110,克雷斯特汉姆30专属礼包,7:90030,98.0,513:1;137:2;116:10;2:100,43200,500,1,1,2
394,110,克雷斯特汉姆30专属礼包,7:90030,328.0,513:2;137:2;116:20;2:1000,43200,300,1,1,3
395,111,剑石林25专属礼包,7:100025,198.0,513:2;139:1;115:11;2:1000,43200,400,1,1,1
396,111,剑石林25专属礼包,7:100025,198.0,513:2;139:1;115:11;2:1000,43200,400,1,1,2
397,111,剑石林25专属礼包,7:100025,198.0,513:2;139:1;115:11;2:1000,43200,400,1,1,3
398,112,剑石林55专属礼包,7:100055,198.0,513:2;139:1;116:11;2:1000,43200,400,1,1,1
399,112,剑石林55专属礼包,7:100055,198.0,513:2;139:1;116:11;2:1000,43200,400,1,1,2
400,112,剑石林55专属礼包,7:100055,198.0,513:2;139:1;116:11;2:1000,43200,400,1,1,3
401,113,瓦姆高地30专属礼包,7:110030,98.0,12144:1;139:1;116:5;2:100,43200,300,1,1,1
402,113,瓦姆高地30专属礼包,7:110030,328.0,12144:2;139:1;116:25;2:1000,43200,300,1,1,2
403,113,瓦姆高地30专属礼包,7:110030,648.0,12144:3;139:2;116:50;2:3000,43200,300,1,1,3
404,114,瓦姆高地70专属礼包,7:110070,6.0,531:2;2:60,43200,500,1,1,1
405,114,瓦姆高地70专属礼包,7:110070,98.0,513:1;137:2;116:10,43200,500,1,1,2
406,114,瓦姆高地70专属礼包,7:110070,328.0,513:2;137:2;139:1;116:20,43200,300,1,1,3
407,115,普隆德拉南门21专属礼包,7:10021,6.0,5007:1;5:10000;1:10000,43200,4500,1,1,1
408,115,普隆德拉南门21专属礼包,7:10021,6.0,5007:1;5:10000;1:10000,43200,4500,1,1,2
409,115,普隆德拉南门21专属礼包,7:10021,6.0,5007:1;5:10000;1:10000,43200,4500,1,1,3
410,116,迷藏森林26专属礼包,7:20026,98.0,512:10;100:20;5:200000;11:100000,43200,400,1,1,1
411,116,迷藏森林26专属礼包,7:20026,98.0,512:10;100:20;5:200000;11:100000,43200,400,1,1,2
412,116,迷藏森林26专属礼包,7:20026,98.0,512:10;100:20;5:200000;11:100000,43200,400,1,1,3
413,117,兽人村落21专属礼包,7:40021,98.0,12144:1;138:1;115:11,43200,500,1,1,1
414,117,兽人村落21专属礼包,7:40021,98.0,12144:1;138:1;115:11,43200,500,1,1,2
415,117,兽人村落21专属礼包,7:40021,98.0,12144:1;138:1;115:11,43200,500,1,1,3
416,118,试炼之塔10层特惠礼包,2:10,18.0,9007:1;530:10;1:100000,43200,1600,1,1,1
417,118,试炼之塔10层特惠礼包,2:10,18.0,9007:1;530:10;1:100000,43200,1600,1,1,2
418,118,试炼之塔10层特惠礼包,2:10,18.0,9007:1;530:10;1:100000,43200,1600,1,1,3
419,119,二转技能专属礼包①,7:190001,198.0,190:1;191:1;2:1000,43200,500,1,1,1
420,119,二转技能专属礼包①,7:190001,328.0,190:1;191:2;2:2000;139:1,43200,750,1,1,2
421,119,二转技能专属礼包①,7:190001,648.0,190:1;191:2;2:7000;139:2,43200,1500,1,1,3
422,120,二转技能专属礼包②,7:210001,198.0,190:1;191:1;2:1000,43200,500,1,1,1
423,120,二转技能专属礼包②,7:210001,328.0,190:1;191:2;2:2000;139:1,43200,750,1,1,2
424,120,二转技能专属礼包②,7:210001,648.0,190:1;191:2;2:7000;139:2,43200,1500,1,1,3
425,121,二转技能专属礼包③,7:230001,198.0,190:1;191:1;2:1000,43200,500,1,1,1
426,121,二转技能专属礼包③,7:230001,328.0,190:1;191:2;2:2000;139:1,43200,750,1,1,2
427,121,二转技能专属礼包③,7:230001,648.0,190:1;191:2;2:7000;139:2,43200,1500,1,1,3
428,122,试炼之塔325层特惠礼包,2:325,30.0,192:20;522:1;19:100000,43200,500,1,1,1
429,122,试炼之塔325层特惠礼包,2:325,328.0,192:60;523:1;19:400000;1:200000,43200,400,1,1,2
430,122,试炼之塔325层特惠礼包,2:325,648.0,192:120;523:2;19:800000;1:300000,43200,400,1,1,3
431,123,试炼之塔375层特惠礼包,2:375,30.0,192:20;522:1;19:100000,43200,500,1,1,1
432,123,试炼之塔375层特惠礼包,2:375,328.0,192:60;523:1;19:400000;1:200000,43200,400,1,1,2
433,123,试炼之塔375层特惠礼包,2:375,648.0,192:120;523:2;19:800000;1:300000,43200,400,1,1,3
434,124,试炼之塔425层特惠礼包,2:425,30.0,192:20;522:1;19:100000,43200,500,1,1,1
435,124,试炼之塔425层特惠礼包,2:425,328.0,192:60;523:1;19:400000;1:200000,43200,400,1,1,2
436,124,试炼之塔425层特惠礼包,2:425,648.0,193:50;523:2;19:800000;1:400000,43200,400,1,1,3
437,125,试炼之塔475层特惠礼包,2:475,30.0,192:20;522:1;19:100000,43200,500,1,1,1
438,125,试炼之塔475层特惠礼包,2:475,328.0,192:60;523:1;19:400000;1:200000,43200,400,1,1,2
439,125,试炼之塔475层特惠礼包,2:475,648.0,193:50;523:2;19:800000;1:400000,43200,400,1,1,3
440,126,试炼之塔525层特惠礼包,2:525,30.0,192:20;522:1;19:100000,43200,500,1,1,1
441,126,试炼之塔525层特惠礼包,2:525,328.0,193:30;523:1;19:400000;1:300000,43200,400,1,1,2
442,126,试炼之塔525层特惠礼包,2:525,648.0,193:50;523:2;19:800000;1:400000,43200,400,1,1,3
443,127,试炼之塔575层特惠礼包,2:575,30.0,192:20;522:1;19:100000,43200,500,1,1,1
444,127,试炼之塔575层特惠礼包,2:575,328.0,193:30;523:1;19:400000;1:300000,43200,400,1,1,2
445,127,试炼之塔575层特惠礼包,2:575,648.0,193:50;523:2;19:800000;1:400000,43200,400,1,1,3
446,128,试炼之塔625层特惠礼包,2:625,30.0,192:20;522:1;19:100000,43200,500,1,1,1
447,128,试炼之塔625层特惠礼包,2:625,328.0,193:30;523:1;19:400000;1:300000,43200,400,1,1,2
448,128,试炼之塔625层特惠礼包,2:625,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
449,129,试炼之塔675层特惠礼包,2:675,30.0,192:20;522:1;19:100000,43200,500,1,1,1
450,129,试炼之塔675层特惠礼包,2:675,328.0,193:30;523:1;19:400000;1:300000,43200,400,1,1,2
451,129,试炼之塔675层特惠礼包,2:675,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
452,130,试炼之塔725层特惠礼包,2:725,30.0,192:20;522:1;19:100000,43200,500,1,1,1
453,130,试炼之塔725层特惠礼包,2:725,328.0,193:30;523:1;19:400000;1:300000,43200,400,1,1,2
454,130,试炼之塔725层特惠礼包,2:725,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
455,131,试炼之塔775层特惠礼包,2:775,30.0,192:20;522:1;19:100000,43200,500,1,1,1
456,131,试炼之塔775层特惠礼包,2:775,328.0,193:30;523:1;19:400000;1:300000,43200,400,1,1,2
457,131,试炼之塔775层特惠礼包,2:775,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
458,132,试炼之塔825层特惠礼包,2:825,30.0,192:20;522:1;19:100000,43200,500,1,1,1
459,132,试炼之塔825层特惠礼包,2:825,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
460,132,试炼之塔825层特惠礼包,2:825,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
461,133,试炼之塔875层特惠礼包,2:875,30.0,193:20;19:100000,43200,500,1,1,1
462,133,试炼之塔875层特惠礼包,2:875,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
463,133,试炼之塔875层特惠礼包,2:875,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
464,134,试炼之塔925层特惠礼包,2:925,30.0,193:20;19:100000,43200,500,1,1,1
465,134,试炼之塔925层特惠礼包,2:925,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
466,134,试炼之塔925层特惠礼包,2:925,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
467,135,试炼之塔975层特惠礼包,2:975,30.0,193:20;19:100000,43200,500,1,1,1
468,135,试炼之塔975层特惠礼包,2:975,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
469,135,试炼之塔975层特惠礼包,2:975,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
470,136,试炼之塔1025层特惠礼包,2:1025,30.0,193:20;19:100000,43200,500,1,1,1
471,136,试炼之塔1025层特惠礼包,2:1025,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
472,136,试炼之塔1025层特惠礼包,2:1025,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
473,137,试炼之塔1075层特惠礼包,2:1075,30.0,193:20;19:100000,43200,500,1,1,1
474,137,试炼之塔1075层特惠礼包,2:1075,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
475,137,试炼之塔1075层特惠礼包,2:1075,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
476,138,试炼之塔1125层特惠礼包,2:1125,30.0,193:20;19:100000,43200,500,1,1,1
477,138,试炼之塔1125层特惠礼包,2:1125,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
478,138,试炼之塔1125层特惠礼包,2:1125,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
479,139,试炼之塔1175层特惠礼包,2:1175,30.0,193:20;19:100000,43200,500,1,1,1
480,139,试炼之塔1175层特惠礼包,2:1175,328.0,194:10;523:1;19:500000;1:300000,43200,400,1,1,2
481,139,试炼之塔1175层特惠礼包,2:1175,648.0,194:20;523:2;19:800000;1:500000,43200,400,1,1,3
482,140,伙伴突破+6提升礼包,17:6,98.0,110:25;11:160000,43200,400,1,1,1
483,140,伙伴突破+6提升礼包,17:6,328.0,110:27;11:300000;523:1,43200,400,1,1,2
484,140,伙伴突破+6提升礼包,17:6,648.0,110:35;11:800000;523:2;2:3000,43200,400,1,1,3
485,141,伙伴突破+7提升礼包,17:7,98.0,110:25;11:180000,43200,400,1,1,1
486,141,伙伴突破+7提升礼包,17:7,328.0,110:30;11:400000;523:1,43200,400,1,1,2
487,141,伙伴突破+7提升礼包,17:7,648.0,110:40;11:900000;523:2;2:3000,43200,400,1,1,3
488,142,伙伴突破+8提升礼包,17:8,98.0,110:25;11:200000,43200,400,1,1,1
489,142,伙伴突破+8提升礼包,17:8,328.0,110:30;11:400000;523:1,43200,400,1,1,2
490,142,伙伴突破+8提升礼包,17:8,648.0,110:40;11:900000;523:2;2:3000,43200,400,1,1,3
491,143,伙伴110级提升礼包,18:110,98.0,100:30;5:600000;607:1,43200,530,1,1,1
492,143,伙伴110级提升礼包,18:110,328.0,100:70;5:600000;608:1,43200,500,1,1,2
493,143,伙伴110级提升礼包,18:110,648.0,100:100;5:600000;609:1,43200,500,1,1,3
494,144,伙伴120级提升礼包,18:120,98.0,100:30;5:600000;607:1,43200,530,1,1,1
495,144,伙伴120级提升礼包,18:120,328.0,100:70;5:600000;608:1,43200,500,1,1,2
496,144,伙伴120级提升礼包,18:120,648.0,100:100;5:600000;609:1,43200,500,1,1,3
497,145,伙伴130级提升礼包,18:130,98.0,100:30;5:600000;607:1,43200,530,1,1,1
498,145,伙伴130级提升礼包,18:130,328.0,100:70;5:600000;608:1,43200,500,1,1,2
499,145,伙伴130级提升礼包,18:130,648.0,610:1;5:600000;100:100,43200,500,1,1,3
500,146,第1个技能进阶成功,19:1,30.0,47:100000;2:300,43200,450,1,1,1
501,146,第1个技能进阶成功,19:1,198.0,47:1000000;2:500,43200,530,1,1,2
502,146,第1个技能进阶成功,19:1,648.0,47:3000000;2:800,43200,800,1,1,3
503,147,第2个技能进阶成功,19:2,30.0,47:100000;2:300,43200,450,1,1,1
504,147,第2个技能进阶成功,19:2,198.0,47:1000000;2:500,43200,530,1,1,2
505,147,第2个技能进阶成功,19:2,648.0,47:3000000;2:800,43200,800,1,1,3
506,148,第3个技能进阶成功,19:3,30.0,47:100000;2:300,43200,450,1,1,1
507,148,第3个技能进阶成功,19:3,198.0,47:1100000;2:500,43200,580,1,1,2
508,148,第3个技能进阶成功,19:3,648.0,47:3200000;2:800,43200,800,1,1,3
509,149,第4个技能进阶成功,19:4,30.0,47:100000;2:300,43200,450,1,1,1
510,149,第4个技能进阶成功,19:4,198.0,47:1100000;2:500,43200,580,1,1,2
511,149,第4个技能进阶成功,19:4,648.0,47:3200000;2:800,43200,800,1,1,3
512,150,第5个技能进阶成功,19:5,30.0,47:100000;2:300,43200,450,1,1,1
513,150,第5个技能进阶成功,19:5,198.0,47:1200000;2:500,43200,630,1,1,2
514,150,第5个技能进阶成功,19:5,648.0,47:3400000;2:800,43200,800,1,1,3
515,151,第6个技能进阶成功,19:6,30.0,47:100000;2:300,43200,450,1,1,1
516,151,第6个技能进阶成功,19:6,198.0,47:1200000;2:500,43200,630,1,1,2
517,151,第6个技能进阶成功,19:6,648.0,47:3400000;2:800,43200,800,1,1,3
518,152,第7个技能进阶成功,19:7,30.0,47:100000;2:300,43200,450,1,1,1
519,152,第7个技能进阶成功,19:7,198.0,47:1300000;2:500,43200,680,1,1,2
520,152,第7个技能进阶成功,19:7,648.0,47:3600000;2:800,43200,800,1,1,3
521,153,第8个技能进阶成功,19:8,30.0,47:100000;2:300,43200,450,1,1,1
522,153,第8个技能进阶成功,19:8,198.0,47:1300000;2:500,43200,680,1,1,2
523,153,第8个技能进阶成功,19:8,648.0,47:3600000;2:800,43200,800,1,1,3
524,154,第9个技能进阶成功,19:9,30.0,47:100000;2:300,43200,450,1,1,1
525,154,第9个技能进阶成功,19:9,198.0,47:1400000;2:500,43200,730,1,1,2
526,154,第9个技能进阶成功,19:9,648.0,47:3800000;2:800,43200,800,1,1,3
527,155,第10个技能进阶成功,19:10,30.0,47:100000;2:300,43200,450,1,1,1
528,155,第10个技能进阶成功,19:10,198.0,47:1400000;2:500,43200,730,1,1,2
529,155,第10个技能进阶成功,19:10,648.0,47:3800000;2:800,43200,800,1,1,3
530,156,第11个技能进阶成功,19:11,30.0,47:100000;2:300,43200,450,1,1,1
531,156,第11个技能进阶成功,19:11,198.0,47:1500000;2:500,43200,780,1,1,2
532,156,第11个技能进阶成功,19:11,648.0,47:4000000;2:800,43200,800,1,1,3
533,157,第12个技能进阶成功,19:12,30.0,47:100000;2:300,43200,450,1,1,1
534,157,第12个技能进阶成功,19:12,198.0,47:1500000;2:500,43200,780,1,1,2
535,157,第12个技能进阶成功,19:12,648.0,47:4000000;2:800,43200,800,1,1,3
536,158,第13个技能进阶成功,19:13,30.0,47:100000;2:300,43200,450,1,1,1
537,158,第13个技能进阶成功,19:13,198.0,47:1600000;2:500,43200,830,1,1,2
538,158,第13个技能进阶成功,19:13,648.0,47:4200000;2:800,43200,800,1,1,3
539,159,第14个技能进阶成功,19:14,30.0,47:100000;2:300,43200,450,1,1,1
540,159,第14个技能进阶成功,19:14,198.0,47:1600000;2:500,43200,830,1,1,2
541,159,第14个技能进阶成功,19:14,648.0,47:4200000;2:800,43200,800,1,1,3
542,160,第15个技能进阶成功,19:15,30.0,47:100000;2:300,43200,450,1,1,1
543,160,第15个技能进阶成功,19:15,198.0,47:1700000;2:500,43200,880,1,1,2
544,160,第15个技能进阶成功,19:15,648.0,47:4400000;2:800,43200,800,1,1,3
545,161,第16个技能进阶成功,19:16,30.0,47:100000;2:300,43200,450,1,1,1
546,161,第16个技能进阶成功,19:16,198.0,47:1700000;2:500,43200,880,1,1,2
547,161,第16个技能进阶成功,19:16,648.0,47:4400000;2:800,43200,800,1,1,3
548,162,神器超值礼包,20:6060,198,11202:1;48:1000;117:15,43200,450,1,1,1
549,162,神器超值礼包,20:6060,198,11202:1;48:1000;117:15,43200,450,1,1,2
550,162,神器超值礼包,20:6060,198,11202:1;48:1000;117:15,43200,450,1,1,3
551,163,野火之心30专属礼包,7:460030,98,12144:1;139:1;2:1000,43200,380,1,1,1
552,163,野火之心30专属礼包,7:460030,328,15042:2;117:50;2:100,43200,460,1,1,2
553,163,野火之心30专属礼包,7:460030,648,15042:2;117:100;2:2000,43200,500,1,1,3
554,164,野火之心80专属礼包,7:460080,98,12144:1;139:1;2:1000,43200,380,1,1,1
555,164,野火之心80专属礼包,7:460080,328,15046:2;117:50;2:100,43200,460,1,1,2
556,164,野火之心80专属礼包,7:460080,648,15046:2;117:100;2:2000,43200,500,1,1,3
557,165,重生盆地30专属礼包,7:470030,98,12144:1;139:1;2:1000,43200,380,1,1,1
558,165,重生盆地30专属礼包,7:470030,328,15043:2;117:50;2:100,43200,460,1,1,2
559,165,重生盆地30专属礼包,7:470030,648,15043:2;117:100;2:2000,43200,500,1,1,3
560,166,重生盆地80专属礼包,7:470080,98,12144:1;139:1;2:1000,43200,380,1,1,1
561,166,重生盆地80专属礼包,7:470080,328,15045:2;117:50;2:100,43200,460,1,1,2
562,166,重生盆地80专属礼包,7:470080,648,15045:2;117:100;2:2000,43200,500,1,1,3
563,167,神灵王座30专属礼包,7:480030,98,12144:1;139:1;2:1000,43200,380,1,1,1
564,167,神灵王座30专属礼包,7:480030,328,15047:2;117:50;2:100,43200,460,1,1,2
565,167,神灵王座30专属礼包,7:480030,648,15047:2;117:100;2:2000,43200,500,1,1,3
566,168,神灵王座80专属礼包,7:480080,98,12144:1;139:1;2:1000,43200,380,1,1,1
567,168,神灵王座80专属礼包,7:480080,328,15044:2;117:50;2:100,43200,460,1,1,2
568,168,神灵王座80专属礼包,7:480080,648,15044:2;117:100;2:2000,43200,500,1,1,3
569,169,魔晶矿洞30专属礼包,7:490030,98,12144:1;139:1;2:1000,43200,380,1,1,1
570,169,魔晶矿洞30专属礼包,7:490030,328,15042:2;117:50;2:100,43200,460,1,1,2
571,169,魔晶矿洞30专属礼包,7:490030,648,15042:2;117:100;2:2000,43200,500,1,1,3
572,170,魔晶矿洞80专属礼包,7:490080,98,12144:1;139:1;2:1000,43200,380,1,1,1
573,170,魔晶矿洞80专属礼包,7:490080,328,15046:2;117:50;2:100,43200,460,1,1,2
574,170,魔晶矿洞80专属礼包,7:490080,648,15046:2;117:100;2:2000,43200,500,1,1,3
575,171,腐化森林30专属礼包,7:500030,98,12144:1;139:1;2:1000,43200,380,1,1,1
576,171,腐化森林30专属礼包,7:500030,328,15043:2;117:50;2:100,43200,460,1,1,2
577,171,腐化森林30专属礼包,7:500030,648,15043:2;117:100;2:2000,43200,500,1,1,3
578,172,腐化森林80专属礼包,7:500080,98,12144:1;139:1;2:1000,43200,380,1,1,1
579,172,腐化森林80专属礼包,7:500080,328,15045:2;117:50;2:100,43200,460,1,1,2
580,172,腐化森林80专属礼包,7:500080,648,15045:2;117:100;2:2000,43200,500,1,1,3
581,173,堕天之痕30专属礼包,7:510030,98,12144:1;139:1;2:1000,43200,380,1,1,1
582,173,堕天之痕30专属礼包,7:510030,328,15047:2;117:50;2:100,43200,460,1,1,2
583,173,堕天之痕30专属礼包,7:510030,648,15047:2;117:100;2:2000,43200,500,1,1,3
584,174,堕天之痕80专属礼包,7:510080,98,12144:1;139:1;2:1000,43200,380,1,1,1
585,174,堕天之痕80专属礼包,7:510080,328,15044:2;117:50;2:100,43200,460,1,1,2
586,174,堕天之痕80专属礼包,7:510080,648,15044:2;117:100;2:2000,43200,500,1,1,3
587,175,梦语平原30专属礼包,7:520030,98,12144:1;139:1;2:1000,43200,380,1,1,1
588,175,梦语平原30专属礼包,7:520030,328,15042:2;117:50;2:100,43200,460,1,1,2
589,175,梦语平原30专属礼包,7:520030,648,15042:2;117:100;2:2000,43200,500,1,1,3
590,176,梦语平原80专属礼包,7:520080,98,12144:1;139:1;2:1000,43200,380,1,1,1
591,176,梦语平原80专属礼包,7:520080,328,15046:2;117:50;2:100,43200,460,1,1,2
592,176,梦语平原80专属礼包,7:520080,648,15046:2;117:100;2:2000,43200,500,1,1,3
593,177,加姆高地30专属礼包,7:530030,98,12144:1;139:1;2:1000,43200,380,1,1,1
594,177,加姆高地30专属礼包,7:530030,328,15043:2;117:50;2:100,43200,460,1,1,2
595,177,加姆高地30专属礼包,7:530030,648,15043:2;117:100;2:2000,43200,500,1,1,3
596,178,加姆高地80专属礼包,7:530080,98,12144:1;139:1;2:1000,43200,380,1,1,1
597,178,加姆高地80专属礼包,7:530080,328,15045:2;117:50;2:100,43200,460,1,1,2
598,178,加姆高地80专属礼包,7:530080,648,15045:2;117:100;2:2000,43200,500,1,1,3
599,179,暮光之堤30专属礼包,7:540030,98,12144:1;139:1;2:1000,43200,380,1,1,1
600,179,暮光之堤30专属礼包,7:540030,328,15047:2;117:50;2:100,43200,460,1,1,2
601,179,暮光之堤30专属礼包,7:540030,648,15047:2;117:100;2:2000,43200,500,1,1,3
602,180,暮光之堤80专属礼包,7:540080,98,12144:1;139:1;2:1000,43200,380,1,1,1
603,180,暮光之堤80专属礼包,7:540080,328,15044:2;117:50;2:100,43200,460,1,1,2
604,180,暮光之堤80专属礼包,7:540080,648,15044:2;117:100;2:2000,43200,500,1,1,3
605,181,试炼之塔1225层特惠礼包,2:1225,98.0,841:1;141:1,43200,840,1,1,1
