唯一id,怪物id,角色等级,怪物职业,职业类型,生命,蓝量,技能id,属性id,被动技能,英语唯一名
54060,2340,1,1,2,1568786.0,100000.0,90121:1;90122:1,3,,Orclord
54061,2341,1,1,2,1568786.0,100000.0,90121:1;90122:1,3,,Orclord
54062,2342,1,1,2,1568786.0,100000.0,90121:1;90122:1,3,,Orclord
54063,2343,1,1,2,1568786.0,100000.0,90121:1;90122:1,3,,Orclord
54064,2344,1,1,2,1568786.0,100000.0,90121:1;90122:1,3,,Orclord
54065,2345,1,1,2,1568786.0,100000.0,90125:1;90126:1,3,,Koboldleader
54066,2346,1,1,2,1568786.0,100000.0,90125:1;90126:1,3,,Koboldleader
54067,2347,1,1,2,1568786.0,100000.0,90125:1;90126:1,3,,Koboldleader
54068,2348,1,1,2,1568786.0,100000.0,90125:1;90126:1,3,,Koboldleader
54069,2349,1,1,2,1568786.0,100000.0,90125:1;90126:1,3,,Koboldleader
54070,2350,1,1,2,1568786.0,100000.0,90130:1;90131:1,4,,Goblinleader
54071,2351,1,1,2,1568786.0,100000.0,90130:1;90131:1,4,,Goblinleader
54072,2352,1,1,2,1568786.0,100000.0,90130:1;90131:1,4,,Goblinleader
54073,2353,1,1,2,1568786.0,100000.0,90130:1;90131:1,4,,Goblinleader
54074,2354,1,1,2,1568786.0,100000.0,90130:1;90131:1,4,,Goblinleader
54075,2355,1,1,2,1568786.0,100000.0,90138:1;90139:1,5,,Phreeoni
54076,2356,1,1,2,1568786.0,100000.0,90138:1;90139:1,5,,Phreeoni
54077,2357,1,1,2,1568786.0,100000.0,90138:1;90139:1,5,,Phreeoni
54078,2358,1,1,2,1568786.0,100000.0,90138:1;90139:1,5,,Phreeoni
54079,2359,1,1,2,1568786.0,100000.0,90138:1;90139:1,5,,Phreeoni
54080,2360,1,2,2,1568786.0,100000.0,90141:1;90142:1,6,,Pecopeco
54081,2361,1,2,2,1568786.0,100000.0,90141:1;90142:1,6,,Pecopeco
54082,2362,1,2,2,1568786.0,100000.0,90141:1;90142:1,6,,Pecopeco
54083,2363,1,2,2,1568786.0,100000.0,90141:1;90142:1,6,,Pecopeco
54084,2364,1,2,2,1568786.0,100000.0,90141:1;90142:1,6,,Pecopeco
54085,2365,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54086,2366,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54087,2367,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54088,2368,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54089,2369,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54090,2370,1,1,2,1568786.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
54091,2371,1,1,2,1568786.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
54092,2372,1,1,2,1568786.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
54093,2373,1,1,2,1568786.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
54094,2374,1,1,2,1568786.0,100000.0,90174:1;90175:1,3,,Greatestgeneral
54095,2375,1,1,2,1568786.0,100000.0,90178:1;90179:1,3,,Dokebi
54096,2376,1,1,2,1568786.0,100000.0,90178:1;90179:1,3,,Dokebi
54097,2377,1,1,2,1568786.0,100000.0,90178:1;90179:1,3,,Dokebi
54098,2378,1,1,2,1568786.0,100000.0,90178:1;90179:1,3,,Dokebi
54099,2379,1,1,2,1568786.0,100000.0,90178:1;90179:1,3,,Dokebi
54100,2380,1,1,2,1568786.0,100000.0,90185:1;90186:1,2,,Hyegun
54101,2381,1,1,2,1568786.0,100000.0,90185:1;90186:1,2,,Hyegun
54102,2382,1,1,2,1568786.0,100000.0,90185:1;90186:1,2,,Hyegun
54103,2383,1,1,2,1568786.0,100000.0,90185:1;90186:1,2,,Hyegun
54104,2384,1,1,2,1568786.0,100000.0,90185:1;90186:1,2,,Hyegun
54105,2385,1,2,2,1568786.0,100000.0,90189:1;90190:1,5,,NineTail
54106,2386,1,2,2,1568786.0,100000.0,90189:1;90190:1,5,,NineTail
54107,2387,1,2,2,1568786.0,100000.0,90189:1;90190:1,5,,NineTail
54108,2388,1,2,2,1568786.0,100000.0,90189:1;90190:1,5,,NineTail
54109,2389,1,2,2,1568786.0,100000.0,90189:1;90190:1,5,,NineTail
54110,2390,1,4,2,1568786.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
54111,2391,1,4,2,1568786.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
54112,2392,1,4,2,1568786.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
54113,2393,1,4,2,1568786.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
54114,2394,1,4,2,1568786.0,100000.0,90192:1;90193:1,5,,OwlbaronBlue
54115,2395,1,1,2,1568786.0,100000.0,90195:1;90196:1,6,,Moonlight
54116,2396,1,1,2,1568786.0,100000.0,90195:1;90196:1,6,,Moonlight
54117,2397,1,1,2,1568786.0,100000.0,90195:1;90196:1,6,,Moonlight
54118,2398,1,1,2,1568786.0,100000.0,90195:1;90196:1,6,,Moonlight
54119,2399,1,1,2,1568786.0,100000.0,90195:1;90196:1,6,,Moonlight
54120,2400,1,1,2,1568786.0,100000.0,90117:1;90118:1,8,,Doppelganger
54121,2401,1,1,2,1568786.0,100000.0,90117:1;90118:1,8,,Doppelganger
54122,2402,1,1,2,1568786.0,100000.0,90117:1;90118:1,8,,Doppelganger
54123,2403,1,1,2,1568786.0,100000.0,90117:1;90118:1,8,,Doppelganger
54124,2404,1,1,2,1568786.0,100000.0,90117:1;90118:1,8,,Doppelganger
54125,2405,1,4,2,1568786.0,100000.0,90216:1;90217:1,4,,Mysteltainn
54126,2406,1,4,2,1568786.0,100000.0,90216:1;90217:1,4,,Mysteltainn
54127,2407,1,4,2,1568786.0,100000.0,90216:1;90217:1,4,,Mysteltainn
54128,2408,1,4,2,1568786.0,100000.0,90216:1;90217:1,4,,Mysteltainn
54129,2409,1,4,2,1568786.0,100000.0,90216:1;90217:1,4,,Mysteltainn
54130,2410,1,1,2,1568786.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
54131,2411,1,1,2,1568786.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
54132,2412,1,1,2,1568786.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
54133,2413,1,1,2,1568786.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
54134,2414,1,1,2,1568786.0,100000.0,90199:1;90200:1;90201:1,7,,Knight_of_abyss
54135,2415,1,1,2,1568786.0,100000.0,90134:1;90135:1,2,,Orchero
54136,2416,1,1,2,1568786.0,100000.0,90134:1;90135:1,2,,Orchero
54137,2417,1,1,2,1568786.0,100000.0,90134:1;90135:1,2,,Orchero
54138,2418,1,1,2,1568786.0,100000.0,90134:1;90135:1,2,,Orchero
54139,2419,1,1,2,1568786.0,100000.0,90134:1;90135:1,2,,Orchero
54140,2420,1,1,2,1568786.0,100000.0,90156:1;90157:1,3,,Minorous
54141,2421,1,1,2,1568786.0,100000.0,90156:1;90157:1,3,,Minorous
54142,2422,1,1,2,1568786.0,100000.0,90156:1;90157:1,3,,Minorous
54143,2423,1,1,2,1568786.0,100000.0,90156:1;90157:1,3,,Minorous
54144,2424,1,1,2,1568786.0,100000.0,90156:1;90157:1,3,,Minorous
54145,2425,1,4,2,1568786.0,100000.0,90160:1;90161:1,7,,Pharaoh
54146,2426,1,4,2,1568786.0,100000.0,90160:1;90161:1,7,,Pharaoh
54147,2427,1,4,2,1568786.0,100000.0,90160:1;90161:1,7,,Pharaoh
54148,2428,1,4,2,1568786.0,100000.0,90160:1;90161:1,7,,Pharaoh
54149,2429,1,4,2,1568786.0,100000.0,90160:1;90161:1,7,,Pharaoh
54150,2430,1,3,2,1568786.0,100000.0,90213:1;90214:1,7,,Amonra
54151,2431,1,3,2,1568786.0,100000.0,90213:1;90214:1,7,,Amonra
54152,2432,1,3,2,1568786.0,100000.0,90213:1;90214:1,7,,Amonra
54153,2433,1,3,2,1568786.0,100000.0,90213:1;90214:1,7,,Amonra
54154,2434,1,3,2,1568786.0,100000.0,90213:1;90214:1,7,,Amonra
54155,2435,1,1,2,1568786.0,100000.0,90163:1;90164:1,7,,Osiris
54156,2436,1,1,2,1568786.0,100000.0,90163:1;90164:1,7,,Osiris
54157,2437,1,1,2,1568786.0,100000.0,90163:1;90164:1,7,,Osiris
54158,2438,1,1,2,1568786.0,100000.0,90163:1;90164:1,7,,Osiris
54159,2439,1,1,2,1568786.0,100000.0,90163:1;90164:1,7,,Osiris
54160,2440,1,1,2,1568786.0,100000.0,90149:1;90150:1,7,,Maya
54161,2441,1,1,2,1568786.0,100000.0,90149:1;90150:1,7,,Maya
54162,2442,1,1,2,1568786.0,100000.0,90149:1;90150:1,7,,Maya
54163,2443,1,1,2,1568786.0,100000.0,90149:1;90150:1,7,,Maya
54164,2444,1,1,2,1568786.0,100000.0,90149:1;90150:1,7,,Maya
54165,2445,1,1,2,1568786.0,100000.0,90182:1;90183:1,3,,Eddga
54166,2446,1,1,2,1568786.0,100000.0,90182:1;90183:1,3,,Eddga
54167,2447,1,1,2,1568786.0,100000.0,90182:1;90183:1,3,,Eddga
54168,2448,1,1,2,1568786.0,100000.0,90182:1;90183:1,3,,Eddga
54169,2449,1,1,2,1568786.0,100000.0,90182:1;90183:1,3,,Eddga
54170,2450,1,1,2,1568786.0,100000.0,90219:1;90220:1,7,,Darklord
54171,2451,1,1,2,1568786.0,100000.0,90219:1;90220:1,7,,Darklord
54172,2452,1,1,2,1568786.0,100000.0,90219:1;90220:1,7,,Darklord
54173,2453,1,1,2,1568786.0,100000.0,90219:1;90220:1,7,,Darklord
54174,2454,1,1,2,1568786.0,100000.0,90219:1;90220:1,7,,Darklord
54175,2455,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54176,2456,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54177,2457,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54178,2458,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54179,2459,1,1,2,1568786.0,100000.0,90145:1;90146:1,3,,Golem
54180,2460,1,1,2,1568786.0,100000.0,90134:1;90135:1,4,,OrcheroRed
54181,2461,1,1,2,1568786.0,100000.0,90134:1;90135:1,4,,OrcheroRed
54182,2462,1,1,2,1568786.0,100000.0,90134:1;90135:1,4,,OrcheroRed
54183,2463,1,1,2,1568786.0,100000.0,90134:1;90135:1,4,,OrcheroRed
54184,2464,1,1,2,1568786.0,100000.0,90134:1;90135:1,4,,OrcheroRed
54185,2465,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54186,2466,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54187,2467,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54188,2468,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54189,2469,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54190,2470,1,1,2,1568786.0,100000.0,90399:1;90398:1,7,,Wanderman
54191,2471,1,1,2,1568786.0,100000.0,90399:1;90398:1,7,,Wanderman
54192,2472,1,1,2,1568786.0,100000.0,90399:1;90398:1,7,,Wanderman
54193,2473,1,1,2,1568786.0,100000.0,90399:1;90398:1,7,,Wanderman
54194,2474,1,1,2,1568786.0,100000.0,90399:1;90398:1,7,,Wanderman
54195,2475,1,1,2,1568786.0,100000.0,90458:1;90459:1,4,,Naghtsieger
54196,2476,1,1,2,1568786.0,100000.0,90458:1;90459:1,4,,Naghtsieger
54197,2477,1,1,2,1568786.0,100000.0,90458:1;90459:1,4,,Naghtsieger
54198,2478,1,1,2,1568786.0,100000.0,90458:1;90459:1,4,,Naghtsieger
54199,2479,1,1,2,1568786.0,100000.0,90458:1;90459:1,4,,Naghtsieger
54200,2480,1,1,2,1568786.0,100000.0,90437:1;90438:1,5,,PterosaurZI
54201,2481,1,1,2,1568786.0,100000.0,90437:1;90438:1,5,,PterosaurZI
54202,2482,1,1,2,1568786.0,100000.0,90437:1;90438:1,5,,PterosaurZI
54203,2483,1,1,2,1568786.0,100000.0,90437:1;90438:1,5,,PterosaurZI
54204,2484,1,1,2,1568786.0,100000.0,90437:1;90438:1,5,,PterosaurZI
54205,2485,1,1,2,1568786.0,100000.0,90431:1;90432:1,5,,Petit
54206,2486,1,1,2,1568786.0,100000.0,90431:1;90432:1,5,,Petit
54207,2487,1,1,2,1568786.0,100000.0,90431:1;90432:1,5,,Petit
54208,2488,1,1,2,1568786.0,100000.0,90431:1;90432:1,5,,Petit
54209,2489,1,1,2,1568786.0,100000.0,90431:1;90432:1,5,,Petit
54210,2490,1,1,2,1568786.0,100000.0,90170:1;90171:1,4,,BearORG
54211,2491,1,1,2,1568786.0,100000.0,90170:1;90171:1,4,,BearORG
54212,2492,1,1,2,1568786.0,100000.0,90170:1;90171:1,4,,BearORG
54213,2493,1,1,2,1568786.0,100000.0,90170:1;90171:1,4,,BearORG
54214,2494,1,1,2,1568786.0,100000.0,90170:1;90171:1,4,,BearORG
54215,2495,1,1,2,1568786.0,100000.0,90455:1;90456:1,4,,Detale
54216,2496,1,1,2,1568786.0,100000.0,90455:1;90456:1,4,,Detale
54217,2497,1,1,2,1568786.0,100000.0,90455:1;90456:1,4,,Detale
54218,2498,1,1,2,1568786.0,100000.0,90455:1;90456:1,4,,Detale
54219,2499,1,1,2,1568786.0,100000.0,90455:1;90456:1,4,,Detale
54220,2500,1,1,2,1568786.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
54221,2501,1,1,2,1568786.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
54222,2502,1,1,2,1568786.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
54223,2503,1,1,2,1568786.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
54224,2504,1,1,2,1568786.0,100000.0,90107:1;90108:1,4,,VagabondwolfST
54225,2505,1,1,2,1568786.0,100000.0,90401:1;90402:1,8,,Nightmare
54226,2506,1,1,2,1568786.0,100000.0,90401:1;90402:1,8,,Nightmare
54227,2507,1,1,2,1568786.0,100000.0,90401:1;90402:1,8,,Nightmare
54228,2508,1,1,2,1568786.0,100000.0,90401:1;90402:1,8,,Nightmare
54229,2509,1,1,2,1568786.0,100000.0,90401:1;90402:1,8,,Nightmare
54230,2510,1,1,2,1568786.0,100000.0,90407:1;90408:1,3,,SavageST
54231,2511,1,1,2,1568786.0,100000.0,90407:1;90408:1,3,,SavageST
54232,2512,1,1,2,1568786.0,100000.0,90407:1;90408:1,3,,SavageST
54233,2513,1,1,2,1568786.0,100000.0,90407:1;90408:1,3,,SavageST
54234,2514,1,1,2,1568786.0,100000.0,90407:1;90408:1,3,,SavageST
54235,2515,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54236,2516,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54237,2517,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54238,2518,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54239,2519,1,1,2,1568786.0,100000.0,90449:1;90450:1,4,,Rockgiants
54240,2520,1,1,2,1568786.0,100000.0,90452:1;90453:1,4,,RockST
54241,2521,1,1,2,1568786.0,100000.0,90452:1;90453:1,4,,RockST
54242,2522,1,1,2,1568786.0,100000.0,90452:1;90453:1,4,,RockST
54243,2523,1,1,2,1568786.0,100000.0,90452:1;90453:1,4,,RockST
54244,2524,1,1,2,1568786.0,100000.0,90452:1;90453:1,4,,RockST
54245,2525,1,1,2,1568786.0,100000.0,90428:1;90429:1,4,,Jakk
54246,2526,1,1,2,1568786.0,100000.0,90428:1;90429:1,4,,Jakk
54247,2527,1,1,2,1568786.0,100000.0,90428:1;90429:1,4,,Jakk
54248,2528,1,1,2,1568786.0,100000.0,90428:1;90429:1,4,,Jakk
54249,2529,1,1,2,1568786.0,100000.0,90428:1;90429:1,4,,Jakk
54250,2530,1,1,2,1568786.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
54251,2531,1,1,2,1568786.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
54252,2532,1,1,2,1568786.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
54253,2533,1,1,2,1568786.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
54254,2534,1,1,2,1568786.0,100000.0,90422:1;90423:1,7,,OrcSkeleton
54255,2535,1,1,2,1568786.0,100000.0,90464:1;90465:1,4,,Pyuriel
54256,2536,1,1,2,1568786.0,100000.0,90464:1;90465:1,4,,Pyuriel
54257,2537,1,1,2,1568786.0,100000.0,90464:1;90465:1,4,,Pyuriel
54258,2538,1,1,2,1568786.0,100000.0,90464:1;90465:1,4,,Pyuriel
54259,2539,1,1,2,1568786.0,100000.0,90464:1;90465:1,4,,Pyuriel
54260,2540,1,1,2,1568786.0,100000.0,90413:1;90414:1,3,,Magiccard
54261,2541,1,1,2,1568786.0,100000.0,90413:1;90414:1,3,,Magiccard
54262,2542,1,1,2,1568786.0,100000.0,90413:1;90414:1,3,,Magiccard
54263,2543,1,1,2,1568786.0,100000.0,90413:1;90414:1,3,,Magiccard
54264,2544,1,1,2,1568786.0,100000.0,90413:1;90414:1,3,,Magiccard
54265,2545,1,1,2,1568786.0,100000.0,90404:1;90405:1,8,,NightmareST
54266,2546,1,1,2,1568786.0,100000.0,90404:1;90405:1,8,,NightmareST
54267,2547,1,1,2,1568786.0,100000.0,90404:1;90405:1,8,,NightmareST
54268,2548,1,1,2,1568786.0,100000.0,90404:1;90405:1,8,,NightmareST
54269,2549,1,1,2,1568786.0,100000.0,90404:1;90405:1,8,,NightmareST
54270,2550,1,1,2,1568786.0,100000.0,90461:1;90462:1,4,,Lora
54271,2551,1,1,2,1568786.0,100000.0,90461:1;90462:1,4,,Lora
54272,2552,1,1,2,1568786.0,100000.0,90461:1;90462:1,4,,Lora
54273,2553,1,1,2,1568786.0,100000.0,90461:1;90462:1,4,,Lora
54274,2554,1,1,2,1568786.0,100000.0,90461:1;90462:1,4,,Lora
54275,2555,1,1,2,1568786.0,100000.0,90443:1;90444:1,3,,Stapo
54276,2556,1,1,2,1568786.0,100000.0,90443:1;90444:1,3,,Stapo
54277,2557,1,1,2,1568786.0,100000.0,90443:1;90444:1,3,,Stapo
54278,2558,1,1,2,1568786.0,100000.0,90443:1;90444:1,3,,Stapo
54279,2559,1,1,2,1568786.0,100000.0,90443:1;90444:1,3,,Stapo
54280,2560,1,1,2,1568786.0,100000.0,90416:1;90417:1,3,,Giearth
54281,2561,1,1,2,1568786.0,100000.0,90416:1;90417:1,3,,Giearth
54282,2562,1,1,2,1568786.0,100000.0,90416:1;90417:1,3,,Giearth
54283,2563,1,1,2,1568786.0,100000.0,90416:1;90417:1,3,,Giearth
54284,2564,1,1,2,1568786.0,100000.0,90416:1;90417:1,3,,Giearth
54285,2565,1,1,2,1568786.0,100000.0,90410:1;90411:1,3,,SavageGold
54286,2566,1,1,2,1568786.0,100000.0,90410:1;90411:1,3,,SavageGold
54287,2567,1,1,2,1568786.0,100000.0,90410:1;90411:1,3,,SavageGold
54288,2568,1,1,2,1568786.0,100000.0,90410:1;90411:1,3,,SavageGold
54289,2569,1,1,2,1568786.0,100000.0,90410:1;90411:1,3,,SavageGold
54290,2570,1,1,2,1568786.0,100000.0,90425:1;90426:1,7,,Skleworker
54291,2571,1,1,2,1568786.0,100000.0,90425:1;90426:1,7,,Skleworker
54292,2572,1,1,2,1568786.0,100000.0,90425:1;90426:1,7,,Skleworker
54293,2573,1,1,2,1568786.0,100000.0,90425:1;90426:1,7,,Skleworker
54294,2574,1,1,2,1568786.0,100000.0,90425:1;90426:1,7,,Skleworker
54295,2575,1,1,2,1568786.0,100000.0,90207:1;90208:1,7,,Goldenbug
54296,2576,1,1,2,1568786.0,100000.0,90207:1;90208:1,7,,Goldenbug
54297,2577,1,1,2,1568786.0,100000.0,90207:1;90208:1,7,,Goldenbug
54298,2578,1,1,2,1568786.0,100000.0,90207:1;90208:1,7,,Goldenbug
54299,2579,1,1,2,1568786.0,100000.0,90207:1;90208:1,7,,Goldenbug
54300,2580,1,1,2,1568786.0,100000.0,90419:1;90420:1,4,,Sandman
54301,2581,1,1,2,1568786.0,100000.0,90419:1;90420:1,4,,Sandman
54302,2582,1,1,2,1568786.0,100000.0,90419:1;90420:1,4,,Sandman
54303,2583,1,1,2,1568786.0,100000.0,90419:1;90420:1,4,,Sandman
54304,2584,1,1,2,1568786.0,100000.0,90419:1;90420:1,4,,Sandman
54305,2585,1,1,2,1568786.0,100000.0,90467:1;90468:1,4,,Ifrit
54306,2586,1,1,2,1568786.0,100000.0,90467:1;90468:1,4,,Ifrit
54307,2587,1,1,2,1568786.0,100000.0,90467:1;90468:1,4,,Ifrit
54308,2588,1,1,2,1568786.0,100000.0,90467:1;90468:1,4,,Ifrit
54309,2589,1,1,2,1568786.0,100000.0,90467:1;90468:1,4,,Ifrit
54310,2590,1,1,2,1568786.0,100000.0,90446:1;90447:1,3,,Wildrose
54311,2591,1,1,2,1568786.0,100000.0,90446:1;90447:1,3,,Wildrose
54312,2592,1,1,2,1568786.0,100000.0,90446:1;90447:1,3,,Wildrose
54313,2593,1,1,2,1568786.0,100000.0,90446:1;90447:1,3,,Wildrose
54314,2594,1,1,2,1568786.0,100000.0,90446:1;90447:1,3,,Wildrose
54315,2595,1,1,2,1568786.0,100000.0,90470:1;90471:1,4,,Muspellskoll
54316,2596,1,1,2,1568786.0,100000.0,90470:1;90471:1,4,,Muspellskoll
54317,2597,1,1,2,1568786.0,100000.0,90470:1;90471:1,4,,Muspellskoll
54318,2598,1,1,2,1568786.0,100000.0,90470:1;90471:1,4,,Muspellskoll
54319,2599,1,1,2,1568786.0,100000.0,90470:1;90471:1,4,,Muspellskoll
55000,2600,1,1,2,3094983.0,100000.0,90019:1,2,,Madkingrabbit
55001,2601,1,1,2,3094983.0,100000.0,90020:1;90019:1,2,,Madkingrabbit
55002,2602,1,1,2,3094983.0,100000.0,90017:1;90022:1;90020:1,2,,Madkingrabbit
55003,2603,1,1,2,3094983.0,100000.0,90021:1;90019:1;90017:1;90020:1,2,,Madkingrabbit
55004,2604,1,1,2,3094983.0,100000.0,90020:1;90019:1;90021:1;90017:1,2,,Madkingrabbit
55005,2605,1,1,2,3094983.0,100000.0,90023:1;90027:1,5,,metaller
55006,2606,1,1,2,3094983.0,100000.0,90027:1;90023:1,5,,metaller
55007,2607,1,1,2,3094983.0,100000.0,90023:1;90025:1;90027:1,5,,metaller
55008,2608,1,1,2,3094983.0,100000.0,90028:1;90023:1;90027:1;90025:1,5,,metaller
55009,2609,1,1,2,3094983.0,100000.0,90023:1;90027:1;90024:1;90028:1,5,,metaller
55010,2610,1,4,2,3094983.0,100000.0,90040:1;90041:1,6,,Mistress
55011,2611,1,4,2,3094983.0,100000.0,90043:1;90040:1;90041:1,6,,Mistress
55012,2612,1,4,2,3094983.0,100000.0,90040:1;90043:1;90044:1;90046:1,6,,Mistress
55013,2613,1,4,2,3094983.0,100000.0,90041:1;90043:1;90042:1;90040:1,6,,Mistress
55014,2614,1,4,2,3094983.0,100000.0,90043:1;90040:1;90041:1;90042:1,6,,Mistress
55015,2615,1,1,2,3094983.0,100000.0,90030:1;90031:1,4,,Polly
55016,2616,1,1,2,3094983.0,100000.0,90032:1;90035:1;90031:1,4,,Polly
55017,2617,1,1,2,3094983.0,100000.0,90036:1;90032:1;90031:1;90035:1,4,,Polly
55018,2618,1,1,2,3094983.0,100000.0,90030:1;90031:1;90035:1;90032:1,4,,Polly
55019,2619,1,1,2,3094983.0,100000.0,90032:1;90031:1;90035:1;90036:1,4,,Polly
55020,2620,1,2,2,3094983.0,100000.0,90110:1;90111:1,8,,Ghostring
55021,2621,1,2,2,3094983.0,100000.0,90110:1;90111:1,8,,Ghostring
55022,2622,1,2,2,3094983.0,100000.0,90110:1;90111:1,8,,Ghostring
55023,2623,1,2,2,3094983.0,100000.0,90110:1;90111:1,8,,Ghostring
55024,2624,1,2,2,3094983.0,100000.0,90110:1;90111:1,8,,Ghostring
55025,2625,1,1,2,3094983.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
55026,2626,1,1,2,3094983.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
55027,2627,1,1,2,3094983.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
55028,2628,1,1,2,3094983.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
55029,2629,1,1,2,3094983.0,100000.0,90107:1;90108:1,5,,Vagabondwolf
55030,2630,1,1,2,3094983.0,100000.0,90170:1;90171:1,3,,BearST
55031,2631,1,1,2,3094983.0,100000.0,90170:1;90171:1,3,,BearST
55032,2632,1,1,2,3094983.0,100000.0,90170:1;90171:1,3,,BearST
55033,2633,1,1,2,3094983.0,100000.0,90170:1;90171:1,3,,BearST
55034,2634,1,1,2,3094983.0,100000.0,90170:1;90171:1,3,,BearST
55035,2635,1,1,2,3094983.0,100000.0,90166:1;90167:1,2,,Argiope
55036,2636,1,1,2,3094983.0,100000.0,90166:1;90167:1,2,,Argiope
55037,2637,1,1,2,3094983.0,100000.0,90166:1;90167:1,2,,Argiope
55038,2638,1,1,2,3094983.0,100000.0,90166:1;90167:1,2,,Argiope
55039,2639,1,1,2,3094983.0,100000.0,90166:1;90167:1,2,,Argiope
55040,2640,1,1,2,3094983.0,100000.0,90203:1;90204:1,4,,Tirfing
55041,2641,1,1,2,3094983.0,100000.0,90203:1;90204:1,4,,Tirfing
55042,2642,1,1,2,3094983.0,100000.0,90203:1;90204:1,4,,Tirfing
55043,2643,1,1,2,3094983.0,100000.0,90203:1;90204:1,4,,Tirfing
55044,2644,1,1,2,3094983.0,100000.0,90203:1;90204:1,4,,Tirfing
55045,2645,1,1,2,3094983.0,100000.0,90210:1;90211:1,7,,Priest
55046,2646,1,1,2,3094983.0,100000.0,90210:1;90211:1,7,,Priest
55047,2647,1,1,2,3094983.0,100000.0,90210:1;90211:1,7,,Priest
55048,2648,1,1,2,3094983.0,100000.0,90210:1;90211:1,7,,Priest
55049,2649,1,1,2,3094983.0,100000.0,90210:1;90211:1,7,,Priest
55050,2650,1,2,2,3094983.0,100000.0,90152:1;90153:1,7,,Ancientmummy
55051,2651,1,2,2,3094983.0,100000.0,90152:1;90153:1,7,,Ancientmummy
55052,2652,1,2,2,3094983.0,100000.0,90152:1;90153:1,7,,Ancientmummy
55053,2653,1,2,2,3094983.0,100000.0,90152:1;90153:1,7,,Ancientmummy
55054,2654,1,2,2,3094983.0,100000.0,90152:1;90153:1,7,,Ancientmummy
55055,2655,1,1,2,3094983.0,100000.0,90113:1;90114:1,7,,Dracula
55056,2656,1,1,2,3094983.0,100000.0,90113:1;90114:1,7,,Dracula
55057,2657,1,1,2,3094983.0,100000.0,90113:1;90114:1,7,,Dracula
55058,2658,1,1,2,3094983.0,100000.0,90113:1;90114:1,7,,Dracula
55059,2659,1,1,2,3094983.0,100000.0,90113:1;90114:1,7,,Dracula
55060,2660,1,1,2,3094983.0,100000.0,90121:1;90122:1,3,,Orclord
55061,2661,1,1,2,3094983.0,100000.0,90121:1;90122:1,3,,Orclord
55062,2662,1,1,2,3094983.0,100000.0,90121:1;90122:1,3,,Orclord
55063,2663,1,1,2,3094983.0,100000.0,90121:1;90122:1,3,,Orclord
55064,2664,1,1,2,3094983.0,100000.0,90121:1;90122:1,3,,Orclord
55065,2665,1,1,2,3094983.0,100000.0,90125:1;90126:1,3,,Koboldleader
55066,2666,1,1,2,3094983.0,100000.0,90125:1;90126:1,3,,Koboldleader
55067,2667,1,1,2,3094983.0,100000.0,90125:1;90126:1,3,,Koboldleader
