唯一id,副本难度,副本关,关卡数量,召唤boss,奖励,最长战斗时间,是否为高级奖励,赠送挑战次数,开启条件,勇士积分,加成积分系数,每日通关奖励
6024,6,24,,25:55104:24:10113785:100;25:55139:24:10113785:100;25:55039:24:10113785:100;25:55314:24:10113785:100;25:55284:24:10113785:100,19:12600;,90,0,,,4000,,
6025,6,25,,25:55319:25:10418950:100,19:13500;516:10,90,1,,,8000,,
6026,6,26,,25:55204:26:10724116:100;25:55209:26:10724116:100;25:55114:26:10724116:100;25:55109:26:10724116:100;25:55029:26:10724116:100,19:14400;,90,0,,,4320,,
6027,6,27,,25:55119:27:11029281:100;25:55014:27:11029281:100;25:55084:27:11029281:100;25:55279:27:11029281:100;25:55254:27:11029281:100,19:15300;,90,0,,,4480,,
6028,6,28,,25:55174:28:11334446:100;25:55254:28:11334446:100;25:55294:28:11334446:100;25:55299:28:11334446:100;25:55164:28:11334446:100,19:16200;,90,0,,,4640,,
6029,6,29,,25:55229:29:11639612:100;25:55024:29:11639612:100;25:55124:29:11639612:100;25:55273:29:11639612:100;25:55278:29:11639612:100,19:17100;,90,0,,,4800,,
6030,6,30,,100:55199:30:11944777:100,19:18000;517:3,90,1,,,9600,,
7001,7,1,30,25:56210:1:5502493:100;25:56220:1:5502493:100;25:56300:1:5502493:100;25:56180:1:5502493:100;25:56185:1:5502493:100,19:2000;,90,0,1,通关秘银河谷以后解锁,640,6400,19:80000;517:1;45:19200
7002,7,2,,25:56240:2:6363082:100;25:56245:2:6363082:100;25:56305:2:6363082:100;25:56100:2:6363082:100;25:56215:2:6363082:100,19:2200;,90,0,,,960,,
7003,7,3,,25:56260:3:7223672:100;25:56285:3:7223672:100;25:56175:3:7223672:100;25:56230:3:7223672:100;25:56165:3:7223672:100,19:2400;,90,0,,,1280,,
7004,7,4,,25:56100:4:8084262:100;25:56135:4:8084262:100;25:56035:4:8084262:100;25:56310:4:8084262:100;25:56280:4:8084262:100,19:2600;,90,0,,,1600,,
7005,7,5,,100:56274:5:8944852:100,19:2800;516:5,90,1,,,3200,,
7006,7,6,,25:56200:6:9805442:100;25:56205:6:9805442:100;25:56110:6:9805442:100;25:56105:6:9805442:100;25:56025:6:9805442:100,19:3000;,90,0,,,2240,,
7007,7,7,,25:56115:7:10666032:100;25:56010:7:10666032:100;25:56080:7:10666032:100;25:56275:7:10666032:100;25:56251:7:10666032:100,19:3200;,90,0,,,2560,,
7008,7,8,,25:56170:8:11526622:100;25:56250:8:11526622:100;25:56290:8:11526622:100;25:56295:8:11526622:100;25:56160:8:11526622:100,19:3400;,90,0,,,2880,,
7009,7,9,,25:56225:9:12387212:100;25:56020:9:12387212:100;25:56120:9:12387212:100;25:56270:9:12387212:100;25:56306:9:12387212:100,19:3600;,90,0,,,3200,,
7010,7,10,,100:56194:10:13247802:100,19:3800;516:5,90,1,,,6400,,
7011,7,11,,25:56212:11:14108392:100;25:56222:11:14108392:100;25:56302:11:14108392:100;25:56182:11:14108392:100;25:56187:11:14108392:100,19:4400;,90,0,,,3840,,
7012,7,12,,25:56242:12:14968981:100;25:56247:12:14968981:100;25:56307:12:14968981:100;25:56102:12:14968981:100;25:56217:12:14968981:100,19:5000;,90,0,,,4160,,
7013,7,13,,25:56262:13:15829571:100;25:56287:13:15829571:100;25:56177:13:15829571:100;25:56232:13:15829571:100;25:56167:13:15829571:100,19:5600;,90,0,,,4480,,
7014,7,14,,25:56102:14:16690161:100;25:56137:14:16690161:100;25:56037:14:16690161:100;25:56312:14:16690161:100;25:56282:14:16690161:100,19:6200;,90,0,,,4800,,
7015,7,15,,100:56259:15:17550751:100,19:6800;516:8,90,1,,,9600,,
7016,7,16,,25:56202:16:18411341:100;25:56207:16:18411341:100;25:56112:16:18411341:100;25:56107:16:18411341:100;25:56027:16:18411341:100,19:7400;,90,0,,,5440,,
7017,7,17,,25:56117:17:19271931:100;25:56012:17:19271931:100;25:56082:17:19271931:100;25:56277:17:19271931:100;25:56253:17:19271931:100,19:8000;,90,0,,,5760,,
7018,7,18,,25:56172:18:20132521:100;25:56252:18:20132521:100;25:56292:18:20132521:100;25:56297:18:20132521:100;25:56162:18:20132521:100,19:8600;,90,0,,,6080,,
7019,7,19,,25:56227:19:20993111:100;25:56022:19:20993111:100;25:56122:19:20993111:100;25:56272:19:20993111:100;25:56308:19:20993111:100,19:9200;,90,0,,,6400,,
7020,7,20,,25:56269:20:21853701:100,19:9800;516:8,90,1,,,12800,,
7021,7,21,,25:56214:21:22714291:100;25:56224:21:22714291:100;25:56304:21:22714291:100;25:56184:21:22714291:100;25:56189:21:22714291:100,19:11000;,90,0,,,7040,,
7022,7,22,,25:56244:22:23574881:100;25:56249:22:23574881:100;25:56309:22:23574881:100;25:56104:22:23574881:100;25:56219:22:23574881:100,19:12000;,90,0,,,7360,,
7023,7,23,,25:56264:23:24435470:100;25:56289:23:24435470:100;25:56179:23:24435470:100;25:56234:23:24435470:100;25:56169:23:24435470:100,19:13000;,90,0,,,7680,,
7024,7,24,,25:56104:24:25296060:100;25:56139:24:25296060:100;25:56039:24:25296060:100;25:56314:24:25296060:100;25:56284:24:25296060:100,19:14000;,90,0,,,8000,,
7025,7,25,,25:56319:25:26156650:100,19:15000;516:10,90,1,,,16000,,
7026,7,26,,25:56204:26:27017240:100;25:56209:26:27017240:100;25:56114:26:27017240:100;25:56109:26:27017240:100;25:56029:26:27017240:100,19:16000;,90,0,,,8640,,
7027,7,27,,25:56119:27:27877830:100;25:56014:27:27877830:100;25:56084:27:27877830:100;25:56279:27:27877830:100;25:56254:27:27877830:100,19:17000;,90,0,,,8960,,
7028,7,28,,25:56174:28:28738420:100;25:56254:28:28738420:100;25:56294:28:28738420:100;25:56299:28:28738420:100;25:56164:28:28738420:100,19:18000;,90,0,,,9280,,
7029,7,29,,25:56229:29:29599010:100;25:56024:29:29599010:100;25:56124:29:29599010:100;25:56273:29:29599010:100;25:56278:29:29599010:100,19:19000;,90,0,,,9600,,
7030,7,30,,100:56199:30:30459600:100,19:20000;517:4,90,1,,,19200,,
8001,8,1,30,25:57320:1:16677166:100;25:57345:1:16677166:100;25:57380:1:16677166:100;25:57255:1:16677166:100;25:57270:1:16677166:100,19:2400;,90,0,1,通关迷雾山脉以后解锁,1280,12800,
8002,8,2,,25:57020:2:21168326:100;25:57120:2:21168326:100;25:57225:2:21168326:100;25:57265:2:21168326:100;25:57335:2:21168326:100,19:2640;,90,0,,,1920,,
8003,8,3,,25:57340:3:25659487:100;25:57390:3:25659487:100;25:57285:3:25659487:100;25:57310:3:25659487:100;25:57165:3:25659487:100,19:2880;,90,0,,,2560,,
8004,8,4,,25:57100:4:30150648:100;25:57135:4:30150648:100;25:57035:4:30150648:100;25:57310:4:30150648:100;25:57305:4:30150648:100,19:3120;,90,0,,,3200,,
8005,8,5,,100:57359:5:34641809:100,19:3360;516:5,90,1,,,6400,,
8006,8,6,,25:57200:6:39132970:100;25:57205:6:39132970:100;25:57325:6:39132970:100;25:57350:6:39132970:100;25:57105:6:39132970:100,19:3600;,90,0,,,7680,,
8007,8,7,,25:57115:7:43624130:100;25:57010:7:43624130:100;25:57080:7:43624130:100;25:57275:7:43624130:100;25:57250:7:43624130:100,19:3840;,90,0,,,8960,,
8008,8,8,,25:57325:8:48115291:100;25:57330:8:48115291:100;25:57370:8:48115291:100;25:57385:8:48115291:100;25:57170:8:48115291:100,19:4080;,90,0,,,10240,,
8009,8,9,,25:57225:9:52606452:100;25:57020:9:52606452:100;25:57120:9:52606452:100;25:57270:9:52606452:100;25:57305:9:52606452:100,19:4320;,90,0,,,11520,,
8010,8,10,,100:57394:10:57097613:100,19:4560;516:8,90,1,,,12800,,
8011,8,11,,25:57322:11:61588774:100;25:57347:11:61588774:100;25:57382:11:61588774:100;25:57257:11:61588774:100;25:57272:11:61588774:100,19:5280;,90,0,,,14080,,
8012,8,12,,25:57022:12:66079934:100;25:57122:12:66079934:100;25:57227:12:66079934:100;25:57267:12:66079934:100;25:57337:12:66079934:100,19:6000;,90,0,,,15360,,
8013,8,13,,25:57342:13:70571095:100;25:57392:13:70571095:100;25:57287:13:70571095:100;25:57312:13:70571095:100;25:57167:13:70571095:100,19:6720;,90,0,,,16640,,
8014,8,14,,25:57102:14:75062256:100;25:57137:14:75062256:100;25:57037:14:75062256:100;25:57312:14:75062256:100;25:57307:14:75062256:100,19:7440;,90,0,,,17920,,
8015,8,15,,100:57379:15:79553417:100,19:8160;516:8,90,1,,,19200,,
8016,8,16,,25:57202:16:84044578:100;25:57207:16:84044578:100;25:57327:16:84044578:100;25:57352:16:84044578:100;25:57107:16:84044578:100,19:8880;,90,0,,,20480,,
8017,8,17,,25:57117:17:88535738:100;25:57012:17:88535738:100;25:57082:17:88535738:100;25:57277:17:88535738:100;25:57252:17:88535738:100,19:9600;,90,0,,,21760,,
8018,8,18,,25:57327:18:93026899:100;25:57332:18:93026899:100;25:57372:18:93026899:100;25:57387:18:93026899:100;25:57172:18:93026899:100,19:10320;,90,0,,,23040,,
8019,8,19,,25:57227:19:97518060:100;25:57022:19:97518060:100;25:57122:19:97518060:100;25:57272:19:97518060:100;25:57307:19:97518060:100,19:11040;,90,0,,,24320,,
8020,8,20,,25:57399:20:102009221:100,19:11760;516:10,90,1,,,25600,,
8021,8,21,,25:57323:21:106500382:100;25:57348:21:106500382:100;25:57383:21:106500382:100;25:57258:21:106500382:100;25:57273:21:106500382:100,19:13200;,90,0,,,26880,,
8022,8,22,,25:57023:22:110991542:100;25:57123:22:110991542:100;25:57228:22:110991542:100;25:57268:22:110991542:100;25:57338:22:110991542:100,19:14400;,90,0,,,28160,,
8023,8,23,,25:57343:23:115482703:100;25:57393:23:115482703:100;25:57288:23:115482703:100;25:57313:23:115482703:100;25:57168:23:115482703:100,19:15600;,90,0,,,29440,,
8024,8,24,,25:57103:24:119973864:100;25:57138:24:119973864:100;25:57038:24:119973864:100;25:57313:24:119973864:100;25:57308:24:119973864:100,19:16800;,90,0,,,30720,,
8025,8,25,,25:57369:25:124465025:100,19:18000;517:1,90,1,,,32000,,
8026,8,26,,25:57203:26:128956186:100;25:57208:26:128956186:100;25:57328:26:128956186:100;25:57353:26:128956186:100;25:57108:26:128956186:100,19:19200;,90,0,,,33280,,
8027,8,27,,25:57118:27:133447346:100;25:57013:27:133447346:100;25:57083:27:133447346:100;25:57278:27:133447346:100;25:57253:27:133447346:100,19:20400;,90,0,,,34560,,
8028,8,28,,25:57328:28:137938507:100;25:57333:28:137938507:100;25:57373:28:137938507:100;25:57388:28:137938507:100;25:57173:28:137938507:100,19:21600;,90,0,,,35840,,
8029,8,29,,25:57228:29:142429668:100;25:57023:29:142429668:100;25:57123:29:142429668:100;25:57273:29:142429668:100;25:57308:29:142429668:100,19:22800;,90,0,,,37120,,
8030,8,30,,100:57364:30:146920829:100,19:24000;517:4,90,1,,,38400,,
