唯一id,最长战斗时间,关卡奖励,怪物等级,特殊奖励,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,卡槽解锁,查封配置
284,90,5:141940,2582,,61678,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1000
285,90,5:142010,2608,12121:1,61630,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,
286,90,5:142080,2633,,61598,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1000
287,90,5:142150,2658,,61567,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1000
288,90,5:142220,2683,,61535,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1000
289,90,5:142290,2888,,62922,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1000
290,90,5:142370,2890,12122:1,62889,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,
291,90,5:142450,2168,,62857,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
292,90,5:142460,2290,,62825,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
293,90,5:142470,2412,,62793,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
294,90,5:142490,2476,,63577,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
295,90,5:142500,2502,12121:1,63545,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,
296,90,5:142520,2528,,63513,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
297,90,5:142530,2555,,63481,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
298,90,5:142550,2640,,64134,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
299,90,5:142560,2668,,64116,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
300,90,5:142570,2697,12122:1;16001:1,64089,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,
301,90,5:142600,2726,,64062,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
302,90,5:142620,2767,,64310,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
303,90,5:142630,2796,,64283,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
304,90,5:142650,2826,,64256,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
305,90,5:142660,2868,12121:1,64508,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,
306,90,5:142670,2898,,64481,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
307,90,5:142690,2928,,64454,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
308,90,5:142700,2956,,64436,20:50,,10;9:-1;10:-1;19:-1|20;9:-1;10:-1;19:-3|30;9:-2;10:-2;19:-5|60;9:-2;10:-2;19:-6|90;9:-3;10:-3;19:-8|120;9:-3;10:-3;19:-10|180;9:-4;10:-4;19:-11|240;9:-4;10:-4;19:-13|300;9:-5;10:-5;19:-15|360;9:-5;10:-5;19:-16|420;9:-6;10:-6;19:-18|480;9:-6;10:-6;19:-20|540;9:-7;10:-7;19:-21|600;9:-7;10:-7;19:-23|660;9:-8;10:-8;19:-25|720;9:-8;10:-8;19:-26|780;9:-9;10:-9;19:-28|900;9:-9;10:-9;19:-30|1020;9:-10;10:-10;19:-31|1140;9:-10;10:-10;19:-33|1260;9:-11;10:-11;19:-35|1380;9:-11;10:-11;19:-36|1500;9:-12;10:-12;19:-38|1620;9:-12;10:-12;19:-40,7,,6;1500
309,90,5:142720,3117,,64700,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-5|120;9:-3;10:-3;19:-6|180;9:-3;10:-3;19:-7|240;9:-4;10:-4;19:-8|300;9:-4;10:-4;19:-10|360;9:-5;10:-5;19:-11|420;9:-5;10:-5;19:-12|480;9:-6;10:-6;19:-13|540;9:-6;10:-6;19:-15|600;9:-7;10:-7;19:-16|660;9:-7;10:-7;19:-17|720;9:-8;10:-8;19:-18|780;9:-8;10:-8;19:-20|840;9:-9;10:-9;19:-21|900;9:-9;10:-9;19:-22|1020;9:-10;10:-10;19:-23|1140;9:-10;10:-10;19:-25|1260;9:-11;10:-11;19:-26|1380;9:-11;10:-11;19:-27|1500;9:-12;10:-12;19:-28|1620;9:-12;10:-12;19:-30|1740;9:-13;10:-13;19:-31|1860;9:-13;10:-13;19:-32|1980;9:-14;10:-14;19:-33|2100;9:-14;10:-14;19:-35,7,,6;1500
310,90,5:142730,3120,12122:1,64682,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-5|120;9:-3;10:-3;19:-6|180;9:-3;10:-3;19:-7|240;9:-4;10:-4;19:-8|300;9:-4;10:-4;19:-10|360;9:-5;10:-5;19:-11|420;9:-5;10:-5;19:-12|480;9:-6;10:-6;19:-13|540;9:-6;10:-6;19:-15|600;9:-7;10:-7;19:-16|660;9:-7;10:-7;19:-17|720;9:-8;10:-8;19:-18|780;9:-8;10:-8;19:-20|840;9:-9;10:-9;19:-21|900;9:-9;10:-9;19:-22|1020;9:-10;10:-10;19:-23|1140;9:-10;10:-10;19:-25|1260;9:-11;10:-11;19:-26|1380;9:-11;10:-11;19:-27|1500;9:-12;10:-12;19:-28|1620;9:-12;10:-12;19:-30|1740;9:-13;10:-13;19:-31|1860;9:-13;10:-13;19:-32|1980;9:-14;10:-14;19:-33|2100;9:-14;10:-14;19:-35,7,,
311,90,5:143380,2342,,64664,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-5|120;9:-3;10:-3;19:-6|180;9:-3;10:-3;19:-7|240;9:-4;10:-4;19:-8|300;9:-4;10:-4;19:-10|360;9:-5;10:-5;19:-11|420;9:-5;10:-5;19:-12|480;9:-6;10:-6;19:-13|540;9:-6;10:-6;19:-15|600;9:-7;10:-7;19:-16|660;9:-7;10:-7;19:-17|720;9:-8;10:-8;19:-18|780;9:-8;10:-8;19:-20|840;9:-9;10:-9;19:-21|900;9:-9;10:-9;19:-22|1020;9:-10;10:-10;19:-23|1140;9:-10;10:-10;19:-25|1260;9:-11;10:-11;19:-26|1380;9:-11;10:-11;19:-27|1500;9:-12;10:-12;19:-28|1620;9:-12;10:-12;19:-30|1740;9:-13;10:-13;19:-31|1860;9:-13;10:-13;19:-32|1980;9:-14;10:-14;19:-33|2100;9:-14;10:-14;19:-35,7,,6;1500
312,90,5:143390,2474,,64646,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-5|120;9:-3;10:-3;19:-6|180;9:-3;10:-3;19:-7|240;9:-4;10:-4;19:-8|300;9:-4;10:-4;19:-10|360;9:-5;10:-5;19:-11|420;9:-5;10:-5;19:-12|480;9:-6;10:-6;19:-13|540;9:-6;10:-6;19:-15|600;9:-7;10:-7;19:-16|660;9:-7;10:-7;19:-17|720;9:-8;10:-8;19:-18|780;9:-8;10:-8;19:-20|840;9:-9;10:-9;19:-21|900;9:-9;10:-9;19:-22|1020;9:-10;10:-10;19:-23|1140;9:-10;10:-10;19:-25|1260;9:-11;10:-11;19:-26|1380;9:-11;10:-11;19:-27|1500;9:-12;10:-12;19:-28|1620;9:-12;10:-12;19:-30|1740;9:-13;10:-13;19:-31|1860;9:-13;10:-13;19:-32|1980;9:-14;10:-14;19:-33|2100;9:-14;10:-14;19:-35,7,,6;1500
313,90,5:143400,2607,,64628,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-5|120;9:-3;10:-3;19:-6|180;9:-3;10:-3;19:-7|240;9:-4;10:-4;19:-8|300;9:-4;10:-4;19:-10|360;9:-5;10:-5;19:-11|420;9:-5;10:-5;19:-12|480;9:-6;10:-6;19:-13|540;9:-6;10:-6;19:-15|600;9:-7;10:-7;19:-16|660;9:-7;10:-7;19:-17|720;9:-8;10:-8;19:-18|780;9:-8;10:-8;19:-20|840;9:-9;10:-9;19:-21|900;9:-9;10:-9;19:-22|1020;9:-10;10:-10;19:-23|1140;9:-10;10:-10;19:-25|1260;9:-11;10:-11;19:-26|1380;9:-11;10:-11;19:-27|1500;9:-12;10:-12;19:-28|1620;9:-12;10:-12;19:-30|1740;9:-13;10:-13;19:-31|1860;9:-13;10:-13;19:-32|1980;9:-14;10:-14;19:-33|2100;9:-14;10:-14;19:-35,7,,6;1500
