索引,BossID,掉落Buff列表,关卡Id,勇士积分
254,52005,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,3001,158
255,52010,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,3001,514
256,52015,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,3001,277
257,52025,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,3001,336
258,52060,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3002,376
259,52065,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3002,227
260,52016,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3002,277
261,52080,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3002,475
262,52040,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3002,475
263,52030,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3003,396
264,52090,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3003,267
265,52095,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3003,693
266,52060,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3003,376
267,52065,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3003,455
268,52000,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3004,297
269,52036,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3004,287
270,52101,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3004,495
271,52136,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3004,554
272,52076,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3004,415
273,52074,3000:59;3000:62;2000:10;2000:23;2000:32;2000:35;2000:38;2000:65;2000:105;100:146;100:137,3005,772
274,52006,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3006,316
275,52026,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3006,168
276,52076,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3006,415
277,52106,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3006,633
278,52111,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3006,732
279,52011,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3007,514
280,52081,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3007,237
281,52116,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3007,435
282,52046,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3007,594
283,52051,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,3007,613
284,52046,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,3008,594
285,52051,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,3008,306
286,52056,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,3008,712
287,52131,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,3008,831
288,52146,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,3008,752
289,52065,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,3009,455
290,52140,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,3009,178
291,52005,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,3009,316
292,52100,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,3009,495
293,52000,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,3009,297
294,52024,4000:80;4000:83;4000:41;4000:44;4000:68;4000:71;4000:92;4000:95;4000:110;4000:113;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,3010,792
295,52001,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,3011,297
296,52007,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,3011,158
297,52012,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,3011,514
298,52017,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,3011,277
299,52027,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,3011,336
300,52061,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3012,376
301,52067,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3012,227
302,52072,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3012,772
303,52082,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3012,475
304,52042,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3012,475
305,52062,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3013,376
306,52092,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3013,267
307,52067,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3013,455
308,52032,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3013,396
309,52098,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3013,693
310,52002,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3014,297
311,52037,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3014,287
312,52102,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3014,495
313,52137,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3014,554
314,52077,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3014,415
315,52089,3000:59;3000:62;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3015,811
316,52007,3000:54;3000:57;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3016,316
317,52027,3000:54;3000:57;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3016,168
318,52077,3000:54;3000:57;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3016,415
319,52107,3000:54;3000:57;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3016,633
320,52112,3000:54;3000:57;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3016,732
321,52012,3000:15;3000:123;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3017,514
322,52082,3000:15;3000:123;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3017,237
323,52117,3000:15;3000:123;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3017,435
324,52047,3000:15;3000:123;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3017,594
325,52052,3000:15;3000:123;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,3017,613
326,52048,4000:86;4000:89;4000:47;4000:50;4000:74;4000:77;4000:98;4000:101;4000:116;4000:119;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3018,594
327,52151,4000:86;4000:89;4000:47;4000:50;4000:74;4000:77;4000:98;4000:101;4000:116;4000:119;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3018,326
328,52058,4000:86;4000:89;4000:47;4000:50;4000:74;4000:77;4000:98;4000:101;4000:116;4000:119;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3018,712
329,52041,4000:86;4000:89;4000:47;4000:50;4000:74;4000:77;4000:98;4000:101;4000:116;4000:119;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3018,475
330,52148,4000:86;4000:89;4000:47;4000:50;4000:74;4000:77;4000:98;4000:101;4000:116;4000:119;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3018,752
331,52141,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3019,356
332,52103,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3019,247
333,52018,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3019,277
334,52043,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3019,475
335,52021,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:125;500:128;500:134;500:137;500:140;500:143;500:146;500:149;800:26;800:29;800:131,3019,792
336,52134,4000:87;4000:90;4000:48;4000:51;4000:75;4000:78;4000:99;4000:102;4000:117;4000:120;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3020,831
337,52003,5000:12;4000:24;2000:33;2000:36;2000:39;2000:66;2000:105;1500:125;1500:128;1500:134;1500:137;1500:140;1500:143;1500:146;1500:149,3021,297
338,52009,5000:12;4000:24;2000:33;2000:36;2000:39;2000:66;2000:105;1500:125;1500:128;1500:134;1500:137;1500:140;1500:143;1500:146;1500:149,3021,158
339,52014,5000:12;4000:24;2000:33;2000:36;2000:39;2000:66;2000:105;1500:125;1500:128;1500:134;1500:137;1500:140;1500:143;1500:146;1500:149,3021,514
340,52019,5000:12;4000:24;2000:33;2000:36;2000:39;2000:66;2000:105;1500:125;1500:128;1500:134;1500:137;1500:140;1500:143;1500:146;1500:149,3021,277
341,52029,5000:12;4000:24;2000:33;2000:36;2000:39;2000:66;2000:105;1500:125;1500:128;1500:134;1500:137;1500:140;1500:143;1500:146;1500:149,3021,336
342,52064,3000:3;3000:6;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3022,376
343,52069,3000:3;3000:6;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3022,227
344,52074,3000:3;3000:6;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3022,772
345,52084,3000:3;3000:6;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3022,475
346,52089,3000:3;3000:6;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3022,811
347,52143,3000:9;3000:108;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3023,356
348,52094,3000:9;3000:108;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3023,267
349,52069,3000:9;3000:108;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3023,455
350,52064,3000:9;3000:108;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3023,376
351,52099,3000:9;3000:108;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3023,693
352,52004,3000:18;3000:21;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3024,297
353,52039,3000:18;3000:21;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3024,287
354,52104,3000:18;3000:21;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3024,495
355,52139,3000:18;3000:21;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3024,554
356,52079,3000:18;3000:21;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3024,415
357,52129,3000:60;3000:63;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3025,851
358,52009,3000:54;3000:57;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3026,316
359,52029,3000:54;3000:57;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3026,168
360,52079,3000:54;3000:57;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3026,415
361,52109,3000:54;3000:57;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3026,633
362,52114,3000:54;3000:57;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3026,732
363,52014,3000:15;3000:123;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3027,514
364,52084,3000:15;3000:123;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3027,237
365,52119,3000:15;3000:123;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3027,435
366,52049,3000:15;3000:123;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3027,594
367,52054,3000:15;3000:123;2000:38;2000:65;2000:104;2000:12;2000:24;2000:33;2000:36;100:138;100:147,3027,613
368,52049,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3028,594
369,52159,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3028,336
370,52059,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3028,712
371,52134,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3028,831
372,52149,4000:81;4000:84;4000:42;4000:45;4000:69;4000:72;4000:93;4000:96;4000:111;4000:114;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3028,752
373,52143,4000:87;4000:90;4000:48;4000:51;4000:75;4000:78;4000:99;4000:102;4000:117;4000:120;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3029,356
374,52123,4000:87;4000:90;4000:48;4000:51;4000:75;4000:78;4000:99;4000:102;4000:117;4000:120;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3029,435
375,52128,4000:87;4000:90;4000:48;4000:51;4000:75;4000:78;4000:99;4000:102;4000:117;4000:120;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3029,851
376,52133,4000:87;4000:90;4000:48;4000:51;4000:75;4000:78;4000:99;4000:102;4000:117;4000:120;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3029,831
377,52023,4000:87;4000:90;4000:48;4000:51;4000:75;4000:78;4000:99;4000:102;4000:117;4000:120;500:126;500:129;500:135;500:138;500:141;500:144;500:147;500:150;800:27;800:30;800:132,3029,792
378,52124,500:1;500:2;500:3,3030,871
379,53000,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,4001,594
380,53005,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,4001,633
381,53010,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,4001,1029
382,53015,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,4001,554
383,53025,5000:10;4000:22;2000:31;2000:34;2000:37;2000:64;2000:103;1500:124;1500:127;1500:133;1500:136;1500:139;1500:142;1500:145;1500:148,4001,673
384,53060,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4002,752
385,53065,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4002,910
386,53016,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4002,554
387,53080,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4002,950
388,53040,3000:1;3000:4;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4002,950
389,53030,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4003,792
390,53090,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4003,1069
391,53095,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4003,1386
392,53060,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4003,752
393,53065,3000:7;3000:106;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4003,910
394,53000,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4004,594
395,53036,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4004,1148
396,53101,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4004,990
397,53136,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4004,1108
398,53076,3000:16;3000:19;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4004,831
399,53074,3000:59;3000:62;2000:10;2000:23;2000:32;2000:35;2000:38;2000:65;2000:105;100:146;100:137,4005,1544
400,53006,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4006,633
401,53026,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4006,673
402,53076,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4006,831
403,53106,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4006,1267
404,53111,3000:53;3000:56;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4006,1465
405,53011,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4007,1029
406,53081,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4007,950
407,53116,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4007,871
408,53046,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4007,1188
409,53051,3000:14;3000:122;2000:10;2000:22;2000:31;2000:34;2000:37;2000:64;2000:103;100:145;100:136,4007,1227
410,53046,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,4008,1188
411,53051,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,4008,1227
412,53056,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,4008,1425
413,53131,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,4008,1663
414,53146,4000:79;4000:82;4000:40;4000:43;4000:67;4000:70;4000:91;4000:94;4000:109;4000:112;500:124;500:127;500:133;500:136;500:139;500:142;500:145;500:148;800:25;800:28;800:130,4008,1504
415,53065,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,4009,910
416,53140,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,4009,712
417,53005,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,4009,633
418,53100,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,4009,990
419,53000,4000:85;4000:88;4000:46;4000:49;4000:73;4000:76;4000:97;4000:100;4000:115;4000:118;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,4009,594
420,53024,4000:80;4000:83;4000:41;4000:44;4000:68;4000:71;4000:92;4000:95;4000:110;4000:113;500:124;500:127;500:134;500:137;500:140;500:143;500:146;500:149;800:25;800:28;800:130,4010,1584
421,53001,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,4011,594
422,53007,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,4011,633
423,53012,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,4011,1029
424,53017,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,4011,554
425,53027,5000:11;4000:23;2000:32;2000:35;2000:38;2000:65;2000:104;1500:126;1500:129;1500:135;1500:138;1500:141;1500:144;1500:147;1500:150,4011,673
426,53061,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4012,752
427,53067,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4012,910
428,53072,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4012,1544
429,53082,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4012,950
430,53042,3000:2;3000:5;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4012,950
431,53062,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4013,752
432,53092,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4013,1069
433,53067,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4013,910
434,53032,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4013,792
435,53098,3000:8;3000:107;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4013,1386
436,53002,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4014,594
437,53037,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4014,1148
438,53102,3000:17;3000:20;2000:11;2000:23;2000:32;2000:35;2000:39;2000:66;2000:105;100:144;100:135,4014,990
