唯一id,好感度等级,好感度上限,好感度固定值对应奖励,活动ID
347,11,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
348,12,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
349,13,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
350,14,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
351,15,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
352,16,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
353,17,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
354,18,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
355,19,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
356,20,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
357,21,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
358,22,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
359,23,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
360,24,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
361,25,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
362,26,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
363,27,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
364,28,1000,100:11199:1;300:11200:1;500:11201:1;800:11202:1;1000:856:1,119
365,1,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
366,2,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
367,3,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
368,4,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
369,5,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
370,6,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
371,7,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
372,8,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
373,9,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
374,10,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
375,11,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
376,12,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
377,13,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
378,14,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
379,15,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
380,16,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
381,17,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
382,18,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
383,19,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
384,20,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
385,21,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
386,22,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
387,23,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
388,24,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
389,25,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
390,26,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
391,27,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
392,28,1000,100:1:500000;300:605:3;500:100:20;800:110:20;1000:858:1,126
393,1,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
394,2,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
395,3,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
396,4,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
397,5,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
398,6,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
399,7,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
400,8,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
401,9,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
402,10,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
403,11,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
404,12,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
405,13,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
406,14,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
407,15,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
408,16,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
409,17,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
410,18,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
411,19,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
412,20,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
413,21,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
414,22,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
415,23,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
416,24,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
417,25,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
418,26,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
419,27,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
420,28,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:857:1,141
449,1,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
450,2,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
451,3,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
452,4,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
453,5,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
454,6,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
455,7,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
456,8,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
457,9,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
458,10,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
459,11,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
460,12,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
461,13,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
462,14,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
463,15,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
464,16,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
465,17,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
466,18,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
467,19,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
468,20,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
469,21,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
470,22,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
471,23,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
472,24,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
473,25,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
474,26,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
475,27,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
476,28,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:859:1,142
421,1,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
422,2,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
423,3,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
424,4,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
425,5,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
426,6,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
427,7,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
428,8,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
429,9,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
430,10,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
431,11,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
432,12,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
433,13,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
434,14,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
435,15,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
436,16,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
437,17,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
438,18,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
439,19,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
440,20,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
441,21,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
442,22,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
443,23,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
444,24,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
445,25,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
446,26,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
447,27,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
448,28,1000,100:601:30;300:605:3;500:100:20;800:110:20;1000:858:1,140
